FeI   3878.57  0.09  45.2
FeI   3886.28  0.05  58.3
FeI   3887.05  0.91  13.8
FeI   3895.66  0.11  28.2
FeI   3899.71  0.09  40.1
FeI   3902.95  1.56  18.1
FeI   3920.26  0.12  32.2
FeI   3922.91  0.05  30.4
FeI   4045.81  1.49  45.7
FeI   4063.59  1.56  31.1
FeI   4071.74  1.61  27.3
FeI   4132.06  1.61  8.3
FeI   4202.03  1.49  12.0
FeI   4271.76  1.49  28.5
FeI   4325.76  1.61  28.9
FeI   4383.55  1.48  40.5
FeI   4404.75  1.56  20.2
FeI   4415.12  1.61  9.8
FeI   3840.44  0.99  44.1
FeI   3841.05  1.61  25.7
FeI   3856.37  0.05  59.2
FeI   3859.91  0.00  81.4
FeI   3490.57  0.05  56.0
FeI   3758.23  0.96  57.9
FeI   3763.79  0.99  52.4
FeI   3767.19  1.01  44.8
FeI   3787.88  1.01  18.5
FeI   3815.84  1.48  44.9
FeI   3820.43  0.86  70.5
FeI   3824.44  0.00  55.2
FeI   3825.88  0.91  63.6
FeI   3827.82  1.56  35.7
FeI   3618.77  0.99  59.5
FeI   3647.84  0.92  53.6
FeI   3719.94  0.00  82.6
FeI   3743.36  0.99  30.2
