3727.619  Fei   0.96  56
3743.362  Fei   0.99  49
3745.561  Fei   0.09  97
3745.900  Fei   0.12  81
3758.233  Fei   0.96  74
3763.789  Fei   0.99  67
3767.192  Fei   1.01  60
3787.880  Fei   1.01  44
3790.093  Fei   0.99  11
3812.964  Fei   0.96  39
3815.840  Fei   1.49  61
3820.425  Fei   0.86  88
3824.444  Fei   0.00  85
3825.881  Fei   0.92  76
3827.823  Fei   1.56  53
3841.048  Fei   1.61  42
3849.967  Fei   1.01  44
3850.818  Fei   0.99  12
3856.372  Fei   0.05  86
3859.911  Fei   0.00  104
3865.523  Fei   1.01  39
3878.018  Fei   0.96  45
3878.573  Fei   0.09  80
3895.656  Fei   0.11  69
3899.707  Fei   0.09  76
3902.946  Fei   1.56  31
3906.480  Fei   0.11  43
3920.258  Fei   0.12  64
3922.912  Fei   0.05  76
3927.920  Fei   0.11  78
3930.297  Fei   0.09  86
4005.242  Fei   1.56  26
4045.812  Fei   1.49  69
4063.594  Fei   1.56  56
4071.738  Fei   1.61  50
4132.058  Fei   1.61  20
4143.868  Fei   1.56  32
4202.029  Fei   1.49  28
4216.184  Fei   0.00  9
4250.787  Fei   1.56  24
4260.474  Fei   2.40  16
4271.761  Fei   1.49  53
4294.125  Fei   1.49  20
4325.762  Fei   1.61  51
4375.930  Fei   0.00  17
4383.545  Fei   1.49  67
4404.750  Fei   1.56  46
4415.122  Fei   1.61  27
4427.310  Fei   0.05  13
4920.503  Fei   2.83  6
5232.940  Fei   2.94  5
5269.537  Fei   0.86  49
5328.039  Fei   0.92  35
5371.490  Fei   0.96  25
5397.128  Fei   0.92  14
5405.775  Fei   0.99  19
5429.697  Fei   0.96  17
5434.524  Fei   1.01  8
5446.917  Fei   0.99  14
5455.610  Fei   1.01  11
5018.440  Feii  2.89  4
