 3767.192   1.01    58.4    3.23
 3815.840   1.48    61.6    3.17
 3820.425   0.86    77.1    3.05
 3825.881   0.91    76.7    3.27
 3859.911   0.00    85.8    3.27
 3878.573   0.09    57.5    3.21
 3886.282   0.05    65.3    3.08
 3887.048   0.91    32.5    3.24
 3895.656   0.11    42.8    3.15
 3920.258   0.12    41.4    3.19
 3922.912   0.05    45.4    3.10
 4045.812   1.49    59.9    3.07
 4063.594   1.56    46.1    3.02
 4071.738   1.61    423.0   3.07
 4143.868   1.56    28.3    3.18
 4250.787   1.56    17.3    3.07
 4271.760   1.49    50.9    3.27
 4325.762   1.61    52.7    3.26
 4383.545   1.48    58.4    3.07
 4404.750   1.56    45.1    3.18
 5269.537   0.86    32.6    3.29
