4045.812 1.49  0.280  36.4 3.52  
4063.594 1.56  0.062  31.7 3.69
4071.738 1.61  0.022  28.9 3.75
4383.545 1.49  0.200  28.8 3.39 
4404.750 1.56  0.142  17.4 3.49
