  3765.54  26.0   3.24    0.48       17.5  
  3767.19  26.0   1.01   -0.39       67.8  
  3787.88  26.0   1.01   -0.86       53.3  
  3815.84  26.0   1.48    0.24       71.8  
  3820.43  26.0   0.86    0.12       95.5  
  3824.44  26.0   0.00   -1.36       83.1  
  3825.88  26.0   0.91   -0.04       84.6  
  3827.82  26.0   1.56    0.06       57.0  
  3840.44  26.0   0.99   -0.51       72.2  
  3849.97  26.0   1.01   -0.97       57.9  
  3850.82  26.0   0.99   -1.73       30.6  
  3856.37  26.0   0.05   -1.29       82.6  
  3859.91  26.0   0.00   -0.71      104.5  
  3865.52  26.0   1.01   -0.98       48.6  
  3878.02  26.0   0.96   -0.91       52.6  
  3878.57  26.0   0.09   -1.38       82.5  
  3886.28  26.0   0.05   -1.08       88.6  
  3887.05  26.0   0.91   -1.14       49.0  
  3895.66  26.0   0.11   -1.67       70.4  
  3899.71  26.0   0.09   -1.53       76.0  
  3920.26  26.0   0.12   -1.75       71.2  
  3922.91  26.0   0.05   -1.65       72.3  
  4005.24  26.0   1.56   -0.61       38.6  
  4045.81  26.0   1.48    0.28       72.8  
  4063.59  26.0   1.56    0.07       68.7  
  4071.74  26.0   1.61   -0.02       56.1  
  4132.06  26.0   1.61   -0.67       31.0  
  4143.87  26.0   1.56   -0.46       45.5               
  4187.04  26.0   2.45   -0.55        8.2  
  4187.80  26.0   2.42   -0.55        6.8  
  4191.43  26.0   2.47   -0.73        6.3  
  4199.10  26.0   3.05    0.25        9.9  
  4202.03  26.0   1.48   -0.70       43.0  
  4222.21  26.0   2.45   -0.97        6.6               
  4250.12  26.0   2.47   -0.40        8.9  
  4260.47  26.0   2.40   -0.02       32.0  
  4271.15  26.0   2.45   -0.35       14.2  
  4271.76  26.0   1.48   -0.16       63.3  
  4282.40  26.0   2.17   -0.82        5.6  
  4325.76  26.0   1.61   -0.01       61.2  
  4383.55  26.0   1.48    0.20       74.3  
  4404.75  26.0   1.56   -0.14       60.5  
  4415.12  26.0   1.61   -0.61       37.3              
  4461.65  26.0   0.09   -3.20       10.8               
  4891.49  26.0   2.85   -0.11        8.9              
  4920.50  26.0   2.83    0.07       12.9              
  5051.64  26.0   0.92   -2.80       13.5           
  5269.54  26.0   0.86   -1.32       60.6               
  5328.04  26.0   0.92   -1.47       33.9  
  5371.49  26.0   0.96   -1.65       33.6  
  5397.13  26.0   0.92   -1.99       23.0  
  5405.78  26.0   0.99   -1.84       22.4  
  5429.70  26.0   0.96   -1.88       23.1  
  5446.92  26.0   0.99   -1.91       26.1      
