  3727.619   0.96   97.6    3.81  
  3743.362   0.99   96.8    4.00  
  3753.611   2.18   23.6    3.70  
  3763.789   0.99   109.3   3.76  
  3765.539   3.24   41.0    3.89  
  3767.192   1.01   109.9   3.96  
  3786.677   1.01   41.0    4.04  
  3787.880   1.01   87.0    3.78  
  3815.840   1.48   107.1   3.76  
  3824.444   0.00   118.1   3.97  
  3827.823   1.56   98.2    3.77  
  3840.438   0.99   103.1   3.85  
  3841.048   1.61   88.9    3.69  
  3846.800   3.25   19.4    3.90  
  3849.967   1.01   96.4    4.04  
  3850.818   0.99   59.4    3.94  
  3856.372   0.05   120.0   3.98  
  3865.523   1.01   80.2    3.67  
  3878.018   0.96   85.8    3.72  
  3878.573   0.09   110.8   3.90      
  3895.656   0.11   95.2    3.78  
  3899.707   0.09   106.2   3.90  
  3902.946   1.56   86.8    3.96  
  3917.181   0.99   35.3    3.85  
  3920.258   0.12   98.1    3.92  
  3922.912   0.05   107.8   4.01  
  3940.878   0.96   26.4    4.07  
  3949.953   2.18   13.8    3.75  
  3977.741   2.20   22.3    3.90  
  4005.242   1.56   79.1    3.87  
  4045.812   1.49   106.8   3.66  
  4063.594   1.56   99.0    3.75  
  4067.978   3.21   11.8    4.04  
  4071.738   1.61   101.7   3.94  
  4132.058   1.61   74.5    3.88  
  4134.678   2.83   11.3    3.77  
  4143.868   1.56   75.7    3.68  
  4147.669   1.48   15.4    3.82  
  4181.755   2.83   23.6    3.88  
  4187.039   2.45   31.9    3.77  
  4187.795   2.42   36.2    3.83  
  4191.430   2.47   26.7    3.84  
  4199.095   3.05   26.9    3.67  
  4202.029   1.49   71.1    3.66  
  4216.184   0.00   36.0    3.90  
  4222.213   2.45   24.2    4.00  
  4233.603   2.48   29.0    3.81  
  4250.119   2.47   32.3    3.67  
  4250.787   1.56   79.6    3.97  
  4260.474   2.40   69.0    3.86  
  4271.154   2.45   40.5    3.77  
  4271.760   1.49   91.8    3.66  
  4282.403   2.18   29.5    3.68  
  4325.762   1.61   94.2    3.67  
  4337.046   1.56   34.6    4.00  
  4375.930   0.00   46.8    3.73  
  4383.545   1.48   115.6   3.86  
  4404.750   1.56   92.6    3.71  
  4415.122   1.61   74.6    3.78    
  4447.717   2.22   15.2    3.90  
  4459.118   2.18   22.4    4.00  
  4461.653   0.09   38.1    3.85  
  4476.019   2.85   11.3    3.94  
  4489.739   0.12   14.4    4.02  
  4494.563   2.20   23.7    3.91  
  4528.614   2.18   41.5    3.94  
  4531.148   1.48   18.3    3.91  
  4871.318   2.87   20.5    3.79  
  4872.137   2.88   12.0    3.73  
  4890.755   2.88   21.6    3.86  
  4891.492   2.85   29.3    3.73  
  4918.994   2.85   19.3    3.71  
  4920.503   2.83   36.5    3.67  
  5006.119   2.83   21.9    4.03  
  5012.068   0.86   32.6    4.04  
  5051.634   0.92   26.1    4.09  
  5269.537   0.86   98.2    4.11  
  5328.039   0.92   90.3    4.12  
  5328.531   1.56   18.0    3.70  
  5371.489   0.96   80.7    4.10  
  5397.128   0.92   65.6    4.06  
  5405.775   0.99   58.9    3.88  
  5429.696   0.96   62.0    3.94  
  5434.524   1.01   36.6    3.76  
  5446.917   0.99   54.9    3.86  
  5455.609   1.01   45.2    3.88  
  5506.779   0.99   16.0    3.91  
  4233.170   2.58   27.2    3.85  
  4522.630   2.84   9.3     3.84  
  4583.840   2.81   22.0    3.93  
  4923.930   2.89   41.6    3.81  
  5018.450   2.89   49.2    3.85  
