3865.52 FeI  1.01 -0.980    50.2 
3886.29 FeI  0.05 -1.080    90.5 
3887.06 FeI  0.91 -1.140    40.5 
3895.67 FeI  0.11 -1.670    69.4 
3899.72 FeI  0.09 -1.530    73.5 
3902.96 FeI  1.56 -0.470    41.4 
3906.49 FeI  0.11 -2.240    47.5 
3920.27 FeI  0.12 -1.750    70.2 
3922.92 FeI  0.05 -1.650    79.4 
3930.31 FeI  0.09 -1.590    75.7 
3949.96 FeI  2.18 -1.160     8.5 
4005.24 FeI  1.56 -0.610    39.5 
4045.81 FeI  1.49  0.280    78.1        
4132.06 FeI  1.61 -0.820    40.5 
4143.87 FeI  1.56 -0.620    49.6          
4187.05 FeI  2.45 -0.550    16.1 
4187.81 FeI  2.43 -0.550    13.2          
4202.04 FeI  1.49 -0.710    47.2 
4216.19 FeI  0.00 -3.360     8.2          
4235.95 FeI  2.43 -0.340    11.6         
4250.80 FeI  1.56 -0.380    39.4 
4260.49 FeI  2.40  0.140    28.2 
4271.16 FeI  2.45 -0.350    11.8 
4271.77 FeI  1.49 -0.160    60.6          
4299.25 FeI  2.43 -0.350    15.0 
4307.91 FeI  1.56 -0.070    68.9 
4325.77 FeI  1.61  0.010    60.8 
4375.94 FeI  0.00 -3.030    19.7 
4383.56 FeI  1.49  0.200    78.9 
4404.76 FeI  1.56 -0.140    62.5 
4415.13 FeI  1.61 -0.610    46.5 
4442.35 FeI  2.20 -1.250     6.6         
4461.66 FeI  0.09 -3.210    10.2 
4494.57 FeI  2.20 -1.140     8.9         
4920.51 FeI  2.83  0.150     9.9 
4957.61 FeI  2.81  0.230    22.0         
5232.95 FeI  2.94 -0.100     5.6 
5269.55 FeI  0.86 -1.320    61.8 
5405.79 FeI  0.99 -1.840    27.5         
3255.90 FeII 0.99 -2.498    50.4 
3277.36 FeII 0.99 -2.191    53.4 
3281.30 FeII 1.04 -2.678    34.6 
4233.17 FeII 2.57 -2.000    12.0         
5018.45 FeII 2.89 -1.220    12.6 
