,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4787.83,3.0,-2.604000000,67.81,7.13,    0.0300
1,FeI,4788.76,3.24,-1.763000000,94.41,7.3,    0.1300
2,FeI,4789.65,3.55,-0.957000000,113.21,7.37,    0.2000
3,FeI,4793.96,3.05,-3.430000000,23.11,7.06,    0.1000
4,FeI,4794.35,2.42,-3.950000000,34.31,7.1,    0.0600
5,FeI,4802.88,3.64,-1.514000000,83.41,7.21,    0.0500
6,FeI,4808.15,3.25,-2.690000000,49.11,7.11,    0.0400
7,FeI,4809.94,3.57,-2.620000000,34.61,7.12,    0.0400
8,FeI,4839.54,3.27,-1.822000000,94.11,7.37,    0.2000
9,FeI,4843.14,3.4,-1.650000000,97.51,7.33,    0.1600
10,FeI,4848.88,2.28,-3.137000000,80.41,7.11,    0.0400
11,FeI,4869.46,3.55,-2.420000000,45.41,7.11,    0.0500
12,FeI,4875.88,3.33,-1.900000000,82.41,7.15,    0.0100
13,FeI,4877.6,3.0,-3.050000000,48.61,7.16,    0.0000
14,FeI,4882.14,3.42,-1.480000000,97.01,7.16,    0.0000
15,FeI,4885.43,3.88,-0.970000000,88.61,7.06,    0.1000
16,FeI,4892.86,4.22,-1.290000000,71.81,7.32,    0.1500
17,FeII,4893.81,2.83,-4.267000000,28.61,7.17,    0.1400
18,FeI,4896.44,3.88,-1.890000000,55.51,7.18,    0.0100
19,FeI,4905.13,3.93,-1.730000000,53.01,7.01,    0.1500
20,FeI,4907.73,3.43,-1.700000000,87.61,7.18,    0.0100
21,FeI,4910.02,3.4,-1.310000000,106.71,7.28,    0.1100
22,FeI,4911.53,4.26,-1.840000000,41.31,7.26,    0.0900
23,FeI,4911.78,3.93,-1.790000000,65.91,7.36,    0.1900
24,FeI,4917.23,4.19,-1.080000000,81.11,7.29,    0.1200
25,FeI,4918.01,4.23,-1.260000000,68.01,7.21,    0.0500
26,FeI,4946.39,3.37,-1.110000000,117.51,7.15,    0.0100
27,FeI,4950.1,3.42,-1.490000000,99.41,7.21,    0.0400
28,FeI,4961.91,3.63,-2.190000000,50.51,7.08,    0.0800
29,FeI,4962.57,4.18,-1.182000000,66.81,7.05,    0.1100
30,FeI,4969.92,4.22,-0.710000000,91.11,7.17,    0.0000
31,FeI,4986.22,4.22,-1.290000000,63.31,7.12,    0.0400
32,FeI,4992.78,4.26,-2.350000000,11.71,6.99,    0.1700
33,FeII,4993.35,2.81,-3.684000000,44.31,6.96,    0.0600
34,FeII,5000.73,2.78,-4.578000000,11.51,6.87,    0.1600
35,FeI,5002.79,3.4,-1.460000000,101.11,7.19,    0.0200
36,FeI,5012.7,4.28,-1.690000000,53.21,7.38,    0.2100
37,FeI,5022.23,3.98,-0.370000000,115.11,7.08,    0.0700
38,FeI,5023.19,4.28,-1.500000000,54.61,7.21,    0.0500
39,FeI,5023.5,4.31,-1.670000000,46.31,7.25,    0.0800
40,FeI,5028.13,3.57,-1.036000000,107.01,7.25,    0.0800
41,FeI,5029.62,3.42,-1.950000000,73.51,7.09,    0.0700
42,FeI,5030.78,3.24,-2.830000000,39.01,7.01,    0.1500
43,FeI,5036.92,3.02,-3.010000000,47.71,7.11,    0.0500
44,FeI,5044.21,2.85,-2.038000000,104.51,7.2,    0.0400
45,FeI,5048.44,3.96,-1.005000000,90.81,7.17,    0.0000
46,FeI,5054.64,3.64,-1.921000000,59.81,7.01,    0.1500
47,FeI,5058.5,3.64,-2.830000000,23.71,7.14,    0.0100
48,FeI,5067.15,4.22,-0.970000000,88.11,7.36,    0.1900
49,FeI,5074.75,4.22,-0.230000000,114.91,7.16,    0.0000
50,FeI,5088.15,4.15,-1.680000000,46.81,7.08,    0.0800
51,FeI,5090.77,4.26,-0.440000000,100.41,7.13,    0.0300
52,FeII,5100.66,2.81,-4.197000000,28.91,7.09,    0.0600
53,FeI,5104.44,4.28,-1.590000000,57.01,7.35,    0.1800
54,FeI,5109.65,4.3,-0.980000000,80.91,7.28,    0.1200
55,FeI,5115.78,3.57,-2.640000000,36.11,7.15,    0.0100
56,FeI,5129.63,3.94,-1.670000000,70.71,7.34,    0.1700
57,FeII,5132.66,2.81,-4.094000000,27.71,6.96,    0.0700
58,FeII,5136.8,2.84,-4.356000000,19.51,7.02,    0.0100
59,FeI,5141.74,2.42,-1.978000000,118.81,7.01,    0.1500
60,FeI,5143.72,2.2,-3.690000000,61.91,7.09,    0.0700
61,FeI,5145.09,2.2,-2.876000000,96.41,7.09,    0.0700
62,FeI,5180.06,4.47,-1.160000000,66.51,7.33,    0.1600
63,FeI,5187.91,4.14,-1.371000000,72.51,7.33,    0.1600
64,FeII,5234.62,3.22,-2.180000000,89.41,7.04,    0.0000
65,FeI,5242.49,3.63,-0.967000000,104.41,7.09,    0.0700
66,FeI,5243.78,4.26,-1.050000000,74.01,7.14,    0.0200
67,FeI,5253.02,2.28,-3.840000000,46.41,7.02,    0.1400
68,FeI,5253.46,3.28,-1.579000000,95.21,6.99,    0.1700
69,FeII,5256.93,2.89,-4.182000000,19.31,6.89,    0.1300
70,FeII,5264.8,3.23,-3.130000000,47.71,6.96,    0.0600
71,FeI,5267.27,4.37,-1.596000000,37.61,7.05,    0.1100
72,FeII,5284.1,2.89,-3.195000000,68.91,7.16,    0.1200
73,FeI,5285.13,4.43,-1.660000000,38.41,7.2,    0.0300
74,FeI,5288.52,3.7,-1.493000000,79.81,7.08,    0.0800
75,FeI,5293.96,4.14,-1.770000000,45.81,7.13,    0.0300
76,FeI,5294.55,3.64,-2.760000000,27.31,7.15,    0.0100
77,FeI,5295.31,4.42,-1.590000000,40.31,7.15,    0.0100
78,FeI,5298.78,3.64,-2.016000000,64.61,7.18,    0.0200
79,FeI,5315.07,4.37,-1.650000000,47.81,7.31,    0.1400
80,FeI,5320.04,3.64,-2.440000000,39.01,7.08,    0.0800
81,FeI,5322.04,2.28,-2.802000000,99.11,7.14,    0.0200
82,FeII,5325.55,3.22,-3.160000000,45.21,6.92,    0.1000
83,FeI,5326.14,3.57,-2.071000000,62.41,7.11,    0.0500
84,FeI,5329.99,4.08,-1.196000000,78.01,7.2,    0.0300
85,FeI,5361.62,4.42,-1.330000000,60.51,7.31,    0.1400
86,FeI,5373.71,4.47,-0.710000000,76.81,7.1,    0.0600
87,FeI,5376.83,4.29,-2.210000000,25.31,7.3,    0.1300
88,FeI,5379.57,3.7,-1.514000000,82.51,7.16,    0.0000
89,FeI,5386.33,4.15,-1.670000000,46.81,7.06,    0.1000
90,FeI,5389.48,4.42,-0.410000000,90.51,7.02,    0.1400
91,FeI,5395.22,4.45,-2.070000000,25.01,7.32,    0.1500
92,FeI,5398.28,4.45,-0.630000000,78.71,7.03,    0.1300
93,FeI,5401.27,4.32,-1.820000000,43.51,7.33,    0.1600
94,FeI,5403.82,4.08,-1.034000000,84.41,7.18,    0.0200
95,FeI,5406.78,4.37,-1.620000000,44.81,7.21,    0.0500
96,FeI,5409.13,4.37,-1.200000000,69.91,7.32,    0.1500
97,FeI,5412.78,4.43,-1.716000000,26.81,7.0,    0.1600
98,FeII,5414.07,3.22,-3.580000000,28.21,6.91,    0.1100
99,FeI,5417.03,4.42,-1.580000000,43.51,7.2,    0.0300
100,FeII,5425.25,3.2,-3.220000000,43.91,6.93,    0.1000
101,FeI,5432.95,4.45,-0.940000000,80.11,7.35,    0.1900
102,FeI,5436.3,4.39,-1.440000000,51.71,7.19,    0.0200
103,FeI,5436.59,2.28,-2.964000000,96.71,7.21,    0.0400
104,FeI,5441.34,4.31,-1.630000000,41.71,7.09,    0.0600
105,FeI,5445.04,4.39,-0.020000000,110.81,7.0,    0.1500
106,FeI,5461.55,4.45,-1.800000000,38.51,7.35,    0.1800
107,FeI,5466.4,4.37,-0.630000000,89.71,7.18,    0.0100
108,FeI,5466.99,3.57,-2.233000000,56.61,7.14,    0.0200
109,FeI,5470.09,4.45,-1.710000000,35.21,7.19,    0.0200
110,FeI,5472.71,4.21,-1.495000000,65.81,7.34,    0.1700
111,FeI,5473.16,4.19,-2.040000000,32.21,7.16,    0.0000
112,FeI,5473.9,4.15,-0.720000000,94.91,7.14,    0.0200
113,FeI,5483.1,4.15,-1.392000000,62.11,7.08,    0.0700
114,FeI,5487.14,4.42,-1.430000000,49.81,7.17,    0.0100
115,FeI,5493.5,4.1,-1.480000000,56.61,7.0,    0.1600
116,FeI,5494.46,4.08,-1.990000000,40.11,7.15,    0.0100
117,FeI,5522.45,4.21,-1.450000000,56.11,7.08,    0.0800
118,FeI,5525.54,4.23,-1.084000000,70.81,7.05,    0.1100
119,FeI,5528.9,4.47,-1.920000000,30.41,7.32,    0.1600
120,FeII,5534.84,3.24,-2.865000000,66.61,7.17,    0.1400
121,FeI,5538.52,4.22,-1.540000000,52.41,7.11,    0.0500
122,FeI,5539.28,3.64,-2.560000000,33.61,7.07,    0.0900
123,FeI,5539.82,4.29,-2.430000000,12.31,7.11,    0.0500
124,FeI,5543.94,4.22,-1.040000000,74.31,7.07,    0.0900
125,FeI,5546.51,4.37,-1.210000000,64.71,7.21,    0.0400
126,FeI,5549.95,3.7,-2.810000000,20.51,7.08,    0.0800
127,FeI,5552.69,4.96,-1.890000000,11.51,7.29,    0.1200
128,FeI,5554.89,4.55,-0.270000000,103.01,7.25,    0.0900
129,FeI,5560.21,4.43,-1.090000000,63.01,7.12,    0.0300
130,FeI,5567.39,2.61,-2.568000000,102.91,7.34,    0.1700
131,FeI,5573.1,4.19,-1.295000000,68.81,7.18,    0.0200
132,FeI,5584.76,3.57,-2.220000000,60.01,7.19,    0.0200
133,FeI,5587.57,4.14,-1.750000000,52.71,7.24,    0.0700
134,FeI,5600.22,4.26,-1.420000000,52.21,7.03,    0.1200
135,FeI,5618.63,4.21,-1.255000000,62.21,7.01,    0.1500
136,FeI,5619.6,4.39,-1.600000000,45.51,7.22,    0.0500
137,FeI,5624.02,4.39,-1.380000000,62.41,7.34,    0.1800
138,FeI,5633.95,4.99,-0.230000000,72.51,7.13,    0.0300
139,FeI,5635.82,4.26,-1.790000000,49.51,7.33,    0.1700
140,FeI,5636.7,3.64,-2.510000000,37.71,7.1,    0.0600
141,FeI,5638.26,4.22,-0.720000000,89.61,7.08,    0.0800
142,FeI,5641.43,4.26,-1.080000000,82.11,7.32,    0.1500
143,FeI,5649.99,5.1,-0.820000000,40.81,7.17,    0.0000
144,FeI,5650.7,5.09,-0.860000000,42.11,7.22,    0.0500
