,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4793.96,3.05,-3.430000000,37.61,6.91,    0.0600
1,FeI,4794.35,2.42,-3.950000000,70.41,7.23,    0.2400
2,FeI,4798.27,4.19,-1.174000000,69.31,6.74,    0.2400
3,FeI,4808.15,3.25,-2.690000000,71.71,7.09,    0.1000
4,FeI,4809.94,3.57,-2.620000000,45.21,6.92,    0.0500
5,FeI,4839.54,3.27,-1.822000000,109.91,7.14,    0.1600
6,FeI,4843.14,3.4,-1.650000000,119.01,7.27,    0.2900
7,FeI,4848.88,2.28,-3.137000000,106.21,7.01,    0.0300
8,FeI,4869.46,3.55,-2.420000000,59.81,6.95,    0.0200
9,FeI,4873.75,3.3,-2.960000000,39.81,6.8,    0.1700
10,FeI,4875.88,3.33,-1.900000000,108.51,7.2,    0.2200
11,FeI,4877.6,3.0,-3.050000000,79.41,7.25,    0.2700
12,FeI,4892.86,4.22,-1.290000000,82.71,7.16,    0.1700
13,FeI,4896.44,3.88,-1.890000000,63.21,6.92,    0.0500
14,FeI,4905.13,3.93,-1.730000000,72.81,7.01,    0.0200
15,FeI,4907.73,3.43,-1.700000000,108.21,7.11,    0.1200
16,FeI,4911.53,4.26,-1.840000000,50.81,7.11,    0.1200
17,FeI,4917.23,4.19,-1.080000000,93.21,7.14,    0.1600
18,FeI,4918.01,4.23,-1.260000000,73.41,6.94,    0.0300
19,FeI,4950.1,3.42,-1.490000000,109.91,6.91,    0.0600
20,FeI,4961.91,3.63,-2.190000000,66.91,6.97,    0.0100
21,FeI,4962.57,4.18,-1.182000000,76.61,6.86,    0.1200
22,FeI,4969.92,4.22,-0.710000000,106.11,7.08,    0.1000
23,FeI,4986.22,4.22,-1.290000000,74.61,6.97,    0.0000
24,FeI,4992.78,4.26,-2.350000000,14.01,6.78,    0.1900
25,FeII,4993.35,2.81,-3.684000000,49.91,7.0,    0.1800
26,FeI,4999.11,4.19,-1.640000000,52.81,6.86,    0.1200
