,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4787.83,3.0,-2.604000000,68.21,7.38,    0.1000
1,FeI,4788.76,3.24,-1.763000000,88.71,7.44,    0.1500
2,FeI,4789.65,3.55,-0.957000000,108.01,7.43,    0.1500
3,FeI,4793.96,3.05,-3.430000000,17.71,7.12,    0.1600
4,FeI,4794.35,2.42,-3.950000000,31.91,7.3,    0.0100
5,FeI,4798.27,4.19,-1.174000000,60.91,7.18,    0.1000
6,FeI,4799.41,3.64,-2.130000000,56.31,7.4,    0.1200
7,FeI,4802.88,3.64,-1.514000000,74.01,7.23,    0.0500
8,FeI,4808.15,3.25,-2.690000000,49.91,7.38,    0.0900
9,FeI,4809.94,3.57,-2.620000000,30.51,7.23,    0.0400
10,FeI,4843.14,3.4,-1.650000000,94.71,7.39,    0.1100
11,FeI,4848.88,2.28,-3.137000000,70.71,7.2,    0.0800
12,FeI,4855.67,3.37,-1.700000000,90.31,7.47,    0.1900
13,FeI,4869.46,3.55,-2.420000000,39.41,7.2,    0.0700
14,FeI,4875.88,3.33,-1.900000000,81.31,7.32,    0.0400
15,FeI,4877.6,3.0,-3.050000000,42.71,7.26,    0.0100
16,FeI,4882.14,3.42,-1.480000000,90.71,7.16,    0.1100
17,FeI,4885.43,3.88,-0.970000000,86.61,7.22,    0.0500
18,FeI,4892.86,4.22,-1.290000000,67.81,7.38,    0.1000
19,FeII,4893.81,2.83,-4.267000000,18.81,7.28,    0.1300
20,FeI,4896.44,3.88,-1.890000000,56.61,7.4,    0.1200
21,FeI,4905.13,3.93,-1.730000000,52.71,7.19,    0.0800
22,FeI,4907.73,3.43,-1.700000000,82.11,7.23,    0.0500
23,FeI,4910.02,3.4,-1.310000000,101.51,7.34,    0.0600
24,FeI,4911.53,4.26,-1.840000000,43.01,7.46,    0.1700
25,FeI,4911.78,3.93,-1.790000000,60.51,7.43,    0.1500
26,FeI,4917.23,4.19,-1.080000000,78.01,7.36,    0.0800
27,FeI,4918.01,4.23,-1.260000000,64.11,7.29,    0.0100
28,FeI,4933.87,3.94,-1.560000000,58.21,7.18,    0.0900
29,FeI,4946.39,3.37,-1.110000000,117.01,7.16,    0.1100
30,FeI,4950.1,3.42,-1.490000000,92.41,7.2,    0.0700
31,FeI,4961.91,3.63,-2.190000000,46.31,7.21,    0.0600
32,FeI,4962.57,4.18,-1.182000000,64.11,7.16,    0.1100
33,FeI,4969.92,4.22,-0.710000000,90.11,7.24,    0.0300
34,FeI,4986.22,4.22,-1.290000000,63.61,7.3,    0.0100
35,FeII,4993.35,2.81,-3.684000000,39.51,7.26,    0.1200
36,FeI,4999.11,4.19,-1.640000000,46.61,7.28,    0.0000
37,FeI,5002.79,3.4,-1.460000000,96.71,7.22,    0.0500
38,FeI,5012.7,4.28,-1.690000000,47.81,7.43,    0.1500
39,FeI,5022.23,3.98,-0.370000000,116.11,7.11,    0.1600
40,FeI,5023.19,4.28,-1.500000000,52.01,7.33,    0.0500
41,FeI,5023.5,4.31,-1.670000000,44.51,7.37,    0.0900
42,FeI,5028.13,3.57,-1.036000000,104.11,7.4,    0.1200
43,FeI,5029.62,3.42,-1.950000000,70.81,7.31,    0.0300
44,FeI,5030.78,3.24,-2.830000000,35.61,7.17,    0.1100
45,FeI,5031.91,4.37,-1.570000000,39.11,7.22,    0.0500
46,FeI,5036.92,3.02,-3.010000000,45.11,7.3,    0.0200
47,FeI,5044.21,2.85,-2.038000000,96.31,7.21,    0.0600
48,FeI,5048.44,3.96,-1.005000000,84.31,7.18,    0.0900
49,FeI,5054.64,3.64,-1.921000000,57.21,7.19,    0.0800
50,FeI,5058.5,3.64,-2.830000000,22.41,7.3,    0.0200
51,FeI,5067.15,4.22,-0.970000000,85.81,7.43,    0.1400
52,FeI,5074.75,4.22,-0.230000000,118.41,7.19,    0.0800
53,FeI,5088.15,4.15,-1.680000000,48.81,7.31,    0.0200
54,FeI,5090.77,4.26,-0.440000000,97.31,7.13,    0.1500
55,FeI,5109.65,4.3,-0.980000000,79.01,7.37,    0.0900
56,FeI,5115.78,3.57,-2.640000000,41.01,7.47,    0.1900
57,FeI,5131.47,2.22,-2.515000000,113.81,7.43,    0.1500
58,FeII,5132.66,2.81,-4.094000000,18.11,7.07,    0.0700
59,FeI,5143.72,2.2,-3.690000000,55.51,7.26,    0.0200
60,FeI,5145.09,2.2,-2.876000000,89.41,7.24,    0.0300
61,FeI,5180.06,4.47,-1.160000000,66.81,7.47,    0.1900
62,FeI,5187.91,4.14,-1.371000000,68.61,7.48,    0.2000
63,FeI,5217.92,3.64,-1.719000000,63.61,7.13,    0.1400
64,FeI,5225.53,0.11,-4.789000000,114.71,7.31,    0.0300
65,FeI,5228.38,4.22,-1.190000000,76.71,7.47,    0.1900
66,FeII,5234.62,3.22,-2.180000000,75.91,7.12,    0.0100
67,FeI,5236.2,4.19,-1.497000000,45.81,7.11,    0.1600
68,FeI,5242.49,3.63,-0.967000000,98.41,7.16,    0.1100
69,FeI,5243.78,4.26,-1.050000000,74.31,7.31,    0.0300
70,FeI,5247.05,0.09,-4.949000000,111.31,7.36,    0.0700
71,FeI,5250.21,0.12,-4.933000000,113.71,7.43,    0.1500
72,FeI,5253.02,2.28,-3.840000000,40.61,7.17,    0.1000
73,FeII,5256.93,2.89,-4.182000000,12.11,7.01,    0.1300
74,FeII,5264.8,3.23,-3.130000000,36.51,7.09,    0.0500
75,FeI,5267.27,4.37,-1.596000000,39.01,7.24,    0.0300
76,FeI,5285.13,4.43,-1.660000000,38.91,7.37,    0.0900
77,FeI,5288.52,3.7,-1.493000000,74.81,7.22,    0.0500
78,FeI,5293.96,4.14,-1.770000000,43.11,7.27,    0.0000
79,FeI,5294.55,3.64,-2.760000000,26.91,7.33,    0.0500
80,FeI,5295.31,4.42,-1.590000000,38.31,7.27,    0.0100
81,FeI,5298.78,3.64,-2.016000000,63.71,7.41,    0.1300
82,FeI,5307.36,1.61,-2.912000000,116.51,7.16,    0.1100
83,FeI,5315.07,4.37,-1.650000000,44.01,7.4,    0.1200
84,FeI,5320.04,3.64,-2.440000000,34.01,7.18,    0.0900
85,FeI,5322.04,2.28,-2.802000000,87.61,7.19,    0.0800
86,FeII,5325.55,3.22,-3.160000000,36.71,7.12,    0.0200
87,FeI,5326.14,3.57,-2.071000000,57.21,7.25,    0.0200
88,FeI,5329.99,4.08,-1.196000000,70.81,7.28,    0.0000
89,FeI,5373.71,4.47,-0.710000000,73.21,7.15,    0.1300
90,FeI,5376.83,4.29,-2.210000000,25.81,7.48,    0.2000
91,FeI,5379.57,3.7,-1.514000000,76.11,7.26,    0.0200
92,FeI,5386.33,4.15,-1.670000000,43.71,7.17,    0.1000
93,FeI,5398.28,4.45,-0.630000000,78.01,7.14,    0.1400
94,FeI,5401.27,4.32,-1.820000000,40.31,7.44,    0.1500
95,FeI,5406.78,4.37,-1.620000000,46.11,7.41,    0.1300
96,FeI,5409.13,4.37,-1.200000000,65.41,7.39,    0.1100
97,FeI,5412.78,4.43,-1.716000000,29.11,7.21,    0.0600
98,FeI,5417.03,4.42,-1.580000000,43.11,7.35,    0.0700
99,FeII,5425.25,3.2,-3.220000000,34.71,7.1,    0.0300
100,FeI,5432.95,4.45,-0.940000000,78.91,7.45,    0.1700
101,FeI,5436.3,4.39,-1.440000000,50.01,7.33,    0.0400
102,FeI,5436.59,2.28,-2.964000000,84.41,7.25,    0.0200
103,FeI,5441.34,4.31,-1.630000000,41.41,7.26,    0.0100
104,FeI,5461.55,4.45,-1.800000000,36.11,7.46,    0.1800
105,FeI,5466.4,4.37,-0.630000000,87.91,7.25,    0.0200
106,FeI,5466.99,3.57,-2.233000000,48.91,7.21,    0.0600
107,FeI,5470.09,4.45,-1.710000000,35.41,7.35,    0.0700
108,FeI,5473.16,4.19,-2.040000000,30.31,7.29,    0.0100
109,FeI,5473.9,4.15,-0.720000000,90.11,7.17,    0.1000
110,FeI,5483.1,4.15,-1.392000000,59.41,7.22,    0.0500
111,FeI,5487.14,4.42,-1.430000000,49.71,7.34,    0.0600
112,FeI,5491.83,4.19,-2.188000000,18.51,7.13,    0.1400
113,FeI,5493.5,4.1,-1.480000000,55.61,7.17,    0.1000
114,FeI,5494.46,4.08,-1.990000000,40.41,7.35,    0.0700
115,FeI,5522.45,4.21,-1.450000000,54.81,7.24,    0.0300
116,FeI,5525.54,4.23,-1.084000000,65.81,7.13,    0.1400
117,FeII,5534.84,3.24,-2.865000000,51.81,7.24,    0.1000
118,FeI,5536.58,2.83,-3.710000000,19.01,7.15,    0.1200
119,FeI,5538.52,4.22,-1.540000000,51.41,7.29,    0.0100
120,FeI,5539.28,3.64,-2.560000000,33.31,7.27,    0.0000
121,FeI,5539.82,4.29,-2.430000000,14.91,7.37,    0.0900
122,FeI,5543.15,3.7,-1.470000000,76.41,7.2,    0.0700
123,FeI,5543.94,4.22,-1.040000000,73.71,7.24,    0.0400
124,FeI,5546.51,4.37,-1.210000000,63.11,7.35,    0.0700
125,FeI,5549.95,3.7,-2.810000000,19.51,7.24,    0.0400
126,FeI,5554.89,4.55,-0.270000000,103.51,7.28,    0.0000
127,FeI,5560.21,4.43,-1.090000000,58.41,7.2,    0.0800
128,FeI,5584.76,3.57,-2.220000000,58.51,7.4,    0.1200
129,FeI,5587.57,4.14,-1.750000000,49.51,7.39,    0.1000
130,FeI,5600.22,4.26,-1.420000000,50.71,7.2,    0.0700
131,FeI,5618.63,4.21,-1.255000000,61.51,7.18,    0.0900
132,FeI,5619.6,4.39,-1.600000000,48.11,7.44,    0.1600
133,FeI,5633.95,4.99,-0.230000000,73.11,7.28,    0.0000
134,FeI,5635.82,4.26,-1.790000000,46.01,7.44,    0.1600
135,FeI,5636.7,3.64,-2.510000000,33.81,7.22,    0.0500
136,FeI,5638.26,4.22,-0.720000000,85.71,7.15,    0.1300
137,FeI,5641.43,4.26,-1.080000000,79.21,7.42,    0.1400
138,FeI,5649.99,5.1,-0.820000000,42.21,7.34,    0.0600
139,FeI,5650.7,5.09,-0.860000000,43.01,7.39,    0.1100
140,FeI,5651.47,4.47,-1.900000000,25.81,7.35,    0.0700
141,FeI,5652.32,4.26,-1.850000000,38.21,7.35,    0.0600
142,FeI,5653.86,4.39,-1.540000000,50.71,7.44,    0.1600
143,FeI,5655.18,5.06,-0.600000000,57.31,7.3,    0.0100
144,FeI,5655.49,4.26,-0.980000000,76.71,7.34,    0.0600
145,FeI,5661.34,4.28,-1.756000000,34.21,7.19,    0.0800
146,FeI,5679.02,4.65,-0.820000000,71.71,7.4,    0.1100
147,FeI,5680.24,4.19,-2.480000000,19.51,7.45,    0.1700
148,FeI,5686.53,4.55,-0.445000000,81.01,7.21,    0.0600
149,FeI,5691.5,4.3,-1.450000000,53.51,7.31,    0.0300
150,FeI,5698.02,3.64,-2.580000000,29.21,7.19,    0.0900
151,FeI,5701.54,2.56,-2.193000000,108.51,7.27,    0.0000
152,FeI,5705.46,4.3,-1.355000000,48.51,7.11,    0.1600
