,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
203,FeI,6311.5,2.83,-3.141000000,73.31,7.6,    0.0100
204,FeI,6315.81,4.08,-1.630000000,76.81,7.62,    0.0100
205,FeI,6338.88,4.8,-0.960000000,65.31,7.52,    0.0900
206,FeI,6353.84,0.92,-6.477000000,22.81,7.69,    0.0700
207,FeII,6369.46,2.89,-4.110000000,23.31,7.32,    0.1700
208,FeI,6380.74,4.19,-1.375000000,88.01,7.73,    0.1100
209,FeII,6416.92,3.89,-2.877000000,46.31,7.78,    0.2800
210,FeII,6432.68,2.89,-3.570000000,47.51,7.4,    0.1000
211,FeII,6456.38,3.9,-2.185000000,61.21,7.45,    0.0400
212,FeI,6475.62,2.56,-2.941000000,110.91,7.81,    0.2000
213,FeI,6481.87,2.28,-2.981000000,116.81,7.64,    0.0200
214,FeI,6496.47,4.8,-0.530000000,87.41,7.49,    0.1200
215,FeI,6498.94,0.96,-4.687000000,112.21,7.63,    0.0100
216,FeII,6516.08,2.89,-3.310000000,67.11,7.57,    0.0700
217,FeI,6533.93,4.56,-1.360000000,67.61,7.68,    0.0600
218,FeI,6569.21,4.73,-0.380000000,100.31,7.5,    0.1100
219,FeI,6574.23,0.99,-5.004000000,93.81,7.6,    0.0000
220,FeI,6575.02,2.59,-2.710000000,113.61,7.65,    0.0400
221,FeI,6581.21,1.48,-4.679000000,80.81,7.63,    0.0200
222,FeI,6597.56,4.8,-0.970000000,67.71,7.56,    0.0500
223,FeI,6608.02,2.28,-3.930000000,67.01,7.58,    0.0300
224,FeI,6609.11,2.56,-2.691000000,119.51,7.71,    0.0900
225,FeI,6627.54,4.55,-1.590000000,55.41,7.67,    0.0500
226,FeI,6633.41,4.84,-1.390000000,57.11,7.82,    0.2100
227,FeI,6633.75,4.56,-0.799000000,90.51,7.54,    0.0700
228,FeI,6634.11,4.8,-1.330000000,62.31,7.82,    0.2000
229,FeI,6667.71,4.58,-2.112000000,29.21,7.71,    0.1000
230,FeI,6699.14,4.59,-2.101000000,24.11,7.59,    0.0200
231,FeI,6703.57,2.76,-3.060000000,81.91,7.57,    0.0400
232,FeI,6713.74,4.8,-1.500000000,42.11,7.6,    0.0100
233,FeI,6725.36,4.1,-2.100000000,44.71,7.46,    0.1500
234,FeI,6786.86,4.19,-1.970000000,54.21,7.6,    0.0100
235,FeI,6793.26,4.08,-2.326000000,35.91,7.49,    0.1200
236,FeI,6804.0,4.65,-1.496000000,50.11,7.58,    0.0200
237,FeI,6804.27,4.58,-1.813000000,37.51,7.59,    0.0200
