,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4793.96,3.05,-3.430000000,27.41,7.03,    0.0500
1,FeI,4794.35,2.42,-3.950000000,42.21,7.1,    0.0100
2,FeI,4799.41,3.64,-2.130000000,65.61,7.24,    0.1500
3,FeI,4802.88,3.64,-1.514000000,84.81,7.09,    0.0100
4,FeI,4808.15,3.25,-2.690000000,51.61,7.03,    0.0500
5,FeI,4809.94,3.57,-2.620000000,35.21,7.01,    0.0600
6,FeI,4839.54,3.27,-1.822000000,93.41,7.17,    0.0900
7,FeI,4843.14,3.4,-1.650000000,102.41,7.29,    0.2000
8,FeI,4848.88,2.28,-3.137000000,86.21,7.06,    0.0200
9,FeI,4869.46,3.55,-2.420000000,52.81,7.14,    0.0500
10,FeI,4875.88,3.33,-1.900000000,92.81,7.24,    0.1500
11,FeI,4877.6,3.0,-3.050000000,57.51,7.18,    0.1000
12,FeI,4882.14,3.42,-1.480000000,99.41,7.06,    0.0100
13,FeI,4885.43,3.88,-0.970000000,90.01,6.95,    0.1200
14,FeI,4892.86,4.22,-1.290000000,69.91,7.16,    0.0700
15,FeII,4893.81,2.83,-4.267000000,27.21,7.09,    0.1400
16,FeI,4896.44,3.88,-1.890000000,61.51,7.18,    0.1000
17,FeI,4905.13,3.93,-1.730000000,58.71,7.01,    0.0700
18,FeI,4907.73,3.43,-1.700000000,93.91,7.17,    0.0800
19,FeI,4910.02,3.4,-1.310000000,111.61,7.24,    0.1500
20,FeI,4911.53,4.26,-1.840000000,43.31,7.2,    0.1100
21,FeI,4911.78,3.93,-1.790000000,67.31,7.26,    0.1700
22,FeI,4917.23,4.19,-1.080000000,80.11,7.15,    0.0600
23,FeI,4918.01,4.23,-1.260000000,69.51,7.13,    0.0500
24,FeI,4950.1,3.42,-1.490000000,100.61,7.09,    0.0000
25,FeI,4961.91,3.63,-2.190000000,55.41,7.05,    0.0200
26,FeI,4962.57,4.18,-1.182000000,69.91,7.0,    0.0800
27,FeI,4969.92,4.22,-0.710000000,94.61,7.13,    0.0400
