,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4786.81,3.02,-1.606000000,113.71,7.41,    0.1100
1,FeI,4787.83,3.0,-2.604000000,79.41,7.42,    0.1200
2,FeI,4788.76,3.24,-1.763000000,97.71,7.4,    0.1000
3,FeI,4793.96,3.05,-3.430000000,27.01,7.19,    0.1000
4,FeI,4794.35,2.42,-3.950000000,43.01,7.31,    0.0100
5,FeI,4799.41,3.64,-2.130000000,67.71,7.45,    0.1500
6,FeI,4802.88,3.64,-1.514000000,84.81,7.26,    0.0200
7,FeI,4808.15,3.25,-2.690000000,59.81,7.38,    0.0800
8,FeI,4809.94,3.57,-2.620000000,40.81,7.28,    0.0100
9,FeI,4839.54,3.27,-1.822000000,96.61,7.45,    0.1500
10,FeI,4843.14,3.4,-1.650000000,105.21,7.48,    0.1800
11,FeI,4848.88,2.28,-3.137000000,85.21,7.26,    0.0300
12,FeI,4869.46,3.55,-2.420000000,50.81,7.25,    0.0400
13,FeI,4875.88,3.33,-1.900000000,89.41,7.32,    0.0200
14,FeI,4877.6,3.0,-3.050000000,57.61,7.37,    0.0700
15,FeI,4882.14,3.42,-1.480000000,102.71,7.28,    0.0100
16,FeI,4885.43,3.88,-0.970000000,93.31,7.19,    0.1000
17,FeI,4892.86,4.22,-1.290000000,74.21,7.38,    0.0800
18,FeI,4896.44,3.88,-1.890000000,67.21,7.45,    0.1600
19,FeI,4905.13,3.93,-1.730000000,61.71,7.22,    0.0700
20,FeI,4907.73,3.43,-1.700000000,90.41,7.24,    0.0500
21,FeI,4910.02,3.4,-1.310000000,110.01,7.36,    0.0600
22,FeI,4911.53,4.26,-1.840000000,49.41,7.44,    0.1500
23,FeI,4911.78,3.93,-1.790000000,69.71,7.46,    0.1600
24,FeI,4917.23,4.19,-1.080000000,86.81,7.42,    0.1200
25,FeI,4918.01,4.23,-1.260000000,72.81,7.33,    0.0300
26,FeI,4950.1,3.42,-1.490000000,103.41,7.29,    0.0000
27,FeI,4961.91,3.63,-2.190000000,58.11,7.27,    0.0200
28,FeI,4962.57,4.18,-1.182000000,74.41,7.23,    0.0600
29,FeI,4969.92,4.22,-0.710000000,97.61,7.3,    0.0000
30,FeI,4986.22,4.22,-1.290000000,68.11,7.24,    0.0500
31,FeI,4992.78,4.26,-2.350000000,14.51,7.13,    0.1600
32,FeII,4993.35,2.81,-3.684000000,45.41,7.12,    0.0200
33,FeI,4999.11,4.19,-1.640000000,52.31,7.23,    0.0600
34,FeII,5000.73,2.78,-4.578000000,14.21,7.11,    0.0300
35,FeI,5002.79,3.4,-1.460000000,106.31,7.29,    0.0000
36,FeI,5023.19,4.28,-1.500000000,57.51,7.3,    0.0000
37,FeI,5023.5,4.31,-1.670000000,53.91,7.42,    0.1300
38,FeI,5028.13,3.57,-1.036000000,114.21,7.43,    0.1300
39,FeI,5029.62,3.42,-1.950000000,80.11,7.28,    0.0100
40,FeI,5030.78,3.24,-2.830000000,49.01,7.25,    0.0400
41,FeI,5031.91,4.37,-1.570000000,45.01,7.21,    0.0800
42,FeI,5036.92,3.02,-3.010000000,55.91,7.31,    0.0100
43,FeI,5044.21,2.85,-2.038000000,108.41,7.29,    0.0000
44,FeI,5048.44,3.96,-1.005000000,95.51,7.28,    0.0100
45,FeI,5054.64,3.64,-1.921000000,67.01,7.19,    0.1000
46,FeI,5058.5,3.64,-2.830000000,28.31,7.29,    0.0000
47,FeI,5067.15,4.22,-0.970000000,90.51,7.41,    0.1100
48,FeI,5088.15,4.15,-1.680000000,55.61,7.29,    0.0000
49,FeI,5090.77,4.26,-0.440000000,103.61,7.18,    0.1100
50,FeII,5100.66,2.81,-4.197000000,27.61,7.18,    0.0400
51,FeI,5104.44,4.28,-1.590000000,61.81,7.47,    0.1700
52,FeI,5109.65,4.3,-0.980000000,85.61,7.39,    0.0900
53,FeI,5115.78,3.57,-2.640000000,44.31,7.35,    0.0500
54,FeII,5132.66,2.81,-4.094000000,27.71,7.09,    0.0500
55,FeII,5136.8,2.84,-4.356000000,17.31,7.08,    0.0600
56,FeI,5143.72,2.2,-3.690000000,66.41,7.22,    0.0700
57,FeI,5145.09,2.2,-2.876000000,98.41,7.16,    0.1300
58,FeI,5180.06,4.47,-1.160000000,72.21,7.46,    0.1600
59,FeI,5217.92,3.64,-1.719000000,73.41,7.13,    0.1600
60,FeII,5234.62,3.22,-2.180000000,87.31,7.1,    0.0400
61,FeI,5236.2,4.19,-1.497000000,57.51,7.19,    0.1000
62,FeI,5242.49,3.63,-0.967000000,106.71,7.15,    0.1400
63,FeI,5243.78,4.26,-1.050000000,79.21,7.27,    0.0200
64,FeI,5253.02,2.28,-3.840000000,54.11,7.2,    0.0900
