,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4793.96,3.05,-3.430000000,22.61,7.03,    0.1600
1,FeI,4794.35,2.42,-3.950000000,35.61,7.1,    0.0900
2,FeI,4799.41,3.64,-2.130000000,65.91,7.33,    0.1300
3,FeI,4802.88,3.64,-1.514000000,87.81,7.26,    0.0600
4,FeI,4808.15,3.25,-2.690000000,51.91,7.14,    0.0600
5,FeI,4809.94,3.57,-2.620000000,35.41,7.11,    0.0800
6,FeI,4839.54,3.27,-1.822000000,98.61,7.4,    0.2000
7,FeI,4848.88,2.28,-3.137000000,86.41,7.19,    0.0000
8,FeI,4869.46,3.55,-2.420000000,45.01,7.07,    0.1200
9,FeI,4875.88,3.33,-1.900000000,88.81,7.24,    0.0400
10,FeI,4877.6,3.0,-3.050000000,53.61,7.22,    0.0200
11,FeI,4882.14,3.42,-1.480000000,105.21,7.29,    0.0900
12,FeI,4885.43,3.88,-0.970000000,97.11,7.21,    0.0100
13,FeI,4892.86,4.22,-1.290000000,75.31,7.35,    0.1500
14,FeII,4893.81,2.83,-4.267000000,34.81,7.25,    0.1700
15,FeI,4896.44,3.88,-1.890000000,62.81,7.29,    0.0900
16,FeI,4905.13,3.93,-1.730000000,58.31,7.09,    0.1100
17,FeI,4907.73,3.43,-1.700000000,92.81,7.24,    0.0400
18,FeI,4910.02,3.4,-1.310000000,113.11,7.36,    0.1600
19,FeI,4911.53,4.26,-1.840000000,45.41,7.31,    0.1100
20,FeI,4911.78,3.93,-1.790000000,70.11,7.4,    0.2000
21,FeI,4917.23,4.19,-1.080000000,87.71,7.39,    0.1900
22,FeI,4918.01,4.23,-1.260000000,70.91,7.24,    0.0400
23,FeI,4950.1,3.42,-1.490000000,106.41,7.31,    0.1100
24,FeI,4961.91,3.63,-2.190000000,55.71,7.15,    0.0400
25,FeI,4962.57,4.18,-1.182000000,73.21,7.15,    0.0500
26,FeI,4969.92,4.22,-0.710000000,98.31,7.28,    0.0800
27,FeI,4986.22,4.22,-1.290000000,66.51,7.15,    0.0400
28,FeI,4992.78,4.26,-2.350000000,12.91,7.03,    0.1600
29,FeII,4993.35,2.81,-3.684000000,50.31,7.02,    0.0600
30,FeI,4999.11,4.19,-1.640000000,48.31,7.09,    0.1000
31,FeII,5000.73,2.78,-4.578000000,18.31,7.06,    0.0200
32,FeI,5002.79,3.4,-1.460000000,109.41,7.32,    0.1100
33,FeI,5012.7,4.28,-1.690000000,56.41,7.41,    0.2100
34,FeI,5023.19,4.28,-1.500000000,57.41,7.24,    0.0400
35,FeI,5023.5,4.31,-1.670000000,52.21,7.34,    0.1400
36,FeI,5028.13,3.57,-1.036000000,117.91,7.44,    0.2400
37,FeI,5029.62,3.42,-1.950000000,81.61,7.22,    0.0200
38,FeI,5030.78,3.24,-2.830000000,45.21,7.11,    0.0800
39,FeI,5031.91,4.37,-1.570000000,38.81,7.04,    0.1500
40,FeI,5036.92,3.02,-3.010000000,54.71,7.21,    0.0100
41,FeI,5044.21,2.85,-2.038000000,110.41,7.28,    0.0700
42,FeI,5048.44,3.96,-1.005000000,98.21,7.29,    0.0800
43,FeI,5054.64,3.64,-1.921000000,64.01,7.05,    0.1400
44,FeI,5058.5,3.64,-2.830000000,25.41,7.17,    0.0200
45,FeI,5067.15,4.22,-0.970000000,92.91,7.42,    0.2100
46,FeI,5088.15,4.15,-1.680000000,49.61,7.11,    0.0800
47,FeI,5090.77,4.26,-0.440000000,103.31,7.14,    0.0500
48,FeII,5100.66,2.81,-4.197000000,31.51,7.09,    0.0000
49,FeI,5104.44,4.28,-1.590000000,58.01,7.34,    0.1400
50,FeI,5115.78,3.57,-2.640000000,39.21,7.19,    0.0000
51,FeII,5132.66,2.81,-4.094000000,29.81,6.94,    0.1400
52,FeII,5136.8,2.84,-4.356000000,19.21,6.94,    0.1400
53,FeI,5143.72,2.2,-3.690000000,64.21,7.09,    0.1000
54,FeI,5145.09,2.2,-2.876000000,97.21,7.02,    0.1700
55,FeI,5159.06,4.28,-0.820000000,80.61,7.05,    0.1400
