,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4788.76,3.24,-1.763000000,111.91,7.7,    0.1900
1,FeI,4793.96,3.05,-3.430000000,35.11,7.36,    0.1500
2,FeI,4794.35,2.42,-3.950000000,51.31,7.46,    0.0500
3,FeI,4799.41,3.64,-2.130000000,80.01,7.7,    0.1800
4,FeI,4802.88,3.64,-1.514000000,94.91,7.46,    0.0500
5,FeI,4808.15,3.25,-2.690000000,67.71,7.52,    0.0000
6,FeI,4809.94,3.57,-2.620000000,46.51,7.38,    0.1300
7,FeI,4839.54,3.27,-1.822000000,110.11,7.73,    0.2200
8,FeI,4848.88,2.28,-3.137000000,99.01,7.54,    0.0300
9,FeI,4869.46,3.55,-2.420000000,62.91,7.48,    0.0300
10,FeI,4875.88,3.33,-1.900000000,99.71,7.52,    0.0000
11,FeI,4877.6,3.0,-3.050000000,70.81,7.62,    0.1000
12,FeI,4882.14,3.42,-1.480000000,118.11,7.58,    0.0600
13,FeI,4885.43,3.88,-0.970000000,104.41,7.41,    0.1000
14,FeI,4892.86,4.22,-1.290000000,87.31,7.65,    0.1300
15,FeI,4905.13,3.93,-1.730000000,76.31,7.51,    0.0000
16,FeI,4907.73,3.43,-1.700000000,104.41,7.53,    0.0100
17,FeI,4911.53,4.26,-1.840000000,62.51,7.7,    0.1800
18,FeI,4911.78,3.93,-1.790000000,82.61,7.72,    0.2000
19,FeI,4917.23,4.19,-1.080000000,101.51,7.72,    0.2000
20,FeI,4918.01,4.23,-1.260000000,84.71,7.57,    0.0500
21,FeI,4950.1,3.42,-1.490000000,119.61,7.61,    0.0900
22,FeI,4961.91,3.63,-2.190000000,68.91,7.47,    0.0400
23,FeI,4962.57,4.18,-1.182000000,85.21,7.44,    0.0700
24,FeI,4969.92,4.22,-0.710000000,109.71,7.54,    0.0200
25,FeI,4986.22,4.22,-1.290000000,79.61,7.47,    0.0400
26,FeI,4992.78,4.26,-2.350000000,21.41,7.34,    0.1600
27,FeII,4993.35,2.81,-3.684000000,53.61,7.24,    0.1500
28,FeI,4999.11,4.19,-1.640000000,63.81,7.45,    0.0600
29,FeII,5000.73,2.78,-4.578000000,21.81,7.31,    0.0800
30,FeI,5012.7,4.28,-1.690000000,69.01,7.7,    0.1900
31,FeI,5023.19,4.28,-1.500000000,68.71,7.51,    0.0000
32,FeI,5023.5,4.31,-1.670000000,66.61,7.67,    0.1500
33,FeI,5029.62,3.42,-1.950000000,100.51,7.73,    0.2200
34,FeI,5030.78,3.24,-2.830000000,63.11,7.51,    0.0000
35,FeI,5031.91,4.37,-1.570000000,55.91,7.41,    0.1000
36,FeI,5036.92,3.02,-3.010000000,65.21,7.47,    0.0400
37,FeI,5039.25,3.37,-1.528000000,105.31,7.34,    0.1700
38,FeI,5048.44,3.96,-1.005000000,111.91,7.6,    0.0900
39,FeI,5054.64,3.64,-1.921000000,75.01,7.33,    0.1800
40,FeI,5058.5,3.64,-2.830000000,36.71,7.46,    0.0500
41,FeI,5067.15,4.22,-0.970000000,103.71,7.67,    0.1500
42,FeI,5088.15,4.15,-1.680000000,63.11,7.42,    0.0900
43,FeI,5090.77,4.26,-0.440000000,115.11,7.4,    0.1100
44,FeII,5100.66,2.81,-4.197000000,35.81,7.34,    0.0500
45,FeI,5104.44,4.28,-1.590000000,68.51,7.59,    0.0700
46,FeI,5115.78,3.57,-2.640000000,56.81,7.58,    0.0600
47,FeII,5132.66,2.81,-4.094000000,36.21,7.25,    0.1400
48,FeII,5136.8,2.84,-4.356000000,26.51,7.3,    0.0900
49,FeI,5143.72,2.2,-3.690000000,77.31,7.41,    0.1000
50,FeI,5145.09,2.2,-2.876000000,107.91,7.32,    0.1900
51,FeI,5180.06,4.47,-1.160000000,76.81,7.54,    0.0200
52,FeI,5197.94,4.3,-1.540000000,57.91,7.33,    0.1700
53,FeI,5217.92,3.64,-1.719000000,85.51,7.35,    0.1600
54,FeII,5234.62,3.22,-2.180000000,102.21,7.37,    0.0200
55,FeI,5236.2,4.19,-1.497000000,69.81,7.42,    0.0900
56,FeI,5242.49,3.63,-0.967000000,118.31,7.36,    0.1500
57,FeI,5243.78,4.26,-1.050000000,89.71,7.46,    0.0500
58,FeI,5253.02,2.28,-3.840000000,63.81,7.36,    0.1500
59,FeII,5256.93,2.89,-4.182000000,34.31,7.38,    0.0100
60,FeII,5264.8,3.23,-3.130000000,59.71,7.31,    0.0800
61,FeI,5267.27,4.37,-1.596000000,59.61,7.5,    0.0100
62,FeII,5284.1,2.89,-3.195000000,83.51,7.55,    0.1500
63,FeI,5285.13,4.43,-1.660000000,55.71,7.56,    0.0400
64,FeI,5288.52,3.7,-1.493000000,100.31,7.53,    0.0100
65,FeI,5293.96,4.14,-1.770000000,64.41,7.52,    0.0000
66,FeI,5294.55,3.64,-2.760000000,43.91,7.51,    0.0000
67,FeI,5295.31,4.42,-1.590000000,55.51,7.46,    0.0500
68,FeI,5298.78,3.64,-2.016000000,90.61,7.75,    0.2300
69,FeI,5315.07,4.37,-1.650000000,68.81,7.74,    0.2200
70,FeI,5320.04,3.64,-2.440000000,55.11,7.41,    0.1000
71,FeI,5322.04,2.28,-2.802000000,115.71,7.48,    0.0300
72,FeII,5325.55,3.22,-3.160000000,60.51,7.35,    0.0400
73,FeI,5326.14,3.57,-2.071000000,83.71,7.56,    0.0500
74,FeI,5329.99,4.08,-1.196000000,96.91,7.61,    0.0900
75,FeI,5373.71,4.47,-0.710000000,90.71,7.37,    0.1400
76,FeI,5376.83,4.29,-2.210000000,41.21,7.66,    0.1500
77,FeI,5379.57,3.7,-1.514000000,99.21,7.5,    0.0100
78,FeI,5386.33,4.15,-1.670000000,62.71,7.37,    0.1300
79,FeI,5389.48,4.42,-0.410000000,106.41,7.32,    0.1900
80,FeI,5395.22,4.45,-2.070000000,44.11,7.75,    0.2300
81,FeI,5398.28,4.45,-0.630000000,96.91,7.38,    0.1200
82,FeI,5401.27,4.32,-1.820000000,60.71,7.68,    0.1600
83,FeI,5403.82,4.08,-1.034000000,107.21,7.69,    0.1700
84,FeI,5406.78,4.37,-1.620000000,65.01,7.62,    0.1100
85,FeI,5412.78,4.43,-1.716000000,44.21,7.38,    0.1200
86,FeII,5414.07,3.22,-3.580000000,38.41,7.25,    0.1400
87,FeI,5417.03,4.42,-1.580000000,60.11,7.53,    0.0200
88,FeII,5425.25,3.2,-3.220000000,54.21,7.24,    0.1500
89,FeI,5432.95,4.45,-0.940000000,97.31,7.69,    0.1700
90,FeI,5436.3,4.39,-1.440000000,69.11,7.54,    0.0300
91,FeI,5436.59,2.28,-2.964000000,117.61,7.64,    0.1300
92,FeI,5441.34,4.31,-1.630000000,60.11,7.47,    0.0400
93,FeI,5461.55,4.45,-1.800000000,54.31,7.68,    0.1600
94,FeI,5464.28,4.14,-1.402000000,75.01,7.36,    0.1500
95,FeI,5466.4,4.37,-0.630000000,108.21,7.53,    0.0100
96,FeI,5466.99,3.57,-2.233000000,76.41,7.55,    0.0300
97,FeI,5470.09,4.45,-1.710000000,52.61,7.55,    0.0300
98,FeI,5472.71,4.21,-1.495000000,81.51,7.65,    0.1300
99,FeI,5473.16,4.19,-2.040000000,47.81,7.49,    0.0100
100,FeI,5473.9,4.15,-0.720000000,112.81,7.47,    0.0400
101,FeI,5483.1,4.15,-1.392000000,79.21,7.43,    0.0800
102,FeI,5487.14,4.42,-1.430000000,71.91,7.62,    0.1000
103,FeI,5491.83,4.19,-2.188000000,33.31,7.35,    0.1600
104,FeI,5493.5,4.1,-1.480000000,80.01,7.48,    0.0300
105,FeI,5494.46,4.08,-1.990000000,59.41,7.54,    0.0200
106,FeI,5522.45,4.21,-1.450000000,72.51,7.41,    0.1000
107,FeII,5525.12,3.27,-3.970000000,29.21,7.46,    0.0600
108,FeI,5525.54,4.23,-1.084000000,87.71,7.39,    0.1200
109,FeI,5528.9,4.47,-1.920000000,43.01,7.6,    0.0900
110,FeII,5534.84,3.24,-2.865000000,85.21,7.66,    0.2600
111,FeI,5536.58,2.83,-3.710000000,34.11,7.32,    0.1900
