,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4793.96,3.05,-3.430000000,46.91,7.49,    0.0800
1,FeI,4794.35,2.42,-3.950000000,65.21,7.6,    0.0200
2,FeI,4798.27,4.19,-1.174000000,85.61,7.4,    0.1700
3,FeI,4799.41,3.64,-2.130000000,87.21,7.74,    0.1600
4,FeI,4802.88,3.64,-1.514000000,100.81,7.46,    0.1200
5,FeI,4808.15,3.25,-2.690000000,74.51,7.54,    0.0300
6,FeI,4809.94,3.57,-2.620000000,57.61,7.51,    0.0700
7,FeI,4848.88,2.28,-3.137000000,113.71,7.72,    0.1300
8,FeI,4869.46,3.55,-2.420000000,74.41,7.62,    0.0300
9,FeI,4875.88,3.33,-1.900000000,107.51,7.56,    0.0200
10,FeI,4885.43,3.88,-0.970000000,110.51,7.41,    0.1600
11,FeI,4892.86,4.22,-1.290000000,99.81,7.81,    0.2300
12,FeI,4905.13,3.93,-1.730000000,89.21,7.68,    0.1000
13,FeI,4907.73,3.43,-1.700000000,111.81,7.55,    0.0300
14,FeI,4911.53,4.26,-1.840000000,72.81,7.82,    0.2400
15,FeI,4911.78,3.93,-1.790000000,92.71,7.83,    0.2400
16,FeI,4917.23,4.19,-1.080000000,109.71,7.78,    0.2000
17,FeI,4918.01,4.23,-1.260000000,89.61,7.57,    0.0000
18,FeI,4961.91,3.63,-2.190000000,77.51,7.54,    0.0400
19,FeI,4962.57,4.18,-1.182000000,91.81,7.48,    0.1000
20,FeI,4986.22,4.22,-1.290000000,85.01,7.48,    0.1000
21,FeII,4993.35,2.81,-3.684000000,50.01,7.21,    0.1100
22,FeI,4999.11,4.19,-1.640000000,74.11,7.58,    0.0000
23,FeI,5012.7,4.28,-1.690000000,72.51,7.69,    0.1100
24,FeI,5023.19,4.28,-1.500000000,81.51,7.68,    0.1000
25,FeI,5023.5,4.31,-1.670000000,76.81,7.79,    0.2100
26,FeI,5029.62,3.42,-1.950000000,107.01,7.73,    0.1400
27,FeI,5030.78,3.24,-2.830000000,74.11,7.62,    0.0400
28,FeI,5031.91,4.37,-1.570000000,68.51,7.59,    0.0000
29,FeI,5036.92,3.02,-3.010000000,75.61,7.57,    0.0100
30,FeI,5054.64,3.64,-1.921000000,84.81,7.42,    0.1500
31,FeI,5058.5,3.64,-2.830000000,41.11,7.47,    0.1000
32,FeI,5067.15,4.22,-0.970000000,112.81,7.74,    0.1600
33,FeI,5088.15,4.15,-1.680000000,68.31,7.44,    0.1400
34,FeII,5100.66,2.81,-4.197000000,35.71,7.39,    0.0600
35,FeI,5109.65,4.3,-0.980000000,103.11,7.63,    0.0500
36,FeI,5115.78,3.57,-2.640000000,66.51,7.67,    0.0900
37,FeII,5132.66,2.81,-4.094000000,29.41,7.13,    0.1900
38,FeII,5136.8,2.84,-4.356000000,19.91,7.16,    0.1600
39,FeI,5143.72,2.2,-3.690000000,94.61,7.62,    0.0300
40,FeI,5180.06,4.47,-1.160000000,93.31,7.79,    0.2000
41,FeI,5217.92,3.64,-1.719000000,95.21,7.44,    0.1400
42,FeII,5234.62,3.22,-2.180000000,95.11,7.23,    0.0900
43,FeI,5236.2,4.19,-1.497000000,78.21,7.5,    0.0800
44,FeI,5243.78,4.26,-1.050000000,98.01,7.53,    0.0400
45,FeI,5253.02,2.28,-3.840000000,73.01,7.4,    0.1800
46,FeII,5256.93,2.89,-4.182000000,30.81,7.35,    0.0200
47,FeII,5264.8,3.23,-3.130000000,51.71,7.18,    0.1400
48,FeI,5267.27,4.37,-1.596000000,73.31,7.69,    0.1100
49,FeII,5284.1,2.89,-3.195000000,82.31,7.56,    0.2300
50,FeI,5285.13,4.43,-1.660000000,60.81,7.58,    0.0000
51,FeI,5288.52,3.7,-1.493000000,110.01,7.6,    0.0200
52,FeI,5293.96,4.14,-1.770000000,73.31,7.61,    0.0200
53,FeI,5294.55,3.64,-2.760000000,55.31,7.64,    0.0600
54,FeI,5295.31,4.42,-1.590000000,60.11,7.48,    0.1000
55,FeII,5316.78,3.22,-2.740000000,63.61,7.06,    0.2600
56,FeI,5320.04,3.64,-2.440000000,63.91,7.49,    0.0900
57,FeI,5321.11,4.43,-1.089000000,79.91,7.38,    0.2000
58,FeII,5325.55,3.22,-3.160000000,51.51,7.2,    0.1200
59,FeI,5326.14,3.57,-2.071000000,97.91,7.75,    0.1700
60,FeI,5329.99,4.08,-1.196000000,109.91,7.78,    0.1900
61,FeII,5337.72,3.23,-3.720000000,48.61,7.7,    0.3700
62,FeI,5373.71,4.47,-0.710000000,100.61,7.47,    0.1100
63,FeI,5376.83,4.29,-2.210000000,48.91,7.74,    0.1600
64,FeI,5379.57,3.7,-1.514000000,106.91,7.53,    0.0400
65,FeI,5386.33,4.15,-1.670000000,67.61,7.39,    0.1900
66,FeI,5398.28,4.45,-0.630000000,100.71,7.36,    0.2100
67,FeI,5403.82,4.08,-1.034000000,116.31,7.75,    0.1700
68,FeI,5406.78,4.37,-1.620000000,71.91,7.68,    0.0900
69,FeI,5412.78,4.43,-1.716000000,53.91,7.5,    0.0700
70,FeII,5414.07,3.22,-3.580000000,32.01,7.15,    0.1700
71,FeI,5417.03,4.42,-1.580000000,65.81,7.57,    0.0100
72,FeII,5425.25,3.2,-3.220000000,48.31,7.16,    0.1600
73,FeI,5432.95,4.45,-0.940000000,103.81,7.72,    0.1300
74,FeI,5436.3,4.39,-1.440000000,75.11,7.57,    0.0100
75,FeI,5441.34,4.31,-1.630000000,68.21,7.55,    0.0300
