,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4793.96,3.05,-3.430000000,42.41,7.36,    0.0200
1,FeI,4794.35,2.42,-3.950000000,58.71,7.44,    0.0500
2,FeI,4799.41,3.64,-2.130000000,80.61,7.62,    0.2300
3,FeI,4802.88,3.64,-1.514000000,93.11,7.32,    0.0600
4,FeI,4808.15,3.25,-2.690000000,62.11,7.27,    0.1100
5,FeI,4809.94,3.57,-2.620000000,44.71,7.23,    0.1500
6,FeI,4839.54,3.27,-1.822000000,110.01,7.62,    0.2300
7,FeI,4848.88,2.28,-3.137000000,104.51,7.52,    0.1300
8,FeI,4855.67,3.37,-1.700000000,108.71,7.53,    0.1400
9,FeI,4869.46,3.55,-2.420000000,63.71,7.39,    0.0000
10,FeI,4873.75,3.3,-2.960000000,41.01,7.16,    0.2200
11,FeI,4875.88,3.33,-1.900000000,98.11,7.36,    0.0300
12,FeI,4877.6,3.0,-3.050000000,70.71,7.48,    0.0900
13,FeI,4885.43,3.88,-0.970000000,98.81,7.18,    0.2000
14,FeI,4892.86,4.22,-1.290000000,86.11,7.53,    0.1400
15,FeI,4905.13,3.93,-1.730000000,77.61,7.44,    0.0500
16,FeI,4907.73,3.43,-1.700000000,101.61,7.34,    0.0500
17,FeI,4911.53,4.26,-1.840000000,59.91,7.56,    0.1700
18,FeI,4911.78,3.93,-1.790000000,80.41,7.57,    0.1800
19,FeI,4917.23,4.19,-1.080000000,96.51,7.52,    0.1300
20,FeI,4918.01,4.23,-1.260000000,79.31,7.37,    0.0100
21,FeI,4950.1,3.42,-1.490000000,115.41,7.38,    0.0000
22,FeI,4961.91,3.63,-2.190000000,70.51,7.4,    0.0100
23,FeI,4962.57,4.18,-1.182000000,82.81,7.3,    0.0800
24,FeI,4969.92,4.22,-0.710000000,112.01,7.48,    0.0900
25,FeI,4986.22,4.22,-1.290000000,76.41,7.31,    0.0700
26,FeI,4992.78,4.26,-2.350000000,20.81,7.24,    0.1400
27,FeII,4993.35,2.81,-3.684000000,48.41,7.31,    0.0600
28,FeI,4995.41,4.26,-1.790000000,44.71,7.2,    0.1800
29,FeI,4999.11,4.19,-1.640000000,63.01,7.35,    0.0300
30,FeII,5000.73,2.78,-4.578000000,11.71,7.08,    0.1700
31,FeI,5002.79,3.4,-1.460000000,119.91,7.4,    0.0100
32,FeI,5012.7,4.28,-1.690000000,63.41,7.51,    0.1200
33,FeI,5023.19,4.28,-1.500000000,72.41,7.51,    0.1200
34,FeI,5029.62,3.42,-1.950000000,96.51,7.52,    0.1300
35,FeI,5030.78,3.24,-2.830000000,61.81,7.36,    0.0200
36,FeI,5031.91,4.37,-1.570000000,61.51,7.45,    0.0600
37,FeI,5036.92,3.02,-3.010000000,68.11,7.4,    0.0100
38,FeI,5039.25,3.37,-1.528000000,110.71,7.35,    0.0300
39,FeI,5048.44,3.96,-1.005000000,102.81,7.31,    0.0700
40,FeI,5054.64,3.64,-1.921000000,80.51,7.36,    0.0200
41,FeI,5058.5,3.64,-2.830000000,34.11,7.3,    0.0900
42,FeI,5065.19,3.64,-1.513000000,104.41,7.56,    0.1700
43,FeI,5067.15,4.22,-0.970000000,103.11,7.56,    0.1700
44,FeI,5088.15,4.15,-1.680000000,61.81,7.31,    0.0700
45,FeI,5090.77,4.26,-0.440000000,116.21,7.31,    0.0700
46,FeII,5100.66,2.81,-4.197000000,31.91,7.41,    0.1600
47,FeI,5109.65,4.3,-0.980000000,91.31,7.4,    0.0200
48,FeI,5115.78,3.57,-2.640000000,55.51,7.45,    0.0600
49,FeII,5132.66,2.81,-4.094000000,22.31,7.03,    0.2100
50,FeI,5143.72,2.2,-3.690000000,88.41,7.5,    0.1100
51,FeI,5187.91,4.14,-1.371000000,87.31,7.58,    0.1900
52,FeI,5217.92,3.64,-1.719000000,82.61,7.19,    0.1900
53,FeII,5234.62,3.22,-2.180000000,84.11,7.16,    0.0800
54,FeI,5236.2,4.19,-1.497000000,69.31,7.33,    0.0500
55,FeI,5242.49,3.63,-0.967000000,114.41,7.16,    0.2200
56,FeI,5243.78,4.26,-1.050000000,88.61,7.36,    0.0200
57,FeI,5253.02,2.28,-3.840000000,64.81,7.21,    0.1700
58,FeI,5253.46,3.28,-1.579000000,111.51,7.17,    0.2100
59,FeII,5256.93,2.89,-4.182000000,23.91,7.27,    0.0200
