,element,obs_wavelength,obs_ep,loggf,obs_ew,abund,abund_err
0,FeI,4786.81,3.02,-1.606000000,114.41,7.34,    0.0200
1,FeI,4787.83,3.0,-2.604000000,86.71,7.51,    0.1400
2,FeI,4788.76,3.24,-1.763000000,101.11,7.41,    0.0400
3,FeI,4793.96,3.05,-3.430000000,34.91,7.3,    0.0700
4,FeI,4794.35,2.42,-3.950000000,47.11,7.31,    0.0500
5,FeI,4799.41,3.64,-2.130000000,73.71,7.53,    0.1600
6,FeI,4802.88,3.64,-1.514000000,88.31,7.29,    0.0800
7,FeI,4808.15,3.25,-2.690000000,64.01,7.4,    0.0300
8,FeI,4809.94,3.57,-2.620000000,44.11,7.29,    0.0700
9,FeI,4839.54,3.27,-1.822000000,102.81,7.53,    0.1600
10,FeI,4843.14,3.4,-1.650000000,113.01,7.56,    0.1900
11,FeI,4848.88,2.28,-3.137000000,95.21,7.41,    0.0400
12,FeI,4855.67,3.37,-1.700000000,105.81,7.55,    0.1800
13,FeI,4869.46,3.55,-2.420000000,58.31,7.35,    0.0100
14,FeI,4873.75,3.3,-2.960000000,36.41,7.15,    0.2100
15,FeI,4875.88,3.33,-1.900000000,94.01,7.35,    0.0100
16,FeI,4877.6,3.0,-3.050000000,64.61,7.44,    0.0700
17,FeI,4882.14,3.42,-1.480000000,119.31,7.51,    0.1400
18,FeI,4885.43,3.88,-0.970000000,96.61,7.2,    0.1600
19,FeI,4892.86,4.22,-1.290000000,76.81,7.39,    0.0200
20,FeI,4896.44,3.88,-1.890000000,75.41,7.58,    0.2100
21,FeI,4905.13,3.93,-1.730000000,70.11,7.35,    0.0200
22,FeI,4907.73,3.43,-1.700000000,96.71,7.31,    0.0500
23,FeI,4910.02,3.4,-1.310000000,117.11,7.43,    0.0600
24,FeI,4911.53,4.26,-1.840000000,56.61,7.55,    0.1800
25,FeI,4911.78,3.93,-1.790000000,75.91,7.54,    0.1700
26,FeI,4917.23,4.19,-1.080000000,92.41,7.49,    0.1200
27,FeI,4918.01,4.23,-1.260000000,76.21,7.36,    0.0000
28,FeI,4950.1,3.42,-1.490000000,110.61,7.36,    0.0000
29,FeI,4961.91,3.63,-2.190000000,65.61,7.37,    0.0000
30,FeI,4962.57,4.18,-1.182000000,76.31,7.22,    0.1400
31,FeI,4969.92,4.22,-0.710000000,106.01,7.41,    0.0400
32,FeI,4986.22,4.22,-1.290000000,73.21,7.31,    0.0600
33,FeI,4992.78,4.26,-2.350000000,17.51,7.19,    0.1700
34,FeII,4993.35,2.81,-3.684000000,45.31,7.22,    0.0200
35,FeI,4999.11,4.19,-1.640000000,58.71,7.32,    0.0400
36,FeI,5002.79,3.4,-1.460000000,113.11,7.35,    0.0200
37,FeI,5012.7,4.28,-1.690000000,58.01,7.46,    0.0900
38,FeI,5023.19,4.28,-1.500000000,64.51,7.4,    0.0300
39,FeI,5023.5,4.31,-1.670000000,61.31,7.54,    0.1700
40,FeI,5029.62,3.42,-1.950000000,89.01,7.43,    0.0600
41,FeI,5030.78,3.24,-2.830000000,56.71,7.34,    0.0200
42,FeI,5031.91,4.37,-1.570000000,54.81,7.37,    0.0000
43,FeI,5036.92,3.02,-3.010000000,65.51,7.44,    0.0700
44,FeI,5039.25,3.37,-1.528000000,103.11,7.27,    0.0900
45,FeI,5044.21,2.85,-2.038000000,117.71,7.38,    0.0100
46,FeI,5048.44,3.96,-1.005000000,100.31,7.32,    0.0400
47,FeI,5054.64,3.64,-1.921000000,72.91,7.27,    0.0900
48,FeI,5058.5,3.64,-2.830000000,30.41,7.28,    0.0800
49,FeI,5067.15,4.22,-0.970000000,98.71,7.53,    0.1600
50,FeI,5088.15,4.15,-1.680000000,60.51,7.35,    0.0200
51,FeI,5090.77,4.26,-0.440000000,110.51,7.25,    0.1100
52,FeII,5100.66,2.81,-4.197000000,29.51,7.34,    0.1300
53,FeI,5109.65,4.3,-0.980000000,88.41,7.4,    0.0300
54,FeI,5115.78,3.57,-2.640000000,51.91,7.45,    0.0800
55,FeII,5132.66,2.81,-4.094000000,21.81,7.01,    0.1800
56,FeII,5136.8,2.84,-4.356000000,12.31,6.96,    0.2300
57,FeI,5143.72,2.2,-3.690000000,79.31,7.41,    0.0400
58,FeI,5145.09,2.2,-2.876000000,116.21,7.47,    0.1000
59,FeI,5187.91,4.14,-1.371000000,84.31,7.58,    0.2100
60,FeI,5217.92,3.64,-1.719000000,80.81,7.24,    0.1300
61,FeII,5234.62,3.22,-2.180000000,81.41,7.08,    0.1200
62,FeI,5236.2,4.19,-1.497000000,62.61,7.25,    0.1100
63,FeI,5242.49,3.63,-0.967000000,112.61,7.21,    0.1500
64,FeI,5243.78,4.26,-1.050000000,85.61,7.36,    0.0000
65,FeI,5253.02,2.28,-3.840000000,61.31,7.26,    0.1100
66,FeII,5256.93,2.89,-4.182000000,20.11,7.14,    0.0500
67,FeII,5264.8,3.23,-3.130000000,41.31,7.06,    0.1400
68,FeI,5267.27,4.37,-1.596000000,54.71,7.38,    0.0100
69,FeII,5284.1,2.89,-3.195000000,64.31,7.3,    0.0900
70,FeI,5285.13,4.43,-1.660000000,50.01,7.43,    0.0500
71,FeI,5288.52,3.7,-1.493000000,92.11,7.33,    0.0300
72,FeI,5293.96,4.14,-1.770000000,58.21,7.38,    0.0000
73,FeI,5294.55,3.64,-2.760000000,41.61,7.43,    0.0600
74,FeI,5295.31,4.42,-1.590000000,48.71,7.31,    0.0500
75,FeI,5298.78,3.64,-2.016000000,85.31,7.62,    0.2500
76,FeI,5315.07,4.37,-1.650000000,62.31,7.59,    0.2200
77,FeI,5320.04,3.64,-2.440000000,51.01,7.3,    0.0600
78,FeI,5321.11,4.43,-1.089000000,65.41,7.16,    0.2100
79,FeI,5322.04,2.28,-2.802000000,107.51,7.25,    0.1100
80,FeII,5325.55,3.22,-3.160000000,43.91,7.14,    0.0500
81,FeI,5326.14,3.57,-2.071000000,76.71,7.4,    0.0300
82,FeI,5329.99,4.08,-1.196000000,88.41,7.42,    0.0400
83,FeII,5337.72,3.23,-3.720000000,36.21,7.52,    0.3100
84,FeI,5373.71,4.47,-0.710000000,86.21,7.25,    0.1100
85,FeI,5376.83,4.29,-2.210000000,36.21,7.54,    0.1700
86,FeI,5379.57,3.7,-1.514000000,91.41,7.32,    0.0500
87,FeI,5386.33,4.15,-1.670000000,56.71,7.24,    0.1300
88,FeI,5398.28,4.45,-0.630000000,88.61,7.19,    0.1700
89,FeI,5403.82,4.08,-1.034000000,99.51,7.51,    0.1400
90,FeI,5406.78,4.37,-1.620000000,60.11,7.51,    0.1400
91,FeI,5409.13,4.37,-1.200000000,84.21,7.59,    0.2200
92,FeI,5412.78,4.43,-1.716000000,41.01,7.3,    0.0600
93,FeII,5414.07,3.22,-3.580000000,22.11,6.97,    0.2300
94,FeI,5417.03,4.42,-1.580000000,54.11,7.4,    0.0300
95,FeII,5425.25,3.2,-3.220000000,38.71,7.05,    0.1400
96,FeI,5432.95,4.45,-0.940000000,89.11,7.5,    0.1300
97,FeI,5436.3,4.39,-1.440000000,64.41,7.44,    0.0600
98,FeI,5441.34,4.31,-1.630000000,56.61,7.38,    0.0100
99,FeI,5464.28,4.14,-1.402000000,66.01,7.16,    0.2000
100,FeI,5466.4,4.37,-0.630000000,102.21,7.38,    0.0100
101,FeI,5466.99,3.57,-2.233000000,69.31,7.38,    0.0100
102,FeI,5470.09,4.45,-1.710000000,48.71,7.46,    0.0900
103,FeI,5473.16,4.19,-2.040000000,42.91,7.37,    0.0000
104,FeI,5473.9,4.15,-0.720000000,102.61,7.24,    0.1200
105,FeI,5483.1,4.15,-1.392000000,70.61,7.24,    0.1200
106,FeI,5487.14,4.42,-1.430000000,68.51,7.54,    0.1700
107,FeI,5491.83,4.19,-2.188000000,31.51,7.28,    0.0800
108,FeI,5493.5,4.1,-1.480000000,73.01,7.32,    0.0400
109,FeI,5494.46,4.08,-1.990000000,56.91,7.48,    0.1000
110,FeI,5522.45,4.21,-1.450000000,64.91,7.24,    0.1200
111,FeI,5525.54,4.23,-1.084000000,80.21,7.22,    0.1400
112,FeI,5528.9,4.47,-1.920000000,44.61,7.61,    0.2400
113,FeII,5534.84,3.24,-2.865000000,62.91,7.34,    0.1400
114,FeI,5536.58,2.83,-3.710000000,32.21,7.21,    0.1500
115,FeI,5538.52,4.22,-1.540000000,66.21,7.38,    0.0100
116,FeI,5539.28,3.64,-2.560000000,47.81,7.34,    0.0200
117,FeI,5539.82,4.29,-2.430000000,24.71,7.49,    0.1200
118,FeI,5543.15,3.7,-1.470000000,96.21,7.35,    0.0100
119,FeI,5543.94,4.22,-1.040000000,85.21,7.27,    0.0900
120,FeI,5546.51,4.37,-1.210000000,78.71,7.48,    0.1100
121,FeI,5549.95,3.7,-2.810000000,31.51,7.32,    0.0400
122,FeI,5552.69,4.96,-1.890000000,15.01,7.43,    0.0600
123,FeI,5559.64,4.99,-1.730000000,17.91,7.4,    0.0300
124,FeI,5560.21,4.43,-1.090000000,69.41,7.24,    0.1300
125,FeI,5584.76,3.57,-2.220000000,78.61,7.56,    0.1900
126,FeI,5587.57,4.14,-1.750000000,64.81,7.48,    0.1100
127,FeI,5600.22,4.26,-1.420000000,65.41,7.29,    0.0700
128,FeI,5618.63,4.21,-1.255000000,74.31,7.24,    0.1200
129,FeI,5619.6,4.39,-1.600000000,65.41,7.61,    0.2400
130,FeI,5624.02,4.39,-1.380000000,76.51,7.62,    0.2500
131,FeI,5633.95,4.99,-0.230000000,83.81,7.35,    0.0100
132,FeI,5635.82,4.26,-1.790000000,59.51,7.52,    0.1500
133,FeI,5636.7,3.64,-2.510000000,48.81,7.3,    0.0600
134,FeI,5638.26,4.22,-0.720000000,101.51,7.27,    0.0900
135,FeI,5641.43,4.26,-1.080000000,98.31,7.61,    0.2400
136,FeI,5649.99,5.1,-0.820000000,51.71,7.4,    0.0200
137,FeI,5650.7,5.09,-0.860000000,56.21,7.52,    0.1500
138,FeI,5651.47,4.47,-1.900000000,39.11,7.48,    0.1100
139,FeI,5652.32,4.26,-1.850000000,48.71,7.37,    0.0000
140,FeI,5653.86,4.39,-1.540000000,62.91,7.5,    0.1200
141,FeI,5655.18,5.06,-0.600000000,68.51,7.41,    0.0400
142,FeI,5655.49,4.26,-0.980000000,86.71,7.32,    0.0400
143,FeI,5661.34,4.28,-1.756000000,50.11,7.33,    0.0300
144,FeI,5662.52,4.18,-0.447000000,115.31,7.2,    0.1600
145,FeI,5679.02,4.65,-0.820000000,77.41,7.36,    0.0000
146,FeI,5680.24,4.19,-2.480000000,31.11,7.56,    0.1900
147,FeI,5686.53,4.55,-0.445000000,95.11,7.31,    0.0600
148,FeI,5691.5,4.3,-1.450000000,70.01,7.45,    0.0800
149,FeI,5696.09,4.55,-1.720000000,31.21,7.22,    0.1400
150,FeI,5698.02,3.64,-2.580000000,43.21,7.26,    0.1000
151,FeI,5705.46,4.3,-1.355000000,62.71,7.2,    0.1600
152,FeI,5712.13,3.42,-1.994000000,91.01,7.34,    0.0200
153,FeI,5717.83,4.28,-0.990000000,88.81,7.35,    0.0100
154,FeI,5731.76,4.26,-1.200000000,88.71,7.53,    0.1600
155,FeI,5732.3,4.99,-1.460000000,33.21,7.52,    0.1500
156,FeI,5741.85,4.26,-1.672000000,58.91,7.39,    0.0100
157,FeI,5742.96,4.18,-2.410000000,33.41,7.52,    0.1500
158,FeI,5754.4,3.64,-2.600000000,45.01,7.31,    0.0500
159,FeI,5760.34,3.64,-2.390000000,53.41,7.27,    0.0900
160,FeI,5837.7,4.29,-2.240000000,26.31,7.33,    0.0300
161,FeI,5838.37,3.94,-2.240000000,46.11,7.32,    0.0400
162,FeI,5849.68,3.7,-2.890000000,27.61,7.3,    0.0600
163,FeI,5853.15,1.48,-5.180000000,55.41,7.44,    0.0700
164,FeI,5855.08,4.61,-1.478000000,41.31,7.25,    0.1100
165,FeI,5858.78,4.22,-2.160000000,34.01,7.33,    0.0300
166,FeI,5873.21,4.26,-2.040000000,48.91,7.55,    0.1800
167,FeI,5879.49,4.61,-2.040000000,25.11,7.46,    0.0900
168,FeI,5880.03,4.56,-1.840000000,26.41,7.24,    0.1200
169,FeI,5881.28,4.61,-1.740000000,32.11,7.32,    0.0400
170,FeI,5883.82,3.96,-1.260000000,87.11,7.15,    0.2100
171,FeI,5898.22,4.73,-1.730000000,27.91,7.36,    0.0000
172,FeI,5902.47,4.59,-1.710000000,27.11,7.17,    0.1900
173,FeI,5905.67,4.65,-0.690000000,75.31,7.19,    0.1700
174,FeI,5909.97,3.21,-2.587000000,81.41,7.47,    0.1000
175,FeI,5916.25,2.45,-2.994000000,105.11,7.47,    0.1000
176,FeI,5927.79,4.65,-0.990000000,62.51,7.23,    0.1300
177,FeI,5929.68,4.55,-1.310000000,61.91,7.42,    0.0500
178,FeI,5930.18,4.65,-0.230000000,103.51,7.26,    0.1100
179,FeI,5934.65,3.93,-1.070000000,103.81,7.24,    0.1200
180,FeI,5940.99,4.18,-2.050000000,42.21,7.34,    0.0300
181,FeI,5952.72,3.98,-1.340000000,88.61,7.29,    0.0800
182,FeII,5991.37,3.15,-3.647000000,34.41,7.34,    0.1300
183,FeI,6003.01,3.88,-1.100000000,106.91,7.27,    0.0900
184,FeI,6008.56,3.88,-0.980000000,113.81,7.38,    0.0100
185,FeI,6012.21,2.22,-4.038000000,71.71,7.51,    0.1400
186,FeI,6024.06,4.55,-0.120000000,119.81,7.32,    0.0500
187,FeI,6027.05,4.08,-1.089000000,90.51,7.25,    0.1200
188,FeI,6056.0,4.73,-0.320000000,88.61,7.15,    0.2100
189,FeI,6079.01,4.65,-1.020000000,65.81,7.32,    0.0400
190,FeI,6082.71,2.22,-3.576000000,89.11,7.4,    0.0200
191,FeII,6084.1,3.2,-3.881000000,23.71,7.33,    0.1200
192,FeI,6093.64,4.61,-1.400000000,50.51,7.35,    0.0100
193,FeI,6094.37,4.65,-1.840000000,38.11,7.6,    0.2200
194,FeI,6096.66,3.98,-1.830000000,65.21,7.31,    0.0500
195,FeII,6113.32,3.22,-4.230000000,14.01,7.36,    0.1500
196,FeI,6120.25,0.92,-5.970000000,53.01,7.45,    0.0800
197,FeI,6127.91,4.14,-1.399000000,75.21,7.31,    0.0500
198,FeII,6149.25,3.89,-2.841000000,29.91,7.24,    0.0300
199,FeI,6151.62,2.18,-3.295000000,97.51,7.22,    0.1400
200,FeI,6157.73,4.08,-1.160000000,94.31,7.41,    0.0400
201,FeI,6165.36,4.14,-1.473000000,69.51,7.26,    0.1100
202,FeI,6173.33,2.22,-2.880000000,118.71,7.31,    0.0500
203,FeI,6180.2,2.73,-2.591000000,102.61,7.32,    0.0400
204,FeI,6187.99,3.94,-1.620000000,77.71,7.29,    0.0700
205,FeI,6200.31,2.61,-2.433000000,119.11,7.34,    0.0200
206,FeI,6226.73,3.88,-2.120000000,55.41,7.29,    0.0700
207,FeI,6229.23,2.84,-2.805000000,81.51,7.23,    0.1300
208,FeI,6232.64,3.65,-1.235000000,114.61,7.34,    0.0300
209,FeII,6238.39,3.89,-2.600000000,35.61,7.16,    0.0400
210,FeII,6247.56,3.89,-2.435000000,39.81,7.11,    0.0800
211,FeI,6270.22,2.86,-2.470000000,94.51,7.18,    0.1900
212,FeI,6271.28,3.33,-2.703000000,58.81,7.27,    0.0900
213,FeI,6311.5,2.83,-3.141000000,71.41,7.34,    0.0300
214,FeI,6315.81,4.08,-1.630000000,69.11,7.31,    0.0500
215,FeI,6338.88,4.8,-0.960000000,58.91,7.28,    0.0800
216,FeI,6344.15,2.43,-2.919000000,119.01,7.58,    0.2100
217,FeI,6353.84,0.92,-6.477000000,25.11,7.42,    0.0500
218,FeI,6364.36,4.8,-1.330000000,56.81,7.61,    0.2400
219,FeI,6380.74,4.19,-1.375000000,80.11,7.41,    0.0400
220,FeII,6416.92,3.89,-2.877000000,38.51,7.52,    0.3200
221,FeII,6432.68,2.89,-3.570000000,38.71,7.08,    0.1100
222,FeII,6456.38,3.9,-2.185000000,49.71,7.13,    0.0700
223,FeI,6475.62,2.56,-2.941000000,103.41,7.42,    0.0500
224,FeI,6481.87,2.28,-2.981000000,114.21,7.33,    0.0300
225,FeI,6495.74,4.84,-0.840000000,60.71,7.24,    0.1200
226,FeI,6496.47,4.8,-0.530000000,82.91,7.31,    0.0500
227,FeI,6498.94,0.96,-4.687000000,117.81,7.4,    0.0300
228,FeII,6516.08,2.89,-3.310000000,55.31,7.21,    0.0000
229,FeI,6518.37,2.83,-2.438000000,100.71,7.21,    0.1600
230,FeI,6533.93,4.56,-1.360000000,59.11,7.4,    0.0300
231,FeI,6569.21,4.73,-0.380000000,93.71,7.29,    0.0700
232,FeI,6574.23,0.99,-5.004000000,98.21,7.35,    0.0100
233,FeI,6575.02,2.59,-2.710000000,114.51,7.44,    0.0600
234,FeI,6581.21,1.48,-4.679000000,82.91,7.37,    0.0000
235,FeI,6597.56,4.8,-0.970000000,61.41,7.33,    0.0300
236,FeI,6608.02,2.28,-3.930000000,64.61,7.28,    0.0800
237,FeI,6609.11,2.56,-2.691000000,116.11,7.4,    0.0300
238,FeI,6627.54,4.55,-1.590000000,49.51,7.43,    0.0600
239,FeI,6633.41,4.84,-1.390000000,47.81,7.54,    0.1600
240,FeI,6633.75,4.56,-0.799000000,81.91,7.27,    0.1000
241,FeI,6634.11,4.8,-1.330000000,46.01,7.4,    0.0200
242,FeI,6667.71,4.58,-2.112000000,29.21,7.58,    0.2100
243,FeI,6699.14,4.59,-2.101000000,20.61,7.37,    0.0000
244,FeI,6703.57,2.76,-3.060000000,79.71,7.29,    0.0700
245,FeI,6713.74,4.8,-1.500000000,34.01,7.32,    0.0400
246,FeI,6725.36,4.1,-2.100000000,39.21,7.2,    0.1600
247,FeI,6739.52,1.56,-4.794000000,63.11,7.2,    0.1600
248,FeI,6752.71,4.64,-1.204000000,62.11,7.39,    0.0200
249,FeI,6786.86,4.19,-1.970000000,50.01,7.38,    0.0100
250,FeI,6793.26,4.08,-2.326000000,31.21,7.24,    0.1300
