obs_wavelength,Transition,element,obs_ep,obs_ew,abund
4454.381,26.0,FeI,2.83,23.17,5.04
4459.118,26.0,FeI,2.18,64.82,5.30
4461.653,26.0,FeI,0.09,80.32,5.44
4466.552,26.0,FeI,2.83,57.08,5.17
4476.019,26.0,FeI,2.85,62.12,5.54
4484.220,26.0,FeI,3.60,15.18,5.18
4489.739,26.0,FeI,0.12,43.48,5.15
4494.563,26.0,FeI,2.20,65.34,5.18
4528.614,26.0,FeI,2.18,84.88,5.33
4531.148,26.0,FeI,1.48,56.59,5.16
4592.651,26.0,FeI,1.56,41.51,5.24
4595.359,26.0,FeI,3.29,8.44,5.44
4602.941,26.0,FeI,1.49,54.27,5.22
4611.185,26.0,FeI,2.85,14.08,6.19
4630.120,26.0,FeI,2.28,11.54,5.34
4632.912,26.0,FeI,1.61,18.26,5.18
4643.463,26.0,FeI,3.64,4.33,4.89
4647.434,26.0,FeI,2.95,21.47,5.16
4661.968,26.0,FeI,2.98,2.36,5.27
4678.846,26.0,FeI,3.60,19.32,5.27
4691.411,26.0,FeI,2.99,17.11,5.24
4707.274,26.0,FeI,3.24,23.83,5.26
4710.283,26.0,FeI,3.02,10.96,5.13
4733.591,26.0,FeI,1.49,20.15,5.17
4736.772,26.0,FeI,3.21,34.65,5.15
4800.648,26.0,FeI,4.12,2.10,4.95
4871.318,26.0,FeI,2.87,66.28,5.09
4872.137,26.0,FeI,2.88,59.89,5.16
4890.755,26.0,FeI,2.88,68.61,5.18
4891.492,26.0,FeI,2.85,77.46,5.08
4903.310,26.0,FeI,2.88,41.20,5.11
4918.994,26.0,FeI,2.85,70.84,5.15
4920.503,26.0,FeI,2.83,99.17,5.31
4924.770,26.0,FeI,2.28,18.89,5.10
4938.814,26.0,FeI,2.88,33.43,5.08
4939.687,26.0,FeI,0.86,35.50,5.10
4946.388,26.0,FeI,3.37,13.86,5.17
4966.089,26.0,FeI,3.33,23.51,5.12
4973.102,26.0,FeI,3.96,14.73,5.61
4994.130,26.0,FeI,0.92,46.24,5.11
5001.870,26.0,FeI,3.88,28.97,4.92
5006.119,26.0,FeI,2.83,59.47,5.13
5012.068,26.0,FeI,0.86,70.27,5.33
5014.942,26.0,FeI,3.94,17.34,5.02
5022.236,26.0,FeI,3.98,21.63,5.42
5027.225,26.0,FeI,3.64,14.77,6.21
5028.127,26.0,FeI,3.56,7.35,5.00
5041.072,26.0,FeI,0.96,52.57,5.43
5041.756,26.0,FeI,1.49,65.08,5.45
5044.212,26.0,FeI,2.85,14.67,5.49
5049.820,26.0,FeI,2.28,52.29,5.12
5051.634,26.0,FeI,0.92,63.90,5.33
5068.766,26.0,FeI,2.94,33.50,5.10
5074.749,26.0,FeI,4.22,21.42,5.34
5079.224,26.0,FeI,2.20,33.40,5.36
5079.740,26.0,FeI,0.99,36.03,5.24
5083.339,26.0,FeI,0.96,51.91,5.15
5090.770,26.0,FeI,4.26,12.15,5.23
5098.697,26.0,FeI,2.18,35.92,5.32
5110.413,26.0,FeI,0.00,69.06,5.45
5123.720,26.0,FeI,1.01,48.82,5.35
5125.117,26.0,FeI,4.22,15.49,5.09
5127.360,26.0,FeI,0.92,38.71,5.22
5131.468,26.0,FeI,2.22,9.41,5.07
5133.689,26.0,FeI,4.18,30.24,5.17
5137.382,26.0,FeI,4.18,14.55,5.27
5141.739,26.0,FeI,2.42,12.80,5.16
5142.929,26.0,FeI,0.96,40.26,5.13
5150.839,26.0,FeI,0.99,38.99,5.09
5151.911,26.0,FeI,1.01,30.51,5.21
5162.273,26.0,FeI,4.18,27.41,5.23
5166.282,26.0,FeI,0.00,49.10,5.29
5171.596,26.0,FeI,1.49,79.01,5.32
5191.455,26.0,FeI,3.04,53.29,5.14
5192.344,26.0,FeI,3.00,58.58,5.09
5194.942,26.0,FeI,1.56,61.81,5.23
5198.711,26.0,FeI,2.22,19.95,5.03
5202.336,26.0,FeI,2.18,37.81,5.20
5204.583,26.0,FeI,0.09,82.60,6.49
5216.274,26.0,FeI,1.61,53.45,5.13
5217.390,26.0,FeI,3.21,18.62,5.13
5225.526,26.0,FeI,0.11,12.45,5.11
5232.940,26.0,FeI,2.94,82.64,5.20
5242.491,26.0,FeI,3.63,8.84,5.00
5247.050,26.0,FeI,0.09,9.13,5.13
5250.210,26.0,FeI,0.12,9.27,5.16
5250.646,26.0,FeI,2.20,27.59,5.29
5254.956,26.0,FeI,0.11,19.13,5.35
5263.305,26.0,FeI,3.27,25.11,5.09
5266.555,26.0,FeI,3.00,58.42,5.05
5269.537,26.0,FeI,0.86,131.41,5.36
5281.790,26.0,FeI,3.04,36.00,5.04
5283.621,26.0,FeI,3.24,44.96,5.14
5288.527,26.0,FeI,3.68,4.49,5.28
5302.300,26.0,FeI,3.28,32.19,5.11
5307.361,26.0,FeI,1.61,17.30,5.10
5322.040,26.0,FeI,2.28,4.39,5.04
5324.179,26.0,FeI,3.21,63.35,5.08
5328.039,26.0,FeI,0.92,123.66,5.43
5328.531,26.0,FeI,1.56,78.17,5.48
5332.900,26.0,FeI,1.55,21.01,5.01
5339.930,26.0,FeI,3.27,34.10,5.14
5364.871,26.0,FeI,4.45,20.93,5.13
5365.400,26.0,FeI,3.56,7.74,4.91
5367.467,26.0,FeI,4.42,22.82,4.94
5369.962,26.0,FeI,4.37,27.90,4.92
5371.489,26.0,FeI,0.96,112.85,5.46
5379.573,26.0,FeI,3.69,3.25,5.14
5383.369,26.0,FeI,4.31,37.11,4.95
5389.479,26.0,FeI,4.42,7.53,5.20
5393.168,26.0,FeI,3.24,35.80,5.33
5397.128,26.0,FeI,0.92,101.60,5.52
5405.775,26.0,FeI,0.99,101.15,5.45
5410.910,26.0,FeI,4.47,21.33,4.99
5415.199,26.0,FeI,4.39,32.05,4.93
5424.068,26.0,FeI,4.32,39.80,5.14
5429.696,26.0,FeI,0.96,105.38,5.54
5434.524,26.0,FeI,1.01,90.01,5.47
5446.917,26.0,FeI,0.99,103.26,5.55
5455.609,26.0,FeI,1.01,114.12,5.96
5497.516,26.0,FeI,1.01,56.20,5.27
5501.465,26.0,FeI,0.96,50.51,5.29
5506.779,26.0,FeI,0.99,61.76,5.34
5569.618,26.0,FeI,3.42,31.48,5.05
5572.842,26.0,FeI,3.40,46.60,5.09
5576.088,26.0,FeI,3.43,20.58,5.25
5586.756,26.0,FeI,3.37,52.89,5.05
5615.644,26.0,FeI,3.33,65.11,5.09
5624.542,26.0,FeI,3.42,21.59,5.03
5658.816,26.0,FeI,3.40,28.24,5.20
5662.516,26.0,FeI,4.18,8.86,5.18
5686.529,26.0,FeI,4.55,4.46,5.13
5701.544,26.0,FeI,2.56,10.03,5.06
5753.122,26.0,FeI,4.26,6.62,5.24
6065.481,26.0,FeI,2.61,34.69,5.09
6136.615,26.0,FeI,2.45,48.50,5.22
6137.691,26.0,FeI,2.59,41.05,5.15
6191.558,26.0,FeI,2.43,45.69,5.14
6200.312,26.0,FeI,2.61,4.53,5.01
6213.429,26.0,FeI,2.22,11.05,5.05
6219.280,26.0,FeI,2.20,16.74,5.21
6230.723,26.0,FeI,2.56,48.52,5.20
6246.318,26.0,FeI,3.60,17.61,5.20
6252.555,26.0,FeI,2.40,39.29,5.23
6254.257,26.0,FeI,2.28,13.78,5.19
6265.134,26.0,FeI,2.18,17.81,5.32
6297.792,26.0,FeI,2.22,26.48,5.70
6301.499,26.0,FeI,3.65,30.47,5.44
6335.330,26.0,FeI,2.20,19.43,5.03
6336.835,26.0,FeI,3.69,12.26,5.27
6355.029,26.0,FeI,2.84,4.62,5.11
6393.601,26.0,FeI,2.43,41.27,5.20
6400.000,26.0,FeI,3.60,37.17,5.08
6411.649,26.0,FeI,3.65,20.20,5.03
6421.350,26.0,FeI,2.28,28.34,5.17
6430.846,26.0,FeI,2.18,34.62,5.14
6494.980,26.0,FeI,2.40,58.48,5.20
6592.912,26.0,FeI,2.73,28.31,5.12
