,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,34.107,6.02
1,4802.88,FeI,3.64,22.965,5.96
2,4875.88,FeI,3.33,26.739,6.1
3,4907.73,FeI,3.43,26.923,6.0
4,4950.11,FeI,3.42,37.802,6.0
5,4962.57,FeI,4.18,16.306,6.02
6,4969.92,FeI,4.22,35.832,6.07
7,5044.21,FeI,2.85,44.463,6.04
8,5197.94,FeI,4.3,8.281,6.18
9,5243.78,FeI,4.26,19.771,6.07
10,5253.46,FeI,3.28,43.425,6.03
11,5295.31,FeI,4.42,5.984,6.2
12,5373.71,FeI,4.47,21.745,6.01
13,5379.57,FeI,3.69,24.054,6.02
14,5386.33,FeI,4.15,6.765,6.03
15,5389.48,FeI,4.42,40.083,6.05
16,5398.28,FeI,4.45,29.826,6.1
17,5441.34,FeI,4.31,7.317,6.22
18,5466.4,FeI,4.37,35.537,6.14
19,5473.9,FeI,4.15,38.167,6.03
20,5522.45,FeI,4.21,11.254,6.12
21,5543.94,FeI,4.22,22.493,6.08
22,5546.51,FeI,4.37,13.966,6.17
23,5560.21,FeI,4.43,14.859,6.15
24,5619.6,FeI,4.39,6.065,6.17
25,5633.95,FeI,4.99,19.946,6.04
26,5638.26,FeI,4.22,34.359,6.02
27,5679.02,FeI,4.65,17.646,6.21
28,5705.46,FeI,4.3,7.473,5.9
29,5731.76,FeI,4.26,17.699,6.15
30,5927.79,FeI,4.65,9.541,6.04
31,5956.69,FeI,0.86,38.052,6.17
32,6136.99,FeI,2.2,41.945,6.11
33,6151.62,FeI,2.18,26.035,6.11
34,6173.33,FeI,2.22,44.324,6.11
35,6200.31,FeI,2.61,43.34,6.08
36,6297.79,FeI,2.22,53.123,6.12
37,6322.69,FeI,2.59,51.287,6.21
38,6481.87,FeI,2.28,36.844,6.12
39,6593.87,FeI,2.43,59.608,6.15
40,6609.11,FeI,2.56,35.172,6.11
41,5653.87,FeI,4.39,7.311,6.2
42,5883.82,FeI,3.96,24.993,6.06
43,5905.67,FeI,4.65,17.202,6.04
44,5930.18,FeI,4.65,38.815,6.09
45,6003.01,FeI,3.88,38.601,6.1
46,6079.01,FeI,4.65,10.885,6.14
47,6096.66,FeI,3.98,8.832,6.11
48,6165.36,FeI,4.14,13.278,6.13
49,6187.99,FeI,3.94,13.428,6.05
50,6315.81,FeI,4.08,10.97,6.11
51,6496.47,FeI,4.8,18.199,6.05
52,6597.56,FeI,4.8,9.726,6.18
53,6270.22,FeI,2.86,23.63,5.98
54,6336.82,FeI,3.69,61.67,6.03
55,4993.36,FeII,2.81,22.516,6.08
56,5264.81,FeII,3.23,29.31,6.15
57,5316.78,FeII,3.22,42.347,6.01
58,5414.07,FeII,3.22,13.133,6.12
59,5425.26,FeII,3.2,24.17,6.07
60,5534.85,FeII,3.25,39.56,6.11
61,6456.38,FeII,3.9,42.377,6.2
62,5991.38,FeII,3.15,14.434,6.15
