,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,10.31,
1,4924.77,FeI,2.28,27.61,6.245
2,4939.69,FeI,0.86,37.21,6.243
3,4946.39,FeI,3.37,24.81,6.122
4,4950.11,FeI,3.42,10.41,
5,4969.92,FeI,4.22,14.11,
6,5044.21,FeI,2.85,11.21,
7,5107.45,FeI,0.99,43.61,6.238
8,5107.64,FeI,1.56,48.51,6.137
9,5127.36,FeI,0.92,36.51,6.239
10,5131.47,FeI,2.22,18.31,
11,5166.28,FeI,0.0,39.91,6.325
12,5198.71,FeI,2.22,28.91,6.127
13,5217.39,FeI,3.21,33.91,6.091
14,5225.53,FeI,0.11,13.11,
15,5242.49,FeI,3.63,22.31,6.108
16,5253.46,FeI,3.28,11.31,
17,5389.48,FeI,4.42,16.61,
18,5398.28,FeI,4.45,11.71,
19,5466.4,FeI,4.37,13.61,
20,5473.9,FeI,4.15,13.21,
21,5576.09,FeI,3.43,33.91,6.072
22,5638.26,FeI,4.22,11.81,
23,5662.52,FeI,4.18,20.91,6.149
24,5701.54,FeI,2.56,15.01,
25,6065.48,FeI,2.61,47.51,6.219
26,6200.31,FeI,2.61,10.51,
27,6219.28,FeI,2.2,22.41,6.201
28,6252.56,FeI,2.4,49.61,6.232
29,6265.13,FeI,2.18,18.31,
30,6297.79,FeI,2.22,12.81,
31,6322.69,FeI,2.59,11.41,
32,6335.33,FeI,2.2,30.51,6.135
33,6003.01,FeI,3.88,13.51,
34,5215.18,FeI,3.27,38.71,5.999
35,6246.32,FeI,3.6,34.31,6.096
36,6336.82,FeI,3.69,24.71,6.043
37,6393.6,FeI,2.43,55.41,6.116
38,6301.5,FeI,3.65,33.61,6.066
39,5339.93,FeI,3.27,50.71,5.999
40,5367.47,FeI,4.42,47.51,5.872
41,5264.81,FeII,3.23,10.71,
42,5534.85,FeII,3.25,16.31,
43,6456.38,FeII,3.9,23.71,6.347
