,obs_wavelength,element,obs_ep,obs_ew,abund
0,4802.88,FeI,3.64,17.5,6.492
1,4875.88,FeI,3.33,14.6,6.496
2,4907.73,FeI,3.43,13.7,6.473
3,4924.77,FeI,2.28,43.5,6.504
4,4946.39,FeI,3.37,42.2,6.426
5,4950.11,FeI,3.42,21.2,6.522
6,4962.57,FeI,4.18,11.0,6.4
7,4969.92,FeI,4.22,23.9,6.375
8,5044.21,FeI,2.85,22.6,6.392
9,5141.74,FeI,2.42,34.3,6.201
10,5197.94,FeI,4.3,5.1,6.497
11,5198.71,FeI,2.22,47.2,6.426
12,5225.53,FeI,0.11,22.5,6.503
13,5242.49,FeI,3.63,36.9,6.394
14,5243.78,FeI,4.26,14.2,6.458
15,5250.21,FeI,0.12,17.4,6.511
16,5365.4,FeI,3.57,29.3,6.222
17,5373.71,FeI,4.47,15.8,6.418
18,5379.57,FeI,3.69,13.4,6.372
19,5389.48,FeI,4.42,28.8,6.353
20,5466.4,FeI,4.37,25.2,6.451
21,5473.9,FeI,4.15,25.8,6.428
22,5543.94,FeI,4.22,14.5,6.415
23,5546.51,FeI,4.37,8.8,6.477
24,5560.21,FeI,4.43,8.8,6.415
25,5576.09,FeI,3.43,52.6,6.359
26,5618.63,FeI,4.21,7.8,6.332
27,5638.26,FeI,4.22,21.6,6.359
28,5662.52,FeI,4.18,34.9,6.422
29,5679.02,FeI,4.65,10.6,6.432
30,5701.54,FeI,2.56,28.4,6.386
31,5956.69,FeI,0.86,10.4,6.588
32,6136.99,FeI,2.2,16.2,6.451
33,6151.62,FeI,2.18,8.0,6.419
34,6173.33,FeI,2.22,19.1,6.493
35,6200.31,FeI,2.61,20.5,6.454
36,6219.28,FeI,2.2,40.3,6.509
37,6265.13,FeI,2.18,34.1,6.476
38,6297.79,FeI,2.22,27.1,6.552
39,6322.69,FeI,2.59,22.3,6.474
40,6335.33,FeI,2.2,48.2,6.404
41,6430.85,FeI,2.18,63.7,6.511
42,6481.87,FeI,2.28,13.9,6.462
43,6593.87,FeI,2.43,29.0,6.465
44,6609.11,FeI,2.56,14.5,6.457
45,5883.82,FeI,3.96,15.7,6.417
46,5905.67,FeI,4.65,13.0,6.397
47,5930.18,FeI,4.65,31.5,6.431
48,6003.01,FeI,3.88,25.4,6.467
49,6079.01,FeI,4.65,7.8,6.473
50,6096.66,FeI,3.98,5.5,6.495
51,6165.36,FeI,4.14,7.3,6.422
52,6187.99,FeI,3.94,8.3,6.436
53,6496.47,FeI,4.8,19.4,6.562
54,6597.56,FeI,4.8,7.1,6.495
55,6246.32,FeI,3.6,50.4,6.334
56,6270.22,FeI,2.86,9.4,6.319
57,6336.82,FeI,3.69,42.5,6.346
58,6301.5,FeI,3.65,52.1,6.345
59,5060.08,FeI,0.0,9.8,6.609
60,5445.04,FeI,4.39,51.0,6.353
61,4993.36,FeII,2.81,10.8,6.416
62,5264.81,FeII,3.23,14.3,6.391
63,5316.78,FeII,3.22,31.9,6.475
64,6456.38,FeII,3.9,29.8,6.477
65,6432.68,FeII,2.89,12.9,6.413
