,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,12.4,6.307
1,4802.88,FeI,3.64,9.1,6.269
2,4875.88,FeI,3.33,7.8,6.313
3,4907.73,FeI,3.43,8.5,6.361
4,4924.77,FeI,2.28,28.0,6.331
5,4939.69,FeI,0.86,38.7,6.362
6,4946.39,FeI,3.37,28.5,6.28
7,4950.11,FeI,3.42,13.0,6.387
8,4962.57,FeI,4.18,6.6,6.256
9,4969.92,FeI,4.22,16.2,6.261
10,5044.21,FeI,2.85,13.1,6.24
11,5127.36,FeI,0.92,37.7,6.351
12,5131.47,FeI,2.22,18.9,6.333
13,5166.28,FeI,0.0,39.8,6.415
14,5198.71,FeI,2.22,33.0,6.293
15,5217.39,FeI,3.21,35.9,6.208
16,5225.53,FeI,0.11,11.9,6.388
17,5242.49,FeI,3.63,26.0,6.264
18,5243.78,FeI,4.26,8.2,6.287
19,5250.21,FeI,0.12,9.4,6.425
20,5253.46,FeI,3.28,14.2,6.2
21,5322.04,FeI,2.28,6.5,6.127
22,5373.71,FeI,4.47,8.9,6.226
23,5379.57,FeI,3.69,8.3,6.249
24,5389.48,FeI,4.42,19.9,6.234
25,5398.28,FeI,4.45,12.7,6.246
26,5466.4,FeI,4.37,15.4,6.276
27,5473.9,FeI,4.15,16.1,6.266
28,5543.94,FeI,4.22,7.9,6.216
29,5560.21,FeI,4.43,6.0,6.329
30,5576.09,FeI,3.43,38.0,6.231
31,5701.54,FeI,2.56,15.2,6.177
32,5927.79,FeI,4.65,5.6,6.383
33,6065.48,FeI,2.61,49.1,6.327
34,6136.99,FeI,2.2,11.8,6.451
35,6173.33,FeI,2.22,9.8,6.311
36,6200.31,FeI,2.61,11.9,6.317
37,6219.28,FeI,2.2,23.2,6.295
38,6265.13,FeI,2.18,20.2,6.31
39,6297.79,FeI,2.22,10.9,6.215
40,6322.69,FeI,2.59,12.1,6.297
41,6335.33,FeI,2.2,34.1,6.283
42,6430.85,FeI,2.18,45.9,6.322
43,6609.11,FeI,2.56,10.9,6.467
44,5883.82,FeI,3.96,15.9,6.536
45,5905.67,FeI,4.65,9.4,6.327
46,6315.81,FeI,4.08,7.7,6.623
47,6496.47,FeI,4.8,6.6,6.112
48,5215.18,FeI,3.27,41.1,6.128
49,6246.32,FeI,3.6,34.9,6.183
50,6336.82,FeI,3.69,29.6,6.223
51,6393.6,FeI,2.43,54.6,6.178
52,6301.5,FeI,3.65,34.2,6.152
53,5367.47,FeI,4.42,50.2,6.003
54,4993.36,FeII,2.81,8.7,6.284
55,5264.81,FeII,3.23,12.3,6.277
56,6456.38,FeII,3.9,29.1,6.4
57,6432.68,FeII,2.89,11.5,6.327
