,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,12.343,6.28
1,4802.88,FeI,3.64,7.822,6.17
2,4875.88,FeI,3.33,7.493,6.25
3,4907.73,FeI,3.43,8.059,6.17
4,4924.77,FeI,2.28,27.783,6.3
5,4939.69,FeI,0.86,37.51,6.31
6,4946.39,FeI,3.37,28.737,6.2
7,4950.11,FeI,3.42,11.299,6.11
8,4962.57,FeI,4.18,7.729,6.31
9,4969.92,FeI,4.22,17.126,6.27
10,5044.21,FeI,2.85,14.071,6.25
11,5127.36,FeI,0.92,37.455,6.32
12,5131.47,FeI,2.22,19.301,6.32
13,5166.28,FeI,0.0,38.32,6.36
14,5198.71,FeI,2.22,33.167,6.27
15,5217.39,FeI,3.21,37.09,6.18
16,5225.53,FeI,0.11,12.385,6.38
17,5242.49,FeI,3.63,26.019,6.24
18,5243.78,FeI,4.26,8.976,6.31
19,5250.21,FeI,0.12,9.273,6.39
20,5253.46,FeI,3.28,15.062,6.21
21,5322.04,FeI,2.28,6.84,6.12
22,5373.71,FeI,4.47,10.828,6.25
23,5379.57,FeI,3.69,9.866,6.31
24,5389.48,FeI,4.42,21.558,6.26
25,5398.28,FeI,4.45,14.679,6.3
26,5466.4,FeI,4.37,17.298,6.32
27,5473.9,FeI,4.15,18.554,6.25
28,5543.94,FeI,4.22,9.639,6.29
29,5560.21,FeI,4.43,6.791,6.37
30,5576.09,FeI,3.43,40.173,6.25
31,5701.54,FeI,2.56,15.557,6.16
32,6065.48,FeI,2.61,47.897,6.28
33,6136.99,FeI,2.2,11.175,6.4
34,6173.33,FeI,2.22,10.526,6.32
35,6200.31,FeI,2.61,12.138,6.3
36,6219.28,FeI,2.2,23.326,6.27
37,6252.56,FeI,2.4,52.237,6.34
38,6265.13,FeI,2.18,20.12,6.28
39,6297.79,FeI,2.22,10.604,6.17
40,6322.69,FeI,2.59,13.058,6.31
41,6335.33,FeI,2.2,32.919,6.23
42,6430.85,FeI,2.18,45.96,6.3
43,6609.11,FeI,2.56,9.964,6.4
44,5883.82,FeI,3.96,14.437,6.47
45,5905.67,FeI,4.65,9.612,6.32
46,6496.47,FeI,4.8,6.353,6.07
47,5215.18,FeI,3.27,42.023,6.11
48,6246.32,FeI,3.6,34.874,6.15
49,6336.82,FeI,3.69,28.975,6.18
50,6393.6,FeI,2.43,53.947,6.14
51,6301.5,FeI,3.65,34.281,6.13
52,5367.47,FeI,4.42,53.69,6.05
53,4993.36,FeII,2.81,9.566,6.3
54,5264.81,FeII,3.23,14.133,6.32
55,5316.78,FeII,3.22,25.469,6.25
56,5414.07,FeII,3.22,6.187,6.35
57,5425.26,FeII,3.2,10.49,6.22
58,5534.85,FeII,3.25,23.795,6.35
59,6456.38,FeII,3.9,32.378,6.45
60,6432.68,FeII,2.89,12.072,6.32
