,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,35.3,6.055
1,4802.88,FeI,3.64,25.9,6.049
2,4875.88,FeI,3.33,27.7,6.143
3,4907.73,FeI,3.43,27.2,6.158
4,4950.11,FeI,3.42,36.9,6.173
5,4962.57,FeI,4.18,15.1,5.99
6,4969.92,FeI,4.22,34.6,6.049
7,5044.21,FeI,2.85,43.4,6.028
8,5197.94,FeI,4.3,7.2,6.107
9,5243.78,FeI,4.26,19.1,6.056
10,5253.46,FeI,3.28,40.4,5.974
11,5295.31,FeI,4.42,5.7,6.168
12,5373.71,FeI,4.47,19.7,6.014
13,5379.57,FeI,3.69,21.8,5.973
14,5389.48,FeI,4.42,36.9,5.992
15,5398.28,FeI,4.45,27.1,6.04
16,5441.34,FeI,4.31,6.8,6.174
17,5466.4,FeI,4.37,32.9,6.081
18,5473.9,FeI,4.15,34.9,6.043
19,5543.94,FeI,4.22,20.2,6.023
20,5546.51,FeI,4.37,12.6,6.112
21,5560.21,FeI,4.43,13.0,6.077
22,5638.26,FeI,4.22,29.0,5.965
23,5679.02,FeI,4.65,16.5,6.162
24,5705.46,FeI,4.3,5.6,5.785
25,5731.76,FeI,4.26,15.7,6.081
26,5741.85,FeI,4.26,5.5,6.042
27,5927.79,FeI,4.65,9.8,6.06
28,5956.69,FeI,0.86,39.0,6.18
29,6136.99,FeI,2.2,42.4,6.117
30,6151.62,FeI,2.18,25.1,6.089
31,6173.33,FeI,2.22,44.0,6.102
32,6200.31,FeI,2.61,43.0,6.076
33,6297.79,FeI,2.22,52.1,6.097
34,6322.69,FeI,2.59,51.0,6.187
35,6481.87,FeI,2.28,35.5,6.091
36,6593.87,FeI,2.43,57.2,6.095
37,6609.11,FeI,2.56,33.3,6.071
38,5653.87,FeI,4.39,6.2,6.113
39,5883.82,FeI,3.96,24.6,6.055
40,5905.67,FeI,4.65,16.6,6.028
41,5930.18,FeI,4.65,38.1,6.074
42,6003.01,FeI,3.88,37.8,6.103
43,6079.01,FeI,4.65,10.1,6.1
44,6096.66,FeI,3.98,8.6,6.097
45,6165.36,FeI,4.14,11.8,6.069
46,6187.99,FeI,3.94,11.5,5.979
47,6315.81,FeI,4.08,10.0,6.044
48,6496.47,FeI,4.8,17.2,6.025
49,6597.56,FeI,4.8,9.0,6.134
50,6270.22,FeI,2.86,22.1,5.956
51,6336.82,FeI,3.69,58.5,5.977
52,4993.36,FeII,2.81,21.3,6.033
53,5264.81,FeII,3.23,25.8,6.044
54,5316.78,FeII,3.22,47.7,6.103
55,5414.07,FeII,3.22,10.9,6.007
56,6456.38,FeII,3.9,40.0,6.114
57,5991.38,FeII,3.15,13.8,6.102
