,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,13.51,
1,4924.77,FeI,2.28,29.31,6.305
2,4939.69,FeI,0.86,39.81,6.324
3,4946.39,FeI,3.37,29.41,6.249
4,4950.11,FeI,3.42,13.21,
5,4969.92,FeI,4.22,17.01,
6,5044.21,FeI,2.85,13.91,
7,5107.45,FeI,0.99,46.91,6.336
8,5127.36,FeI,0.92,38.91,6.316
9,5131.47,FeI,2.22,19.91,
10,5166.28,FeI,0.0,40.61,6.37
11,5198.71,FeI,2.22,33.61,6.253
12,5217.39,FeI,3.21,37.21,6.188
13,5225.53,FeI,0.11,12.51,
14,5242.49,FeI,3.63,26.41,6.226
15,5253.46,FeI,3.28,14.81,
16,5389.48,FeI,4.42,20.21,6.198
17,5398.28,FeI,4.45,13.21,
18,5466.4,FeI,4.37,15.71,
19,5473.9,FeI,4.15,17.21,
20,5576.09,FeI,3.43,38.61,6.198
21,5701.54,FeI,2.56,15.61,
22,6065.48,FeI,2.61,51.01,6.327
23,6136.99,FeI,2.2,11.71,
24,6200.31,FeI,2.61,11.81,
25,6219.28,FeI,2.2,24.71,6.283
26,6252.56,FeI,2.4,55.61,6.393
27,6265.13,FeI,2.18,20.71,6.274
28,6297.79,FeI,2.22,11.01,
29,6322.69,FeI,2.59,13.11,
30,6335.33,FeI,2.2,35.41,6.266
31,6430.85,FeI,2.18,47.11,6.31
32,5883.82,FeI,3.96,16.81,
33,5215.18,FeI,3.27,42.41,6.105
34,6246.32,FeI,3.6,36.71,6.179
35,6336.82,FeI,3.69,30.91,6.209
36,6393.6,FeI,2.43,55.51,6.165
37,6301.5,FeI,3.65,35.11,6.131
38,5367.47,FeI,4.42,51.91,6.0
39,5264.81,FeII,3.23,13.11,
40,5534.85,FeII,3.25,23.41,6.318
41,6432.68,FeII,2.89,11.71,
