,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,10.888,6.25
1,4802.88,FeI,3.64,5.232,6.01
2,4875.88,FeI,3.33,5.174,6.11
3,4907.73,FeI,3.43,5.129,5.99
4,4924.77,FeI,2.28,20.283,6.15
5,4939.69,FeI,0.86,27.794,6.15
6,4946.39,FeI,3.37,20.865,6.04
7,4950.11,FeI,3.42,6.712,5.89
8,4962.57,FeI,4.18,5.665,6.19
9,4969.92,FeI,4.22,12.946,6.15
10,5044.21,FeI,2.85,9.885,6.11
11,5107.45,FeI,0.99,32.164,6.11
12,5107.64,FeI,1.56,42.611,6.12
13,5166.28,FeI,0.0,28.232,6.2
14,5198.71,FeI,2.22,24.393,6.11
15,5217.39,FeI,3.21,28.279,6.03
16,5242.49,FeI,3.63,19.297,6.09
17,5243.78,FeI,4.26,6.491,6.18
18,5250.21,FeI,0.12,6.118,6.25
19,5253.46,FeI,3.28,10.486,6.06
20,5322.04,FeI,2.28,4.534,5.97
21,5373.71,FeI,4.47,7.259,6.08
22,5379.57,FeI,3.69,6.962,6.17
23,5389.48,FeI,4.42,15.972,6.12
24,5466.4,FeI,4.37,13.436,6.21
25,5473.9,FeI,4.15,12.094,6.05
26,5506.78,FeI,0.99,50.73,6.17
27,5543.94,FeI,4.22,7.274,6.18
28,5546.51,FeI,4.37,4.351,6.25
29,5560.21,FeI,4.43,5.104,6.26
30,5576.09,FeI,3.43,30.124,6.08
31,5633.95,FeI,4.99,8.476,6.13
32,5638.26,FeI,4.22,11.29,6.07
33,5662.52,FeI,4.18,19.005,6.03
34,5731.76,FeI,4.26,5.876,6.27
35,6065.48,FeI,2.61,37.101,6.1
36,6173.33,FeI,2.22,7.714,6.21
37,6200.31,FeI,2.61,8.967,6.19
38,6219.28,FeI,2.2,17.836,6.16
39,6252.56,FeI,2.4,40.784,6.15
40,6297.79,FeI,2.22,24.92,6.7
41,6322.69,FeI,2.59,9.314,6.18
42,6335.33,FeI,2.2,23.347,6.05
43,6430.85,FeI,2.18,36.014,6.14
44,6593.87,FeI,2.43,13.176,6.19
45,5883.82,FeI,3.96,9.591,6.29
46,5930.18,FeI,4.65,17.64,6.19
47,6165.36,FeI,4.14,4.73,6.33
48,6496.47,FeI,4.8,7.739,6.19
49,5215.18,FeI,3.27,32.233,5.95
50,6246.32,FeI,3.6,27.69,6.03
51,6336.82,FeI,3.69,21.771,6.04
52,4994.13,FeI,0.92,37.613,6.13
53,5302.3,FeI,3.28,40.327,6.0
54,5569.62,FeI,3.42,46.313,6.0
55,6494.98,FeI,2.4,62.647,6.14
56,5001.86,FeI,3.88,45.755,5.94
57,5083.34,FeI,0.96,41.264,6.12
58,4993.36,FeII,2.81,7.676,6.18
59,5264.81,FeII,3.23,11.146,6.18
60,5316.78,FeII,3.22,21.113,6.12
61,5534.85,FeII,3.25,19.03,6.2
62,6456.38,FeII,3.9,23.07,6.2
63,6432.68,FeII,2.89,7.833,6.09
