,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,21.636,6.54
1,4802.88,FeI,3.64,12.635,6.36
2,4875.88,FeI,3.33,12.528,6.45
3,4907.73,FeI,3.43,13.68,6.38
4,4924.77,FeI,2.28,40.728,6.52
5,4946.39,FeI,3.37,41.857,6.42
6,4950.11,FeI,3.42,19.049,6.33
7,4962.57,FeI,4.18,11.906,6.48
8,4969.92,FeI,4.22,25.606,6.46
9,5044.21,FeI,2.85,21.787,6.43
10,5131.47,FeI,2.22,30.581,6.54
11,5198.71,FeI,2.22,47.217,6.5
12,5217.39,FeI,3.21,52.345,6.42
13,5225.53,FeI,0.11,21.264,6.58
14,5242.49,FeI,3.63,37.296,6.45
15,5243.78,FeI,4.26,14.456,6.51
16,5250.21,FeI,0.12,15.859,6.57
17,5253.46,FeI,3.28,24.547,6.43
18,5322.04,FeI,2.28,13.294,6.38
19,5373.71,FeI,4.47,15.983,6.41
20,5379.57,FeI,3.69,14.535,6.46
21,5389.48,FeI,4.42,31.64,6.46
22,5398.28,FeI,4.45,22.219,6.49
23,5466.4,FeI,4.37,26.117,6.52
24,5473.9,FeI,4.15,27.029,6.43
25,5522.45,FeI,4.21,7.135,6.51
26,5543.94,FeI,4.22,14.641,6.46
27,5546.51,FeI,4.37,9.746,6.57
28,5560.21,FeI,4.43,10.445,6.54
29,5576.09,FeI,3.43,54.084,6.46
30,5618.63,FeI,4.21,10.147,6.48
31,5633.95,FeI,4.99,17.484,6.45
32,5638.26,FeI,4.22,23.927,6.41
33,5662.52,FeI,4.18,37.24,6.39
34,5679.02,FeI,4.65,12.667,6.56
35,5701.54,FeI,2.56,28.36,6.45
36,5705.46,FeI,4.3,6.415,6.44
37,5731.76,FeI,4.26,12.425,6.57
38,5956.69,FeI,0.86,7.882,6.55
39,6136.99,FeI,2.2,15.796,6.51
40,6151.62,FeI,2.18,8.804,6.54
41,6173.33,FeI,2.22,17.267,6.51
42,6200.31,FeI,2.61,19.433,6.49
43,6219.28,FeI,2.2,36.235,6.5
44,6265.13,FeI,2.18,32.196,6.51
45,6297.79,FeI,2.22,22.447,6.51
46,6322.69,FeI,2.59,20.753,6.5
47,6335.33,FeI,2.2,46.792,6.45
48,6430.85,FeI,2.18,61.248,6.55
49,6481.87,FeI,2.28,13.994,6.54
50,6593.87,FeI,2.43,28.222,6.52
51,6609.11,FeI,2.56,14.324,6.52
52,5883.82,FeI,3.96,15.877,6.47
53,5905.67,FeI,4.65,12.015,6.39
54,5930.18,FeI,4.65,35.376,6.56
55,6003.01,FeI,3.88,25.404,6.5
56,6079.01,FeI,4.65,8.119,6.53
57,6165.36,FeI,4.14,8.196,6.52
58,6187.99,FeI,3.94,8.437,6.49
59,6315.81,FeI,4.08,6.79,6.52
60,6496.47,FeI,4.8,16.089,6.5
61,6597.56,FeI,4.8,7.206,6.54
62,6246.32,FeI,3.6,50.208,6.39
63,6270.22,FeI,2.86,9.097,6.36
64,6336.82,FeI,3.69,42.855,6.41
65,6301.5,FeI,3.65,51.137,6.4
66,5060.08,FeI,0.0,3.418,6.21
67,5445.04,FeI,4.39,54.409,6.48
68,4993.36,FeII,2.81,13.337,6.47
69,5264.81,FeII,3.23,20.017,6.52
70,5414.07,FeII,3.22,8.872,6.53
71,5425.26,FeII,3.2,15.254,6.42
72,5534.85,FeII,3.25,30.311,6.52
73,6456.38,FeII,3.9,35.971,6.55
74,5991.38,FeII,3.15,9.368,6.54
75,6432.68,FeII,2.89,14.067,6.4
