,obs_wavelength,element,obs_ep,obs_ew,abund
0,4802.88,FeI,3.64,18.31,
1,4875.88,FeI,3.33,10.81,
2,4907.73,FeI,3.43,12.41,
3,4924.77,FeI,2.28,46.41,6.519
4,4946.39,FeI,3.37,41.51,6.366
5,4950.11,FeI,3.42,20.61,6.459
6,4962.57,FeI,4.18,13.91,
7,4969.92,FeI,4.22,26.71,6.4
8,5044.21,FeI,2.85,24.41,6.388
9,5141.74,FeI,2.42,35.91,6.189
10,5198.71,FeI,2.22,45.81,6.356
11,5225.53,FeI,0.11,25.91,6.533
12,5242.49,FeI,3.63,36.51,6.344
13,5243.78,FeI,4.26,13.01,
14,5250.21,FeI,0.12,16.71,
15,5365.4,FeI,3.57,31.61,6.233
16,5373.71,FeI,4.47,16.01,
17,5379.57,FeI,3.69,12.31,
18,5389.48,FeI,4.42,28.61,6.307
19,5466.4,FeI,4.37,26.61,6.448
20,5473.9,FeI,4.15,25.81,6.39
21,5543.94,FeI,4.22,15.21,
22,5576.09,FeI,3.43,53.01,6.326
23,5633.95,FeI,4.99,16.21,
24,5638.26,FeI,4.22,23.11,6.361
25,5662.52,FeI,4.18,36.21,6.413
26,5679.02,FeI,4.65,11.11,
27,5701.54,FeI,2.56,29.31,6.364
28,5956.69,FeI,0.86,11.01,
29,6136.99,FeI,2.2,16.31,
30,6173.33,FeI,2.22,19.61,
31,6200.31,FeI,2.61,21.01,6.425
32,6219.28,FeI,2.2,40.91,6.486
33,6265.13,FeI,2.18,34.71,6.451
34,6297.79,FeI,2.22,27.81,6.527
35,6322.69,FeI,2.59,22.71,6.443
36,6335.33,FeI,2.2,48.81,6.388
37,6430.85,FeI,2.18,64.21,6.508
38,6481.87,FeI,2.28,14.31,
39,6593.87,FeI,2.43,29.81,6.444
40,6609.11,FeI,2.56,16.81,
41,5883.82,FeI,3.96,15.21,
42,5905.67,FeI,4.65,12.71,
43,5930.18,FeI,4.65,32.11,6.41
44,6003.01,FeI,3.88,25.51,6.431
45,6246.32,FeI,3.6,51.21,6.312
46,6336.82,FeI,3.69,43.21,6.32
47,6301.5,FeI,3.65,53.21,6.329
48,5060.08,FeI,0.0,10.81,
49,5445.04,FeI,4.39,52.81,6.345
50,4993.36,FeII,2.81,10.31,
51,5264.81,FeII,3.23,16.61,
52,5316.78,FeII,3.22,31.91,6.415
53,5425.26,FeII,3.2,12.31,
54,5534.85,FeII,3.25,25.01,6.39
55,6456.38,FeII,3.9,31.11,6.456
56,6432.68,FeII,2.89,12.41,
