,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,22.41,6.502
1,4802.88,FeI,3.64,14.41,
2,4907.73,FeI,3.43,11.51,
3,4924.77,FeI,2.28,42.71,6.498
4,4946.39,FeI,3.37,40.41,6.396
5,4950.11,FeI,3.42,19.31,
6,4969.92,FeI,4.22,24.51,6.386
7,5044.21,FeI,2.85,20.41,6.336
8,5131.47,FeI,2.22,31.11,6.487
9,5198.71,FeI,2.22,45.71,6.411
10,5217.39,FeI,3.21,49.31,6.337
11,5225.53,FeI,0.11,23.91,6.562
12,5242.49,FeI,3.63,35.61,6.366
13,5243.78,FeI,4.26,12.51,
14,5253.46,FeI,3.28,21.21,6.286
15,5322.04,FeI,2.28,13.41,
16,5379.57,FeI,3.69,12.31,
17,5389.48,FeI,4.42,27.11,6.311
18,5398.28,FeI,4.45,19.01,
19,5466.4,FeI,4.37,24.21,6.428
20,5473.9,FeI,4.15,23.41,6.37
21,5543.94,FeI,4.22,12.81,
22,5576.09,FeI,3.43,49.51,6.321
23,5633.95,FeI,4.99,14.31,
24,5638.26,FeI,4.22,21.21,6.349
25,5662.52,FeI,4.18,32.81,6.385
26,5679.02,FeI,4.65,10.61,
27,5701.54,FeI,2.56,28.41,6.397
28,6136.99,FeI,2.2,15.91,
29,6173.33,FeI,2.22,15.81,
30,6200.31,FeI,2.61,19.71,
31,6219.28,FeI,2.2,36.81,6.459
32,6265.13,FeI,2.18,33.31,6.479
33,6297.79,FeI,2.22,22.91,6.464
34,6322.69,FeI,2.59,18.91,
35,6335.33,FeI,2.2,47.61,6.424
36,6430.85,FeI,2.18,61.81,6.523
37,6481.87,FeI,2.28,13.91,
38,6593.87,FeI,2.43,29.61,6.497
39,6609.11,FeI,2.56,13.91,
40,5883.82,FeI,3.96,12.71,
41,5905.67,FeI,4.65,11.71,
42,5930.18,FeI,4.65,33.01,6.466
43,6003.01,FeI,3.88,25.71,6.479
44,6496.47,FeI,4.8,12.41,
45,6246.32,FeI,3.6,50.21,6.352
46,6336.82,FeI,3.69,40.21,6.318
47,6301.5,FeI,3.65,50.41,6.339
48,5445.04,FeI,4.39,49.61,6.337
49,5264.81,FeII,3.23,15.41,
50,5316.78,FeII,3.22,30.31,6.346
51,5534.85,FeII,3.25,24.01,6.334
52,6456.38,FeII,3.9,28.81,6.365
