,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,20.921,6.5
1,4802.88,FeI,3.64,11.689,6.3
2,4875.88,FeI,3.33,12.758,6.44
3,4907.73,FeI,3.43,12.432,6.31
4,4924.77,FeI,2.28,39.551,6.47
5,4946.39,FeI,3.37,40.457,6.37
6,4950.11,FeI,3.42,17.747,6.27
7,4962.57,FeI,4.18,10.928,6.42
8,4969.92,FeI,4.22,23.876,6.4
9,5044.21,FeI,2.85,20.811,6.38
10,5131.47,FeI,2.22,29.523,6.49
11,5198.71,FeI,2.22,46.51,6.46
12,5217.39,FeI,3.21,50.451,6.36
13,5225.53,FeI,0.11,22.506,6.58
14,5242.49,FeI,3.63,36.31,6.41
15,5243.78,FeI,4.26,13.809,6.47
16,5253.46,FeI,3.28,22.627,6.36
17,5322.04,FeI,2.28,13.399,6.36
18,5373.71,FeI,4.47,14.955,6.36
19,5379.57,FeI,3.69,13.705,6.41
20,5389.48,FeI,4.42,29.688,6.4
21,5398.28,FeI,4.45,20.264,6.42
22,5417.03,FeI,4.42,3.813,6.53
23,5466.4,FeI,4.37,24.752,6.47
24,5473.9,FeI,4.15,24.842,6.36
25,5522.45,FeI,4.21,7.208,6.5
26,5543.94,FeI,4.22,13.999,6.42
27,5546.51,FeI,4.37,8.916,6.51
28,5560.21,FeI,4.43,9.745,6.49
29,5576.09,FeI,3.43,53.264,6.42
30,5618.63,FeI,4.21,10.056,6.46
31,5633.95,FeI,4.99,15.183,6.36
32,5638.26,FeI,4.22,22.289,6.35
33,5662.52,FeI,4.18,35.234,6.33
34,5679.02,FeI,4.65,11.821,6.51
35,5701.54,FeI,2.56,28.928,6.44
36,5705.46,FeI,4.3,6.887,6.46
37,5731.76,FeI,4.26,11.419,6.51
38,5956.69,FeI,0.86,8.398,6.55
39,6136.99,FeI,2.2,15.953,6.49
40,6151.62,FeI,2.18,9.075,6.53
41,6173.33,FeI,2.22,15.977,6.44
42,6200.31,FeI,2.61,18.907,6.45
43,6219.28,FeI,2.2,35.131,6.45
44,6265.13,FeI,2.18,32.435,6.49
45,6297.79,FeI,2.22,21.235,6.45
46,6322.69,FeI,2.59,18.898,6.42
47,6335.33,FeI,2.2,46.581,6.42
48,6430.85,FeI,2.18,61.052,6.52
49,6481.87,FeI,2.28,14.128,6.52
50,6593.87,FeI,2.43,28.409,6.5
51,6609.11,FeI,2.56,13.665,6.47
52,5883.82,FeI,3.96,12.881,6.34
53,5905.67,FeI,4.65,11.876,6.37
54,5930.18,FeI,4.65,32.387,6.48
55,6003.01,FeI,3.88,24.165,6.45
56,6079.01,FeI,4.65,8.171,6.52
57,6165.36,FeI,4.14,7.508,6.46
58,6187.99,FeI,3.94,7.0,6.38
59,6496.47,FeI,4.8,13.733,6.4
60,6246.32,FeI,3.6,49.335,6.35
61,6270.22,FeI,2.86,7.973,6.27
62,6336.82,FeI,3.69,40.39,6.34
63,6301.5,FeI,3.65,50.21,6.36
64,5060.08,FeI,0.0,3.321,6.16
65,5445.04,FeI,4.39,52.829,6.43
66,4993.36,FeII,2.81,10.458,6.35
67,5264.81,FeII,3.23,16.282,6.41
68,5316.78,FeII,3.22,28.045,6.33
69,5414.07,FeII,3.22,6.573,6.39
70,5534.85,FeII,3.25,25.067,6.4
71,6456.38,FeII,3.9,27.366,6.36
72,5991.38,FeII,3.15,7.847,6.46
