,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,25.6,6.386
1,4802.88,FeI,3.64,18.3,6.333
2,4875.88,FeI,3.33,17.3,6.38
3,4907.73,FeI,3.43,16.5,6.369
4,4950.11,FeI,3.42,25.1,6.41
5,4962.57,FeI,4.18,11.6,6.267
6,4969.92,FeI,4.22,27.0,6.274
7,5044.21,FeI,2.85,28.1,6.282
8,5131.47,FeI,2.22,38.0,6.353
9,5225.53,FeI,0.11,35.9,6.437
10,5242.49,FeI,3.63,42.2,6.295
11,5243.78,FeI,4.26,15.2,6.333
12,5250.21,FeI,0.12,29.9,6.461
13,5253.46,FeI,3.28,28.7,6.24
14,5322.04,FeI,2.28,17.8,6.214
15,5373.71,FeI,4.47,16.1,6.275
16,5379.57,FeI,3.69,15.9,6.278
17,5389.48,FeI,4.42,32.3,6.25
18,5398.28,FeI,4.45,22.1,6.284
19,5466.4,FeI,4.37,26.8,6.319
20,5473.9,FeI,4.15,28.0,6.298
21,5543.94,FeI,4.22,14.7,6.259
22,5546.51,FeI,4.37,9.6,6.368
23,5560.21,FeI,4.43,9.8,6.318
24,5618.63,FeI,4.21,9.1,6.247
25,5638.26,FeI,4.22,25.1,6.273
26,5662.52,FeI,4.18,38.7,6.3
27,5679.02,FeI,4.65,12.1,6.355
28,5701.54,FeI,2.56,36.4,6.3
29,5705.46,FeI,4.3,5.1,6.144
30,5731.76,FeI,4.26,12.4,6.364
31,5927.79,FeI,4.65,8.6,6.355
32,6136.99,FeI,2.2,25.0,6.43
33,6151.62,FeI,2.18,14.1,6.435
34,6173.33,FeI,2.22,25.8,6.402
35,6200.31,FeI,2.61,28.8,6.408
36,6219.28,FeI,2.2,50.9,6.426
37,6265.13,FeI,2.18,44.5,6.401
38,6297.79,FeI,2.22,32.3,6.395
39,6322.69,FeI,2.59,30.4,6.412
40,6335.33,FeI,2.2,57.8,6.288
41,6481.87,FeI,2.28,21.3,6.429
42,6593.87,FeI,2.43,40.3,6.428
43,6609.11,FeI,2.56,20.4,6.391
44,6703.57,FeI,2.76,7.3,6.44
45,5653.87,FeI,4.39,5.0,6.405
46,5883.82,FeI,3.96,17.6,6.295
47,5905.67,FeI,4.65,15.6,6.344
48,5930.18,FeI,4.65,38.0,6.378
49,6003.01,FeI,3.88,30.0,6.366
50,6079.01,FeI,4.65,8.8,6.39
51,6165.36,FeI,4.14,9.7,6.396
52,6187.99,FeI,3.94,8.4,6.265
53,6315.81,FeI,4.08,10.1,6.479
54,6496.47,FeI,4.8,14.6,6.271
55,6597.56,FeI,4.8,7.5,6.387
56,6336.82,FeI,3.69,51.6,6.249
57,5060.08,FeI,0.0,16.4,6.496
58,5653.86,FeI,4.39,5.0,6.405
59,4993.36,FeII,2.81,7.9,6.425
60,5264.81,FeII,3.23,8.8,6.323
61,6456.38,FeII,3.9,21.0,6.463
