,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,22.3,6.567
1,4802.88,FeI,3.64,16.0,6.5
2,4875.88,FeI,3.33,14.4,6.553
3,4907.73,FeI,3.43,13.4,6.525
4,4924.77,FeI,2.28,42.7,6.568
5,4946.39,FeI,3.37,41.8,6.489
6,4950.11,FeI,3.42,21.6,6.598
7,4962.57,FeI,4.18,10.2,6.413
8,4969.92,FeI,4.22,24.6,6.445
9,5044.21,FeI,2.85,21.6,6.438
10,5131.47,FeI,2.22,30.4,6.545
11,5198.71,FeI,2.22,46.7,6.498
12,5217.39,FeI,3.21,49.5,6.402
13,5225.53,FeI,0.11,20.8,6.574
14,5242.49,FeI,3.63,36.9,6.454
15,5243.78,FeI,4.26,13.8,6.495
16,5250.21,FeI,0.12,15.4,6.562
17,5253.46,FeI,3.28,23.2,6.404
18,5322.04,FeI,2.28,12.2,6.354
19,5373.71,FeI,4.47,14.6,6.426
20,5379.57,FeI,3.69,13.1,6.419
21,5389.48,FeI,4.42,29.3,6.417
22,5398.28,FeI,4.45,20.7,6.458
23,5466.4,FeI,4.37,24.2,6.479
24,5473.9,FeI,4.15,25.4,6.473
25,5543.94,FeI,4.22,13.4,6.426
26,5546.51,FeI,4.37,8.8,6.527
27,5560.21,FeI,4.43,9.0,6.473
28,5576.09,FeI,3.43,50.4,6.399
29,5618.63,FeI,4.21,8.2,6.407
30,5638.26,FeI,4.22,22.4,6.434
31,5662.52,FeI,4.18,33.9,6.459
32,5679.02,FeI,4.65,11.4,6.513
33,5701.54,FeI,2.56,27.5,6.443
34,5731.76,FeI,4.26,11.4,6.533
35,5956.69,FeI,0.86,7.9,6.56
36,6136.99,FeI,2.2,16.1,6.532
37,6151.62,FeI,2.18,8.2,6.515
38,6173.33,FeI,2.22,16.9,6.51
39,6200.31,FeI,2.61,19.6,6.507
40,6219.28,FeI,2.2,37.3,6.533
41,6265.13,FeI,2.18,32.8,6.533
42,6297.79,FeI,2.22,22.9,6.533
43,6322.69,FeI,2.59,21.0,6.518
44,6335.33,FeI,2.2,46.7,6.46
45,6430.85,FeI,2.18,61.9,6.565
46,6481.87,FeI,2.28,13.2,6.519
47,6593.87,FeI,2.43,28.6,6.538
48,6609.11,FeI,2.56,13.7,6.507
49,5883.82,FeI,3.96,15.3,6.462
50,5905.67,FeI,4.65,12.1,6.407
51,5930.18,FeI,4.65,36.2,6.577
52,6003.01,FeI,3.88,25.3,6.527
53,6079.01,FeI,4.65,7.8,6.519
54,6165.36,FeI,4.14,7.0,6.455
55,6187.99,FeI,3.94,7.6,6.451
56,6315.81,FeI,4.08,7.0,6.524
57,6496.47,FeI,4.8,15.3,6.482
58,6597.56,FeI,4.8,6.4,6.491
59,6246.32,FeI,3.6,49.5,6.396
60,6270.22,FeI,2.86,9.0,6.372
61,6336.82,FeI,3.69,41.5,6.4
62,6301.5,FeI,3.65,49.8,6.384
63,5060.08,FeI,0.0,8.8,6.675
64,5445.04,FeI,4.39,50.4,6.406
65,4993.36,FeII,2.81,12.5,6.448
66,5264.81,FeII,3.23,18.5,6.484
67,5414.07,FeII,3.22,7.3,6.445
68,6456.38,FeII,3.9,35.9,6.555
69,5991.38,FeII,3.15,8.8,6.518
70,6432.68,FeII,2.89,14.2,6.42
