,obs_wavelength,element,obs_ep,obs_ew,abund
0,4924.77,FeI,2.28,22.81,6.194
1,4939.69,FeI,0.86,30.51,6.185
2,4946.39,FeI,3.37,21.71,6.103
3,4969.92,FeI,4.22,14.01,
4,5107.45,FeI,0.99,35.71,6.162
5,5107.64,FeI,1.56,42.11,6.088
6,5127.36,FeI,0.92,30.61,6.199
7,5131.47,FeI,2.22,15.51,
8,5166.28,FeI,0.0,30.81,6.232
9,5198.71,FeI,2.22,24.41,6.09
10,5217.39,FeI,3.21,30.21,6.084
11,5242.49,FeI,3.63,19.21,
12,5253.46,FeI,3.28,10.21,
13,5389.48,FeI,4.42,15.11,
14,5398.28,FeI,4.45,10.51,
15,5466.4,FeI,4.37,12.71,
16,5473.9,FeI,4.15,11.61,
17,5506.78,FeI,0.99,53.11,6.202
18,5576.09,FeI,3.43,29.41,6.049
19,5638.26,FeI,4.22,11.01,
20,5662.52,FeI,4.18,18.61,
21,5701.54,FeI,2.56,12.71,
22,6065.48,FeI,2.61,40.21,6.153
23,6219.28,FeI,2.2,18.41,
24,6252.56,FeI,2.4,43.71,6.198
25,6335.33,FeI,2.2,24.61,6.07
26,6430.85,FeI,2.18,36.91,6.149
27,6593.87,FeI,2.43,14.11,
28,5930.18,FeI,4.65,17.61,
29,5215.18,FeI,3.27,34.61,5.994
30,6246.32,FeI,3.6,30.31,6.086
31,6336.82,FeI,3.69,23.01,6.065
32,4994.13,FeI,0.92,40.51,6.166
33,5302.3,FeI,3.28,41.31,5.987
34,5367.47,FeI,4.42,44.91,5.906
35,5569.62,FeI,3.42,45.81,5.949
36,6494.98,FeI,2.4,62.71,6.142
37,5001.86,FeI,3.88,48.51,5.976
38,5083.34,FeI,0.96,44.41,6.161
39,5264.81,FeII,3.23,11.41,
40,5316.78,FeII,3.22,23.11,6.161
41,5534.85,FeII,3.25,19.11,
42,6456.38,FeII,3.9,23.81,6.215
