,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,15.71,
1,4924.77,FeI,2.28,41.51,5.638
2,4946.39,FeI,3.37,31.01,5.57
3,4950.11,FeI,3.42,13.11,
4,4969.92,FeI,4.22,13.01,
5,5044.21,FeI,2.85,16.51,
6,5131.47,FeI,2.22,29.61,5.623
7,5198.71,FeI,2.22,47.41,5.589
8,5217.39,FeI,3.21,39.51,5.486
9,5242.49,FeI,3.63,24.71,5.503
10,5253.46,FeI,3.28,14.91,
11,5322.04,FeI,2.28,13.31,
12,5389.48,FeI,4.42,13.81,
13,5466.4,FeI,4.37,13.21,
14,5473.9,FeI,4.15,13.01,
15,5576.09,FeI,3.43,38.31,5.481
16,5638.26,FeI,4.22,11.41,
17,5662.52,FeI,4.18,18.81,
18,5701.54,FeI,2.56,25.01,5.535
19,5956.69,FeI,0.86,13.51,
20,6136.99,FeI,2.2,15.91,
21,6173.33,FeI,2.22,20.21,5.704
22,6200.31,FeI,2.61,16.51,
23,6219.28,FeI,2.2,39.61,5.653
24,6265.13,FeI,2.18,34.61,5.647
25,6297.79,FeI,2.22,24.71,5.669
26,6322.69,FeI,2.59,17.41,
27,6335.33,FeI,2.2,47.81,5.547
28,6481.87,FeI,2.28,12.81,
29,6593.87,FeI,2.43,27.31,5.633
30,6609.11,FeI,2.56,12.01,
31,5930.18,FeI,4.65,15.01,
32,6003.01,FeI,3.88,15.61,
33,5215.18,FeI,3.27,44.21,5.404
34,6246.32,FeI,3.6,35.61,5.47
35,6336.82,FeI,3.69,25.61,5.42
36,5060.08,FeI,0.0,18.71,
37,5415.2,FeI,4.39,52.21,5.256
38,5264.81,FeII,3.23,12.81,
39,5316.78,FeII,3.22,29.11,5.684
40,5425.26,FeII,3.2,10.51,
41,5534.85,FeII,3.25,21.71,5.649
42,6456.38,FeII,3.9,25.91,5.759
43,6432.68,FeII,2.89,13.41,
