,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,13.143,5.56
1,4802.88,FeI,3.64,6.921,5.43
2,4875.88,FeI,3.33,8.999,5.61
3,4907.73,FeI,3.43,7.385,5.41
4,4924.77,FeI,2.28,39.76,5.62
5,4946.39,FeI,3.37,31.082,5.52
6,4950.11,FeI,3.42,13.757,5.49
7,4969.92,FeI,4.22,13.614,5.57
8,5044.21,FeI,2.85,17.675,5.55
9,5131.47,FeI,2.22,29.722,5.64
10,5198.71,FeI,2.22,48.364,5.62
11,5217.39,FeI,3.21,41.445,5.5
12,5242.49,FeI,3.63,25.419,5.53
13,5243.78,FeI,4.26,7.019,5.62
14,5253.46,FeI,3.28,17.047,5.53
15,5322.04,FeI,2.28,13.521,5.53
16,5373.71,FeI,4.47,7.759,5.55
17,5379.57,FeI,3.69,9.518,5.62
18,5389.48,FeI,4.42,16.399,5.56
19,5398.28,FeI,4.45,10.941,5.61
20,5466.4,FeI,4.37,13.901,5.65
21,5473.9,FeI,4.15,13.961,5.5
22,5543.94,FeI,4.22,8.19,5.63
23,5560.21,FeI,4.43,4.739,5.66
24,5576.09,FeI,3.43,41.031,5.54
25,5619.6,FeI,4.39,2.255,5.79
26,5633.95,FeI,4.99,7.349,5.59
27,5638.26,FeI,4.22,12.285,5.5
28,5662.52,FeI,4.18,21.256,5.47
29,5701.54,FeI,2.56,26.892,5.59
30,5731.76,FeI,4.26,6.103,5.69
31,5956.69,FeI,0.86,12.697,5.69
32,6136.99,FeI,2.2,16.07,5.64
33,6151.62,FeI,2.18,8.433,5.64
34,6173.33,FeI,2.22,20.02,5.72
35,6200.31,FeI,2.61,16.634,5.59
36,6219.28,FeI,2.2,38.276,5.64
37,6265.13,FeI,2.18,34.041,5.65
38,6297.79,FeI,2.22,24.404,5.68
39,6322.69,FeI,2.59,19.887,5.66
40,6335.33,FeI,2.2,48.305,5.56
41,6481.87,FeI,2.28,13.342,5.65
42,6593.87,FeI,2.43,27.021,5.64
43,6609.11,FeI,2.56,12.96,5.65
44,5883.82,FeI,3.96,9.706,5.64
45,5930.18,FeI,4.65,15.585,5.59
46,6003.01,FeI,3.88,16.198,5.65
47,6496.47,FeI,4.8,7.518,5.67
48,5215.18,FeI,3.27,45.578,5.42
49,6246.32,FeI,3.6,35.473,5.46
50,6270.22,FeI,2.86,9.16,5.6
51,6336.82,FeI,3.69,26.574,5.44
52,5060.08,FeI,0.0,13.892,5.66
53,5415.2,FeI,4.39,54.08,5.28
54,4993.36,FeII,2.81,10.28,5.64
55,5264.81,FeII,3.23,14.031,5.69
56,5316.78,FeII,3.22,24.153,5.58
57,5414.07,FeII,3.22,5.286,5.65
58,5425.26,FeII,3.2,11.389,5.63
59,5534.85,FeII,3.25,22.962,5.7
60,6456.38,FeII,3.9,24.358,5.74
61,6432.68,FeII,2.89,13.626,5.7
