,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,9.4,6.13
1,4802.88,FeI,3.64,8.2,6.184
2,4875.88,FeI,3.33,7.2,6.235
3,4907.73,FeI,3.43,6.9,6.223
4,4924.77,FeI,2.28,25.9,6.228
5,4939.69,FeI,0.86,36.2,6.246
6,4946.39,FeI,3.37,24.7,6.141
7,4950.11,FeI,3.42,10.9,6.257
8,4962.57,FeI,4.18,6.0,6.181
9,4969.92,FeI,4.22,12.4,6.09
10,5044.21,FeI,2.85,10.6,6.087
11,5107.64,FeI,1.56,48.1,6.149
12,5127.36,FeI,0.92,34.9,6.229
13,5131.47,FeI,2.22,16.5,6.207
14,5166.28,FeI,0.0,38.8,6.325
15,5198.71,FeI,2.22,29.2,6.155
16,5217.39,FeI,3.21,32.0,6.07
17,5225.53,FeI,0.11,11.3,6.291
18,5242.49,FeI,3.63,22.3,6.131
19,5243.78,FeI,4.26,6.3,6.132
20,5250.21,FeI,0.12,8.4,6.299
21,5253.46,FeI,3.28,11.3,6.04
22,5322.04,FeI,2.28,5.3,5.981
23,5373.71,FeI,4.47,7.1,6.089
24,5379.57,FeI,3.69,6.4,6.09
25,5389.48,FeI,4.42,16.7,6.104
26,5398.28,FeI,4.45,10.8,6.133
27,5466.4,FeI,4.37,12.6,6.14
28,5473.9,FeI,4.15,13.1,6.124
29,5543.94,FeI,4.22,6.2,6.07
30,5576.09,FeI,3.43,33.4,6.08
31,5638.26,FeI,4.22,11.2,6.08
32,5662.52,FeI,4.18,20.0,6.143
33,5701.54,FeI,2.56,14.4,6.099
34,5731.76,FeI,4.26,6.1,6.25
35,6065.48,FeI,2.61,45.1,6.185
36,6136.99,FeI,2.2,8.6,6.243
37,6173.33,FeI,2.22,8.4,6.183
38,6200.31,FeI,2.61,9.7,6.166
39,6219.28,FeI,2.2,21.4,6.193
40,6265.13,FeI,2.18,17.1,6.164
41,6297.79,FeI,2.22,11.5,6.189
42,6322.69,FeI,2.59,10.8,6.191
43,6335.33,FeI,2.2,29.1,6.119
44,6003.01,FeI,3.88,12.6,6.162
45,6496.47,FeI,4.8,7.2,6.124
46,5215.18,FeI,3.27,37.0,5.984
47,6246.32,FeI,3.6,32.1,6.066
48,6270.22,FeI,2.86,6.4,6.234
49,6336.82,FeI,3.69,23.3,6.026
50,6393.6,FeI,2.43,52.8,6.073
51,6301.5,FeI,3.65,31.2,6.032
52,5339.93,FeI,3.27,49.9,5.997
53,5367.47,FeI,4.42,45.3,5.848
54,4993.36,FeII,2.81,6.2,6.211
55,5264.81,FeII,3.23,9.5,6.239
56,5316.78,FeII,3.22,20.6,6.245
57,6456.38,FeII,3.9,21.6,6.307
58,6432.68,FeII,2.89,7.3,6.189
