,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,8.6,6.138
1,4802.88,FeI,3.64,7.8,6.206
2,4875.88,FeI,3.33,6.3,6.226
3,4907.73,FeI,3.43,5.8,6.194
4,4924.77,FeI,2.28,21.4,6.184
5,4939.69,FeI,0.86,30.0,6.201
6,4946.39,FeI,3.37,22.0,6.136
7,4950.11,FeI,3.42,9.4,6.239
8,4969.92,FeI,4.22,12.5,6.137
9,5044.21,FeI,2.85,9.3,6.084
10,5107.64,FeI,1.56,42.1,6.112
11,5127.36,FeI,0.92,28.9,6.187
12,5131.47,FeI,2.22,13.6,6.175
13,5166.28,FeI,0.0,29.9,6.238
14,5198.71,FeI,2.22,25.1,6.131
15,5217.39,FeI,3.21,28.3,6.062
16,5225.53,FeI,0.11,7.7,6.205
17,5242.49,FeI,3.63,19.7,6.109
18,5243.78,FeI,4.26,5.8,6.133
19,5250.21,FeI,0.12,6.0,6.24
20,5253.46,FeI,3.28,10.2,6.046
21,5373.71,FeI,4.47,6.4,6.078
22,5379.57,FeI,3.69,5.7,6.082
23,5389.48,FeI,4.42,15.5,6.109
24,5398.28,FeI,4.45,9.6,6.116
25,5466.4,FeI,4.37,11.9,6.153
26,5473.9,FeI,4.15,11.8,6.116
27,5506.78,FeI,0.99,51.3,6.185
28,5543.94,FeI,4.22,5.9,6.088
29,5576.09,FeI,3.43,28.8,6.056
30,5638.26,FeI,4.22,10.6,6.097
31,5662.52,FeI,4.18,17.9,6.131
32,5701.54,FeI,2.56,12.4,6.088
33,5731.76,FeI,4.26,5.4,6.236
34,6065.48,FeI,2.61,40.0,6.165
35,6173.33,FeI,2.22,7.4,6.194
36,6200.31,FeI,2.61,8.7,6.179
37,6219.28,FeI,2.2,18.9,6.196
38,6322.69,FeI,2.59,9.2,6.179
39,6335.33,FeI,2.2,24.8,6.093
40,6430.85,FeI,2.18,37.5,6.176
41,6593.87,FeI,2.43,13.6,6.21
42,5883.82,FeI,3.96,10.8,6.351
43,5930.18,FeI,4.65,18.6,6.223
44,6165.36,FeI,4.14,5.2,6.378
45,6496.47,FeI,4.8,7.0,6.148
46,5215.18,FeI,3.27,32.9,5.979
47,6246.32,FeI,3.6,29.8,6.09
48,6336.82,FeI,3.69,23.1,6.085
49,6301.5,FeI,3.65,45.7,6.38
50,4994.13,FeI,0.92,40.2,6.186
51,5302.3,FeI,3.28,40.3,5.985
52,5367.47,FeI,4.42,43.0,5.882
53,5569.62,FeI,3.42,45.2,5.951
54,6494.98,FeI,2.4,64.3,6.176
55,5001.86,FeI,3.88,47.0,5.967
56,5083.34,FeI,0.96,43.3,6.164
57,4993.36,FeII,2.81,6.9,6.14
58,5264.81,FeII,3.23,9.9,6.132
59,5316.78,FeII,3.22,22.9,6.179
60,6456.38,FeII,3.9,23.6,6.226
61,6432.68,FeII,2.89,7.5,6.082
