,obs_wavelength,element,obs_ep,obs_ew,abund
0,4788.76,FeI,3.24,26.01,6.365
1,4802.88,FeI,3.64,18.71,
2,4875.88,FeI,3.33,14.41,
3,4907.73,FeI,3.43,15.91,
4,4950.11,FeI,3.42,24.91,6.369
5,4962.57,FeI,4.18,12.71,
6,4969.92,FeI,4.22,29.01,6.282
7,5044.21,FeI,2.85,28.71,6.258
8,5131.47,FeI,2.22,40.81,6.374
9,5225.53,FeI,0.11,39.21,6.477
10,5242.49,FeI,3.63,42.31,6.264
11,5243.78,FeI,4.26,14.51,
12,5250.21,FeI,0.12,29.21,6.414
13,5253.46,FeI,3.28,28.31,6.195
14,5322.04,FeI,2.28,19.81,
15,5373.71,FeI,4.47,17.41,
16,5379.57,FeI,3.69,16.21,
17,5389.48,FeI,4.42,32.01,6.207
18,5398.28,FeI,4.45,22.31,6.258
19,5466.4,FeI,4.37,28.51,6.324
20,5473.9,FeI,4.15,29.01,6.288
21,5543.94,FeI,4.22,14.91,
22,5560.21,FeI,4.43,10.91,
23,5633.95,FeI,4.99,16.11,
24,5638.26,FeI,4.22,26.11,6.266
25,5662.52,FeI,4.18,39.91,6.287
26,5679.02,FeI,4.65,12.51,
27,5701.54,FeI,2.56,37.31,6.287
28,5731.76,FeI,4.26,13.11,
29,6136.99,FeI,2.2,24.51,6.389
30,6151.62,FeI,2.18,13.91,
31,6173.33,FeI,2.22,25.01,6.355
32,6200.31,FeI,2.61,28.61,6.374
33,6219.28,FeI,2.2,49.71,6.378
34,6265.13,FeI,2.18,43.91,6.364
35,6297.79,FeI,2.22,32.21,6.366
36,6322.69,FeI,2.59,29.51,6.364
37,6335.33,FeI,2.2,56.81,6.246
38,6481.87,FeI,2.28,21.71,6.412
39,6593.87,FeI,2.43,40.41,6.402
40,6609.11,FeI,2.56,19.91,
41,5883.82,FeI,3.96,16.61,
42,5905.67,FeI,4.65,14.61,
43,5930.18,FeI,4.65,36.31,6.315
44,6003.01,FeI,3.88,29.81,6.328
45,6496.47,FeI,4.8,13.21,
46,6336.82,FeI,3.69,50.61,6.189
47,5060.08,FeI,0.0,17.61,
48,5264.81,FeII,3.23,10.41,
49,5316.78,FeII,3.22,23.91,6.375
50,5534.85,FeII,3.25,16.61,
51,6456.38,FeII,3.9,21.01,6.377
