,obs_wavelength,element,obs_ew,obs_ep
0,3805.34,FeI,74.5,3.3
1,4114.44,FeI,38.7,2.83
2,4132.06,FeI,130.0,1.61
3,4134.68,FeI,66.0,2.83
4,4147.67,FeI,62.5,1.48
5,4154.5,FeI,64.2,2.83
6,4175.64,FeI,59.4,2.85
7,4182.38,FeI,33.3,3.02
8,4184.89,FeI,57.0,2.83
9,4191.43,FeI,82.6,2.47
10,4199.1,FeI,87.7,3.05
11,4217.55,FeI,50.6,3.43
12,4222.21,FeI,74.7,2.45
13,4238.81,FeI,61.6,3.4
14,4375.93,FeI,85.1,0.0
15,4388.41,FeI,34.7,3.6
16,4443.19,FeI,50.9,2.86
17,4447.72,FeI,69.5,2.22
18,4461.65,FeI,77.7,0.09
19,4489.74,FeI,49.0,0.12
20,4494.56,FeI,78.8,2.2
21,4531.15,FeI,65.5,1.48
22,4595.36,FeI,9.5,3.29
23,4602.94,FeI,62.2,1.49
24,4630.12,FeI,15.7,2.28
25,4643.46,FeI,14.1,3.64
26,4647.43,FeI,37.0,2.95
27,4733.59,FeI,29.1,1.49
28,4736.77,FeI,55.3,3.21
29,4786.81,FeI,23.1,3.0
30,4789.65,FeI,28.0,3.53
31,4800.65,FeI,6.0,4.12
32,4871.32,FeI,84.1,2.87
33,4872.14,FeI,73.2,2.88
34,4890.76,FeI,87.2,2.88
35,4891.49,FeI,101.8,2.85
36,4903.31,FeI,57.5,2.88
37,4918.99,FeI,86.5,2.85
38,4920.5,FeI,119.2,2.83
39,4924.77,FeI,28.1,2.28
40,4938.81,FeI,49.1,2.88
41,4939.69,FeI,44.6,0.86
42,4966.09,FeI,43.3,3.33
43,4994.13,FeI,52.1,0.92
44,5006.12,FeI,75.3,2.83
45,5028.13,FeI,18.4,3.56
46,5049.82,FeI,68.7,2.28
47,5068.77,FeI,50.1,2.94
48,5079.74,FeI,46.1,0.99
49,5083.34,FeI,55.2,0.96
50,5123.72,FeI,50.1,1.01
51,5127.36,FeI,42.5,0.92
52,5131.47,FeI,22.0,2.22
53,5141.74,FeI,21.0,2.42
54,5150.84,FeI,46.8,0.99
55,5151.91,FeI,36.8,1.01
56,5191.45,FeI,73.4,3.04
57,5192.34,FeI,80.1,3.0
58,5194.94,FeI,67.8,1.56
59,5198.71,FeI,35.7,2.22
60,5216.27,FeI,63.5,1.61
61,5217.39,FeI,35.9,3.21
62,5225.53,FeI,16.0,0.11
63,5232.94,FeI,100.0,2.94
64,5242.49,FeI,23.8,3.63
65,5266.56,FeI,83.0,3.0
66,5281.79,FeI,54.1,3.04
67,5283.62,FeI,67.5,3.24
68,5288.53,FeI,6.2,3.68
69,5307.36,FeI,26.6,1.61
70,5322.04,FeI,9.2,2.28
71,5332.9,FeI,34.1,1.55
72,5339.93,FeI,54.3,3.27
73,5367.47,FeI,45.8,4.42
74,5369.96,FeI,52.2,4.37
75,5371.49,FeI,120.1,0.96
76,5379.57,FeI,7.7,3.69
77,5383.37,FeI,58.8,4.31
78,5397.13,FeI,102.6,0.92
79,5405.77,FeI,102.6,0.99
80,5410.91,FeI,41.6,4.47
81,5415.2,FeI,55.3,4.39
82,5434.52,FeI,92.1,1.01
83,5501.47,FeI,56.9,0.96
84,5506.78,FeI,65.6,0.99
85,5586.76,FeI,78.3,3.37
86,5701.54,FeI,19.5,2.56
87,5753.12,FeI,14.2,4.26
88,5816.37,FeI,7.4,4.55
89,6065.48,FeI,48.1,2.61
90,6136.61,FeI,63.0,2.45
91,6137.69,FeI,56.8,2.59
92,6151.62,FeI,5.4,2.18
93,6191.56,FeI,60.3,2.43
94,6213.43,FeI,20.6,2.22
95,6219.28,FeI,25.0,2.2
96,6246.32,FeI,34.5,3.6
97,6265.13,FeI,23.9,2.18
98,6297.79,FeI,14.0,2.22
99,6322.68,FeI,12.7,2.59
100,6355.03,FeI,9.8,2.84
101,6421.35,FeI,43.6,2.28
102,6430.85,FeI,48.0,2.18
103,6494.98,FeI,73.0,2.4
104,6592.91,FeI,43.8,2.73
105,6593.87,FeI,21.2,2.44
106,6677.99,FeI,53.1,2.69
107,6750.15,FeI,14.0,2.42
108,4178.86,FeII,49.7,2.58
109,4233.17,FeII,78.5,2.58
110,4491.41,FeII,30.9,2.86
111,4515.34,FeII,45.2,2.84
112,4555.89,FeII,50.9,2.83
113,4576.34,FeII,23.5,2.84
114,4583.84,FeII,75.3,2.81
115,4620.52,FeII,13.2,2.83
116,5197.58,FeII,40.3,3.23
117,5234.63,FeII,44.5,3.22
118,5325.55,FeII,7.7,3.22
119,5414.07,FeII,3.8,3.22
