,obs_wavelength,element,obs_ew,obs_ep
0,3902.95,FeI,104.2,1.56
1,3922.91,FeI,120.4,0.05
2,4005.24,FeI,100.7,1.56
3,4114.44,FeI,20.8,2.83
4,4134.68,FeI,50.8,2.83
5,4143.87,FeI,103.5,1.56
6,4147.67,FeI,38.3,1.48
7,4154.5,FeI,40.7,2.83
8,4174.91,FeI,30.6,0.91
9,4175.64,FeI,41.3,2.85
10,4182.38,FeI,16.1,3.02
11,4184.89,FeI,34.5,2.83
12,4187.04,FeI,72.5,2.45
13,4187.8,FeI,73.9,2.42
14,4199.1,FeI,74.3,3.05
15,4202.03,FeI,98.4,1.49
16,4216.18,FeI,53.5,0.0
17,4217.55,FeI,29.1,3.43
18,4222.21,FeI,48.3,2.45
19,4233.6,FeI,68.4,2.48
20,4238.81,FeI,42.5,3.4
21,4250.12,FeI,73.7,2.47
22,4250.79,FeI,94.0,1.56
23,4260.47,FeI,102.4,2.4
24,4271.15,FeI,83.9,2.45
25,4282.4,FeI,68.0,2.18
26,4388.41,FeI,16.7,3.6
27,4415.12,FeI,104.6,1.61
28,4442.34,FeI,52.7,2.2
29,4443.19,FeI,30.4,2.86
30,4447.72,FeI,48.2,2.22
31,4466.55,FeI,54.4,2.83
32,4489.74,FeI,22.2,0.12
33,4494.56,FeI,57.3,2.2
34,4531.15,FeI,41.0,1.48
35,4592.65,FeI,28.0,1.56
36,4595.36,FeI,4.5,3.29
37,4602.94,FeI,38.1,1.49
38,4647.43,FeI,16.6,2.95
39,4733.59,FeI,11.1,1.49
40,4736.77,FeI,34.8,3.21
41,4786.81,FeI,7.7,3.0
42,4789.65,FeI,12.3,3.53
43,4871.32,FeI,61.9,2.87
44,4872.14,FeI,49.3,2.88
45,4890.76,FeI,57.8,2.88
46,4891.49,FeI,74.4,2.85
47,4903.31,FeI,31.4,2.88
48,4918.99,FeI,61.5,2.85
49,4920.5,FeI,88.9,2.83
50,4924.77,FeI,10.7,2.28
51,4938.81,FeI,28.2,2.88
52,4939.69,FeI,18.0,0.86
53,4966.09,FeI,21.7,3.33
54,4994.13,FeI,24.8,0.92
55,5006.12,FeI,53.4,2.83
56,5049.82,FeI,41.2,2.28
57,5051.63,FeI,39.6,0.92
58,5068.77,FeI,29.8,2.94
59,5083.34,FeI,27.9,0.96
60,5123.72,FeI,26.0,1.01
61,5127.36,FeI,16.1,0.92
62,5141.74,FeI,7.8,2.42
63,5150.84,FeI,19.6,0.99
64,5151.91,FeI,16.0,1.01
65,5166.28,FeI,23.7,0.0
66,5171.6,FeI,61.1,1.49
67,5191.45,FeI,46.3,3.04
68,5192.34,FeI,54.1,3.0
69,5194.94,FeI,46.1,1.56
70,5198.71,FeI,17.6,2.22
71,5216.27,FeI,37.0,1.61
72,5217.39,FeI,14.5,3.21
73,5232.94,FeI,72.7,2.94
74,5266.56,FeI,56.6,3.0
75,5281.79,FeI,35.1,3.04
76,5307.36,FeI,8.8,1.61
77,5339.93,FeI,34.2,3.27
78,5365.4,FeI,10.3,3.56
79,5369.96,FeI,34.4,4.37
80,5383.37,FeI,44.3,4.31
81,5410.91,FeI,29.4,4.47
82,5497.52,FeI,33.3,1.01
83,5501.47,FeI,30.7,0.96
84,5506.78,FeI,40.6,0.99
85,5586.76,FeI,52.1,3.37
86,5662.52,FeI,9.4,4.18
87,6065.48,FeI,26.8,2.61
88,6136.61,FeI,40.8,2.45
89,6137.69,FeI,33.0,2.59
90,6191.56,FeI,38.7,2.43
91,6265.13,FeI,9.5,2.18
92,6393.6,FeI,32.8,2.43
93,6421.35,FeI,19.4,2.28
94,6430.85,FeI,26.2,2.18
95,6494.98,FeI,48.1,2.4
96,6592.91,FeI,20.6,2.73
97,6593.87,FeI,5.3,2.44
98,6677.99,FeI,29.4,2.69
99,4178.86,FeII,40.3,2.58
100,4233.17,FeII,72.1,2.58
101,4491.41,FeII,20.9,2.86
102,4515.34,FeII,30.4,2.84
103,4522.63,FeII,54.1,2.84
104,4555.89,FeII,37.8,2.83
105,4576.34,FeII,13.1,2.84
106,4583.84,FeII,66.3,2.81
107,5197.58,FeII,29.3,3.23
108,5234.63,FeII,34.3,3.22
109,5276.0,FeII,40.9,3.2
