,obs_wavelength,element,obs_ew,obs_ep
0,4114.44,FeI,53.8,2.83
1,4147.67,FeI,75.4,1.48
2,4154.5,FeI,80.5,2.83
3,4157.78,FeI,72.6,3.42
4,4174.91,FeI,72.0,0.91
5,4175.64,FeI,73.9,2.85
6,4182.38,FeI,50.9,3.02
7,4217.55,FeI,71.1,3.43
8,4388.41,FeI,57.1,3.6
9,4443.19,FeI,65.7,2.86
10,4466.55,FeI,89.2,2.83
11,4489.74,FeI,59.8,0.12
12,4595.36,FeI,22.5,3.29
13,4630.12,FeI,22.5,2.28
14,4786.81,FeI,32.0,3.0
15,5028.13,FeI,35.5,3.56
16,5044.21,FeI,24.2,2.85
17,5049.82,FeI,96.5,2.28
18,5051.63,FeI,89.0,0.92
19,5068.77,FeI,72.9,2.94
20,5083.34,FeI,72.8,0.96
21,5123.72,FeI,69.3,1.01
22,5127.36,FeI,59.9,0.92
23,5131.47,FeI,39.0,2.22
24,5141.74,FeI,37.0,2.42
25,5150.84,FeI,62.8,0.99
26,5151.91,FeI,56.1,1.01
27,5194.94,FeI,82.1,1.56
28,5198.71,FeI,57.5,2.22
29,5216.27,FeI,78.3,1.61
30,5217.39,FeI,59.0,3.21
31,5225.53,FeI,30.1,0.11
32,5242.49,FeI,42.8,3.63
33,5281.79,FeI,82.3,3.04
34,5288.53,FeI,15.4,3.68
35,5307.36,FeI,44.5,1.61
36,5322.04,FeI,16.9,2.28
37,5332.9,FeI,53.7,1.55
38,5339.93,FeI,86.5,3.27
39,5364.87,FeI,65.5,4.45
40,5367.47,FeI,75.7,4.42
41,5369.96,FeI,84.4,4.37
42,5379.57,FeI,13.8,3.69
43,5383.37,FeI,97.7,4.31
44,5415.2,FeI,89.0,4.39
45,5497.52,FeI,79.8,1.01
46,5501.47,FeI,73.2,0.96
47,5506.78,FeI,82.8,0.99
48,5662.52,FeI,42.9,4.18
49,5701.54,FeI,35.8,2.56
50,5753.12,FeI,30.4,4.26
51,5816.37,FeI,16.6,4.55
52,6065.48,FeI,69.9,2.61
53,6137.69,FeI,77.2,2.59
54,6151.62,FeI,11.7,2.18
55,6191.56,FeI,82.8,2.43
56,6213.43,FeI,38.4,2.22
57,6219.28,FeI,46.0,2.2
58,6230.72,FeI,89.5,2.56
59,6246.32,FeI,60.6,3.6
60,6265.13,FeI,41.4,2.18
61,6297.79,FeI,28.6,2.22
62,6322.68,FeI,27.6,2.59
63,6344.15,FeI,15.2,2.43
64,6393.6,FeI,78.5,2.43
65,6421.35,FeI,64.1,2.28
66,6430.85,FeI,66.8,2.18
67,6593.87,FeI,35.7,2.44
68,6609.11,FeI,16.6,2.56
69,6677.99,FeI,76.3,2.69
70,6750.15,FeI,29.2,2.42
71,6978.85,FeI,30.8,2.48
72,4178.86,FeII,52.0,2.58
73,4233.17,FeII,80.0,2.58
74,4491.41,FeII,35.8,2.86
75,4515.34,FeII,47.9,2.84
76,4576.34,FeII,27.6,2.84
77,4583.84,FeII,77.0,2.81
78,4620.52,FeII,23.0,2.83
79,5197.58,FeII,48.0,3.23
80,5234.63,FeII,48.5,3.22
81,5325.55,FeII,13.0,3.22
