,obs_wavelength,element,obs_ep,obs_ew
0,3820.44,FeI,0.86,121.5
1,3856.38,FeI,0.05,91.3
2,3865.52,FeI,1.01,70.5
3,3895.67,FeI,0.11,73.7
4,3899.72,FeI,0.09,80.3
5,3902.96,FeI,1.56,67.6
6,3906.49,FeI,0.11,53.0
7,3916.74,FeI,3.24,7.2
8,3917.18,FeI,0.99,18.1
9,3920.27,FeI,0.12,73.1
10,3922.92,FeI,0.05,77.9
11,4005.24,FeI,1.56,64.1
12,4045.81,FeI,1.49,99.2
13,4063.59,FeI,1.56,89.8
14,4071.74,FeI,1.61,82.1
15,4114.45,FeI,2.83,3.8
16,4118.56,FeI,3.57,19.4
17,4132.06,FeI,1.61,59.4
18,4132.91,FeI,2.85,8.6
19,4134.69,FeI,2.83,13.8
20,4143.88,FeI,1.56,66.5
21,4147.68,FeI,1.49,8.3
22,4157.79,FeI,3.42,8.2
23,4174.92,FeI,0.92,3.9
24,4175.64,FeI,2.85,10.9
25,4181.75,FeI,2.83,23.9
26,4184.91,FeI,2.83,8.8
27,4187.05,FeI,2.45,29.8
28,4187.81,FeI,2.42,31.3
29,4191.44,FeI,2.47,23.4
30,4198.33,FeI,2.4,30.7
31,4199.1,FeI,3.05,34.0
32,4202.04,FeI,1.49,67.0
33,4216.19,FeI,0.0,11.5
34,4222.22,FeI,2.45,14.6
35,4227.44,FeI,3.33,32.3
36,4233.61,FeI,2.48,27.6
37,4235.95,FeI,2.42,41.1
38,4250.13,FeI,2.47,36.0
39,4250.8,FeI,1.56,60.7
40,4260.49,FeI,2.4,60.2
41,4271.16,FeI,2.45,38.7
42,4271.77,FeI,1.49,85.4
43,4282.41,FeI,2.18,28.0
44,4299.25,FeI,2.43,36.4
45,4325.77,FeI,1.61,87.8
46,4375.94,FeI,0.0,23.5
47,4383.56,FeI,1.49,105.2
48,4404.76,FeI,1.56,85.1
49,4415.13,FeI,1.61,64.6
50,4427.32,FeI,0.05,22.6
51,4430.62,FeI,2.22,5.4
52,4442.35,FeI,2.2,14.5
53,4447.73,FeI,2.22,12.1
54,4459.14,FeI,2.18,16.3
55,4461.66,FeI,0.09,14.1
56,4489.75,FeI,0.12,3.3
57,4494.57,FeI,2.2,16.9
58,4528.61,FeI,2.18,30.7
59,4531.16,FeI,1.49,9.2
60,4592.66,FeI,1.56,5.2
61,4602.95,FeI,1.49,8.2
62,4647.43,FeI,2.95,3.1
63,4871.33,FeI,2.87,20.0
64,4872.14,FeI,2.88,13.1
65,4890.76,FeI,2.88,19.9
66,4891.5,FeI,2.85,32.9
67,4903.32,FeI,2.88,7.9
68,4919.0,FeI,2.87,24.4
69,4920.51,FeI,2.83,42.4
70,4994.14,FeI,0.92,5.4
71,5001.87,FeI,3.88,6.7
72,5006.12,FeI,2.83,15.7
73,5014.94,FeI,3.94,5.2
74,5049.83,FeI,2.28,9.5
75,5051.64,FeI,0.92,8.7
76,5068.77,FeI,2.94,4.1
77,5083.35,FeI,0.96,5.8
78,5110.44,FeI,0.0,6.9
79,5123.73,FeI,1.01,4.0
80,5133.69,FeI,4.18,8.9
81,5150.85,FeI,0.99,2.2
82,5162.28,FeI,4.18,8.2
83,5171.61,FeI,1.49,20.2
84,5191.47,FeI,3.04,11.4
85,5192.35,FeI,3.0,16.0
86,5194.95,FeI,1.56,9.1
87,5216.28,FeI,1.61,7.3
88,5232.95,FeI,2.94,34.0
89,5266.56,FeI,3.0,17.9
90,5269.55,FeI,0.86,71.8
91,5281.8,FeI,3.04,5.7
92,5283.63,FeI,3.24,8.8
93,5302.31,FeI,3.28,4.8
94,5324.19,FeI,3.21,19.8
95,5328.05,FeI,0.92,61.4
96,5328.54,FeI,1.56,14.9
97,5339.94,FeI,3.27,5.7
98,5364.87,FeI,4.45,4.8
99,5367.47,FeI,4.41,6.0
100,5369.97,FeI,4.37,8.9
101,5371.5,FeI,0.96,49.7
102,5383.38,FeI,4.31,12.6
103,5393.18,FeI,3.24,5.8
104,5397.14,FeI,0.92,35.1
105,5405.78,FeI,0.99,37.9
106,5410.91,FeI,4.47,5.7
107,5415.2,FeI,4.39,11.6
108,5424.08,FeI,4.32,14.0
109,5429.71,FeI,0.96,39.9
110,5434.53,FeI,1.01,25.0
111,5446.92,FeI,0.99,36.1
112,5501.48,FeI,0.96,3.4
113,5506.79,FeI,0.99,6.7
114,5569.63,FeI,3.42,5.9
115,5572.85,FeI,3.4,10.7
116,5576.1,FeI,3.43,2.4
117,5586.77,FeI,3.37,15.6
118,5615.66,FeI,3.33,19.9
119,4178.86,FeII,2.58,12.1
120,4233.17,FeII,2.58,35.5
121,4416.82,FeII,2.78,6.2
122,4555.89,FeII,2.83,10.4
123,4576.34,FeII,2.84,2.1
124,4923.93,FeII,2.89,49.6
125,5018.45,FeII,2.89,60.3
126,5197.58,FeII,3.23,8.9
127,5234.63,FeII,3.22,10.1
128,5275.99,FeII,3.2,12.5
129,5276.0,FeII,3.2,12.5
