,obs_wavelength,element,obs_ew,obs_ep
0,4924.78,FeI,12.1,2.28
1,4939.69,FeI,19.0,0.86
2,4950.11,FeI,4.9,3.42
3,4973.1,FeI,9.9,3.96
4,5044.22,FeI,5.1,2.85
5,5067.15,FeI,5.2,4.22
6,5074.75,FeI,24.5,4.22
7,5090.78,FeI,10.3,4.26
8,5109.66,FeI,6.1,4.3
9,5126.2,FeI,4.4,4.26
10,5127.37,FeI,18.9,0.91
11,5131.48,FeI,8.4,2.22
12,5141.75,FeI,9.0,2.42
13,5159.06,FeI,5.7,4.28
14,5198.72,FeI,15.7,2.22
15,5225.53,FeI,4.5,0.11
16,5242.5,FeI,12.0,3.63
17,5243.78,FeI,3.4,4.26
18,5247.06,FeI,3.4,0.09
19,5250.22,FeI,3.4,0.12
20,5250.65,FeI,18.3,2.2
21,5253.47,FeI,5.7,3.28
22,5263.31,FeI,23.0,3.26
23,5281.8,FeI,33.8,3.04
24,5288.53,FeI,3.4,3.69
25,5307.37,FeI,9.6,1.61
26,5339.94,FeI,32.5,3.26
27,5364.88,FeI,26.7,4.44
28,5365.41,FeI,8.9,3.57
29,5367.48,FeI,32.4,4.41
30,5379.58,FeI,3.1,3.69
31,5389.49,FeI,9.0,4.41
32,5393.18,FeI,30.7,3.24
33,5398.29,FeI,5.6,4.44
34,5415.21,FeI,40.6,4.39
35,5432.96,FeI,6.2,4.44
36,5445.05,FeI,22.6,4.39
37,5473.91,FeI,7.4,4.15
38,5501.48,FeI,27.4,0.96
39,5543.94,FeI,3.2,4.22
40,5554.9,FeI,7.9,4.55
41,5569.63,FeI,32.6,3.42
42,5576.1,FeI,19.9,3.43
43,5624.56,FeI,23.3,3.42
44,5633.95,FeI,4.5,4.99
45,5638.27,FeI,6.2,4.22
46,5686.54,FeI,4.7,4.55
47,5701.56,FeI,7.4,2.56
48,5717.84,FeI,3.0,4.28
49,5859.6,FeI,5.4,4.55
50,6003.02,FeI,6.8,3.88
51,6024.07,FeI,17.7,4.55
52,6027.06,FeI,3.5,4.07
53,6157.73,FeI,3.5,4.07
54,6173.34,FeI,3.6,2.22
55,6200.32,FeI,4.2,2.61
56,6213.44,FeI,7.5,2.22
57,6219.29,FeI,10.1,2.2
58,6246.33,FeI,17.5,3.6
59,6252.56,FeI,28.6,2.4
60,6265.14,FeI,8.7,2.18
61,6335.34,FeI,14.4,2.2
62,6336.83,FeI,13.1,3.69
63,6355.04,FeI,3.7,2.84
64,6358.69,FeI,3.4,0.86
65,6393.61,FeI,33.5,2.43
66,6411.66,FeI,22.3,3.65
67,6421.36,FeI,19.9,2.28
68,6430.86,FeI,24.4,2.18
69,5197.58,FeII,28.7,3.23
70,5234.63,FeII,31.7,3.22
71,5264.81,FeII,6.3,3.23
72,5284.11,FeII,10.1,2.89
73,5325.56,FeII,4.9,3.22
74,5425.26,FeII,4.4,3.2
75,5534.85,FeII,11.4,3.24
76,6149.25,FeII,4.3,3.89
77,6238.39,FeII,5.3,3.89
78,6247.56,FeII,8.7,3.89
79,6416.93,FeII,3.2,3.89
80,6432.68,FeII,3.8,2.89
