,obs_wavelength,element,obs_ew,obs_ep
0,4788.77,FeI,17.8,3.24
1,4800.65,FeI,12.0,4.14
2,4924.78,FeI,39.2,2.28
3,4939.69,FeI,50.7,0.86
4,4950.11,FeI,19.1,3.42
5,4962.58,FeI,9.3,4.18
6,4973.1,FeI,31.0,3.96
7,5044.22,FeI,19.5,2.85
8,5054.68,FeI,4.0,3.64
9,5067.15,FeI,18.0,4.22
10,5074.75,FeI,52.5,4.22
11,5090.78,FeI,30.8,4.26
12,5109.66,FeI,19.7,4.3
13,5126.2,FeI,15.6,4.26
14,5127.37,FeI,50.9,0.91
15,5131.48,FeI,28.6,2.22
16,5141.75,FeI,31.2,2.42
17,5145.1,FeI,8.5,2.2
18,5159.06,FeI,17.8,4.28
19,5187.92,FeI,9.2,4.14
20,5198.72,FeI,45.3,2.22
21,5225.53,FeI,21.4,0.11
22,5228.38,FeI,12.2,4.22
23,5242.5,FeI,35.2,3.63
24,5243.78,FeI,12.8,4.26
25,5247.06,FeI,16.1,0.09
26,5250.22,FeI,16.6,0.12
27,5250.65,FeI,49.4,2.2
28,5253.47,FeI,21.5,3.28
29,5263.31,FeI,54.3,3.26
30,5281.8,FeI,72.4,3.04
31,5288.53,FeI,10.8,3.69
32,5307.37,FeI,34.0,1.61
33,5321.11,FeI,5.1,4.43
34,5322.05,FeI,12.2,2.28
35,5339.94,FeI,71.8,3.26
36,5364.88,FeI,55.2,4.44
37,5365.41,FeI,26.3,3.57
38,5367.48,FeI,65.5,4.41
39,5373.71,FeI,13.3,4.47
40,5379.58,FeI,12.4,3.69
41,5389.49,FeI,28.0,4.41
42,5393.18,FeI,69.3,3.24
43,5398.29,FeI,19.5,4.44
44,5409.14,FeI,9.0,4.37
45,5432.96,FeI,18.4,4.44
46,5445.05,FeI,49.5,4.39
47,5473.91,FeI,24.1,4.15
48,5543.94,FeI,12.7,4.22
49,5554.9,FeI,25.5,4.55
50,5560.22,FeI,8.3,4.43
51,5567.4,FeI,10.1,2.61
52,5576.1,FeI,50.2,3.43
53,5618.64,FeI,7.7,4.21
54,5624.56,FeI,55.8,3.42
55,5633.95,FeI,14.3,4.99
56,5638.27,FeI,21.7,4.22
57,5679.03,FeI,10.5,4.65
58,5686.54,FeI,17.9,4.55
59,5701.56,FeI,27.9,2.56
60,5717.84,FeI,12.2,4.28
61,5731.77,FeI,9.6,4.26
62,5852.23,FeI,4.9,4.55
63,5856.1,FeI,4.0,4.29
64,5859.6,FeI,17.2,4.55
65,6003.02,FeI,22.4,3.88
66,6024.07,FeI,43.5,4.55
67,6027.06,FeI,15.0,4.07
68,6079.02,FeI,7.3,4.65
69,6082.72,FeI,3.2,2.22
70,6151.62,FeI,8.1,2.18
71,6157.73,FeI,13.8,4.07
72,6165.36,FeI,6.5,4.14
73,6173.34,FeI,14.8,2.22
74,6180.21,FeI,8.8,2.73
75,6200.32,FeI,18.1,2.61
76,6213.44,FeI,29.0,2.22
77,6219.29,FeI,35.2,2.2
78,6246.33,FeI,47.9,3.6
79,6252.56,FeI,61.6,2.4
80,6265.14,FeI,31.9,2.18
81,6335.34,FeI,45.7,2.2
82,6336.83,FeI,39.1,3.69
83,6355.04,FeI,13.4,2.84
84,6358.69,FeI,15.0,0.86
85,6393.61,FeI,70.8,2.43
86,6411.66,FeI,54.7,3.65
87,6421.36,FeI,53.1,2.28
88,6430.86,FeI,59.7,2.18
89,4993.35,FeII,9.6,2.81
90,5132.67,FeII,3.4,2.81
91,5197.58,FeII,46.7,3.23
92,5234.63,FeII,49.5,3.22
93,5264.81,FeII,14.5,3.23
94,5284.11,FeII,22.3,2.89
95,5325.56,FeII,11.3,3.22
96,5414.08,FeII,4.8,3.22
97,5425.26,FeII,11.0,3.2
98,5534.85,FeII,24.8,3.24
99,6084.1,FeII,3.7,3.2
100,6149.25,FeII,9.2,3.89
101,6238.39,FeII,11.2,3.89
102,6247.56,FeII,18.9,3.89
103,6416.93,FeII,9.0,3.89
104,6432.68,FeII,10.1,2.89
