,obs_wavelength,element,obs_ew,obs_ep
0,4788.77,FeI,10.9,3.24
1,4800.65,FeI,6.8,4.14
2,4924.78,FeI,29.6,2.28
3,4939.69,FeI,44.8,0.86
4,4950.11,FeI,12.5,3.42
5,4962.58,FeI,4.8,4.18
6,4973.1,FeI,19.4,3.96
7,5044.22,FeI,13.1,2.85
8,5067.15,FeI,10.2,4.22
9,5074.75,FeI,39.3,4.22
10,5090.78,FeI,20.9,4.26
11,5109.66,FeI,11.4,4.3
12,5126.2,FeI,9.0,4.26
13,5127.37,FeI,43.8,0.91
14,5131.48,FeI,19.5,2.22
15,5141.75,FeI,22.2,2.42
16,5145.1,FeI,5.7,2.2
17,5159.06,FeI,10.0,4.28
18,5198.72,FeI,35.2,2.22
19,5225.53,FeI,18.6,0.11
20,5228.38,FeI,6.6,4.22
21,5242.5,FeI,23.5,3.63
22,5243.78,FeI,7.0,4.26
23,5247.06,FeI,13.6,0.09
24,5250.22,FeI,11.9,0.12
25,5250.65,FeI,39.1,2.2
26,5253.47,FeI,12.9,3.28
27,5263.31,FeI,42.0,3.26
28,5281.8,FeI,56.8,3.04
29,5288.53,FeI,6.6,3.69
30,5307.37,FeI,25.0,1.61
31,5322.05,FeI,8.0,2.28
32,5339.94,FeI,54.4,3.26
33,5364.88,FeI,40.3,4.44
34,5365.41,FeI,17.4,3.57
35,5367.48,FeI,47.4,4.41
36,5373.71,FeI,7.3,4.47
37,5379.58,FeI,7.3,3.69
38,5389.49,FeI,16.9,4.41
39,5393.18,FeI,51.2,3.24
40,5398.29,FeI,11.1,4.44
41,5409.14,FeI,6.0,4.37
42,5415.21,FeI,56.4,4.39
43,5432.96,FeI,11.6,4.44
44,5445.05,FeI,35.8,4.39
45,5473.91,FeI,14.6,4.15
46,5501.48,FeI,57.4,0.96
47,5543.94,FeI,7.4,4.22
48,5554.9,FeI,14.7,4.55
49,5560.22,FeI,4.3,4.43
50,5567.4,FeI,6.7,2.61
51,5569.63,FeI,54.8,3.42
52,5576.1,FeI,36.8,3.43
53,5618.64,FeI,4.2,4.21
54,5624.56,FeI,42.1,3.42
55,5633.95,FeI,7.6,4.99
56,5638.27,FeI,12.6,4.22
57,5679.03,FeI,5.9,4.65
58,5686.54,FeI,10.3,4.55
59,5701.56,FeI,19.3,2.56
60,5717.84,FeI,6.6,4.28
61,5731.77,FeI,5.5,4.26
62,5859.6,FeI,10.5,4.55
63,6003.02,FeI,13.0,3.88
64,6024.07,FeI,29.3,4.55
65,6027.06,FeI,8.7,4.07
66,6151.62,FeI,4.7,2.18
67,6157.73,FeI,7.2,4.07
68,6173.34,FeI,10.9,2.22
69,6180.21,FeI,5.2,2.73
70,6200.32,FeI,10.8,2.61
71,6213.44,FeI,19.4,2.22
72,6219.29,FeI,25.0,2.2
73,6246.33,FeI,33.0,3.6
74,6252.56,FeI,51.5,2.4
75,6265.14,FeI,23.8,2.18
76,6335.34,FeI,33.9,2.2
77,6336.83,FeI,27.0,3.69
78,6355.04,FeI,8.3,2.84
79,6358.69,FeI,10.8,0.86
80,6393.61,FeI,58.5,2.43
81,6411.66,FeI,40.8,3.65
82,6421.36,FeI,43.0,2.28
83,6430.86,FeI,49.4,2.18
84,4993.35,FeII,7.4,2.81
85,5197.58,FeII,40.9,3.23
86,5234.63,FeII,44.7,3.22
87,5264.81,FeII,10.5,3.23
88,5284.11,FeII,17.9,2.89
89,5325.56,FeII,8.8,3.22
90,5414.08,FeII,3.6,3.22
91,5425.26,FeII,8.6,3.2
92,5534.85,FeII,19.0,3.24
93,6084.1,FeII,2.5,3.2
94,6149.25,FeII,5.6,3.89
95,6238.39,FeII,7.9,3.89
96,6247.56,FeII,14.2,3.89
97,6416.93,FeII,6.5,3.89
98,6432.68,FeII,7.6,2.89
