,obs_wavelength,obs_ep,obs_ew,element
0,3950.0,2.18,21.7,FeI
1,4007.3,2.76,7.7,FeI
2,4009.7,2.22,22.3,FeI
3,4021.9,2.76,23.5,FeI
4,4044.6,2.83,9.2,FeI
5,4062.4,2.84,15.9,FeI
6,4147.7,1.48,17.4,FeI
7,4158.8,3.43,8.6,FeI
8,4184.9,2.83,16.1,FeI
9,4196.2,3.4,8.6,FeI
10,4216.2,0.0,21.6,FeI
11,4219.4,3.57,25.6,FeI
12,4222.2,2.45,26.1,FeI
13,4238.8,3.4,21.4,FeI
14,4250.1,2.47,49.7,FeI
15,4282.4,2.18,42.7,FeI
16,4375.9,0.0,37.2,FeI
17,4408.4,2.2,10.7,FeI
18,4422.6,2.84,11.4,FeI
19,4454.4,2.83,7.3,FeI
20,4466.6,2.83,26.4,FeI
21,4484.2,3.6,6.1,FeI
22,4494.6,2.2,28.6,FeI
23,4531.2,1.48,17.1,FeI
24,4736.8,3.21,13.1,FeI
25,4919.0,2.87,37.4,FeI
26,4938.8,2.88,10.2,FeI
27,4966.1,3.33,8.8,FeI
28,5006.1,2.83,26.0,FeI
29,5014.9,3.94,9.6,FeI
30,5049.8,2.28,18.0,FeI
31,5068.8,2.94,10.6,FeI
32,5133.7,4.18,18.4,FeI
33,5171.6,1.48,33.5,FeI
34,5192.3,3.0,26.5,FeI
35,5194.9,1.56,18.4,FeI
36,5216.3,1.61,13.7,FeI
37,5263.3,3.27,7.4,FeI
38,5281.8,3.04,12.7,FeI
39,5324.2,3.21,32.4,FeI
40,5339.9,3.27,11.7,FeI
41,5341.0,1.61,21.5,FeI
42,5364.9,4.45,10.4,FeI
43,5367.5,4.42,13.3,FeI
44,5370.0,4.37,17.8,FeI
45,5371.5,0.96,67.1,FeI
46,5397.1,0.91,50.2,FeI
47,5410.9,4.47,11.7,FeI
48,5415.2,4.39,20.1,FeI
49,5429.7,0.96,56.2,FeI
50,5506.8,0.99,14.3,FeI
51,5569.6,3.42,12.5,FeI
52,5572.8,3.4,20.9,FeI
53,5586.8,3.37,26.5,FeI
54,5615.6,3.33,33.8,FeI
55,6191.6,2.43,13.3,FeI
56,6230.7,2.56,17.0,FeI
57,6400.0,3.6,15.1,FeI
58,4178.9,2.58,21.0,FeII
59,4303.2,2.71,17.7,FeII
60,4385.4,2.78,15.9,FeII
61,4416.8,2.78,13.5,FeII
62,4491.4,2.86,9.5,FeII
63,4508.3,2.86,19.2,FeII
64,4515.3,2.85,14.9,FeII
65,4520.2,2.81,14.0,FeII
66,4576.3,2.85,7.0,FeII
67,4583.8,2.81,43.9,FeII
68,5197.6,3.23,13.4,FeII
69,5234.6,3.22,16.8,FeII
70,5276.0,3.2,20.3,FeII
71,5316.6,3.16,34.3,FeII
72,5362.9,3.2,8.6,FeII
