,obs_wavelength,obs_ep,obs_ew,element
0,3445.2,2.2,7.9,FeI
1,3476.7,0.12,36.2,FeI
2,3865.5,1.01,34.1,FeI
3,4202.0,1.48,28.2,FeI
4,4235.9,2.43,12.7,FeI
5,4250.1,2.47,9.8,FeI
6,4260.5,2.4,24.9,FeI
7,4282.4,2.18,7.1,FeI
8,4404.8,1.56,52.6,FeI
9,4528.6,2.18,7.2,FeI
10,4920.5,2.83,13.8,FeI
11,5232.9,2.94,7.5,FeI
12,5446.9,0.99,10.5,FeI
13,4583.8,2.81,7.1,FeII
14,5018.4,2.89,18.6,FeII
15,5169.0,2.89,24.6,FeII
