,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4173.92,FeI,0.99,-3.29,76.2,5.09
1,4187.04,FeI,2.45,-0.56,114.7,5.04
2,4195.33,FeI,3.33,-0.49,52.8,4.77
3,4199.1,FeI,3.05,0.16,101.9,4.81
4,4222.21,FeI,2.45,-0.97,98.2,5.07
5,4227.43,FeI,3.33,0.27,103.2,5.08
6,4233.6,FeI,2.48,-0.6,108.3,4.96
7,4250.12,FeI,2.47,-0.41,122.2,5.05
8,4282.4,FeI,2.17,-0.78,127.7,5.22
9,4442.34,FeI,2.2,-1.23,106.6,5.1
10,4443.19,FeI,2.86,-1.04,68.5,5.0
11,4447.72,FeI,2.22,-1.34,108.1,5.26
12,4494.56,FeI,2.2,-1.14,119.1,5.23
13,4531.15,FeI,1.48,-2.1,116.3,5.25
14,4602.0,FeI,1.61,-3.13,56.6,5.29
15,4607.65,FeI,3.26,-1.33,33.2,5.14
16,4625.05,FeI,3.24,-1.27,31.1,5.01
17,4637.5,FeI,3.28,-1.29,20.7,4.84
18,4647.43,FeI,2.95,-1.35,49.7,5.07
19,4678.85,FeI,3.6,-0.68,32.7,4.89
20,4709.09,FeI,3.65,-1.32,12.9,5.07
21,4733.59,FeI,1.48,-2.99,72.8,5.24
22,4736.77,FeI,3.21,-0.67,67.1,4.99
23,4786.81,FeI,3.02,-1.61,27.0,4.99
24,4789.65,FeI,3.55,-0.96,29.9,5.04
25,4872.14,FeI,2.88,-0.57,87.3,4.82
26,4890.76,FeI,2.88,-0.38,112.1,5.12
27,4903.31,FeI,2.88,-0.89,78.6,4.98
28,4918.99,FeI,2.86,-0.34,108.5,4.98
29,4920.5,FeI,2.83,0.07,144.1,5.2
30,4924.77,FeI,2.28,-2.11,55.8,5.06
31,4938.81,FeI,2.88,-1.08,67.0,4.96
32,4939.69,FeI,0.86,-3.25,103.3,5.2
33,4946.39,FeI,3.37,-1.11,28.0,4.92
34,5002.79,FeI,3.4,-1.46,13.0,4.9
35,5014.94,FeI,3.94,-0.18,38.7,4.89
36,5022.24,FeI,3.98,-0.33,28.3,4.89
37,5039.25,FeI,3.37,-1.52,16.1,5.03
38,5049.82,FeI,2.28,-1.35,102.1,5.1
39,5068.77,FeI,2.94,-1.04,62.3,4.91
40,5074.75,FeI,4.22,-0.2,25.7,4.99
41,5123.72,FeI,1.01,-3.06,109.8,5.29
42,5127.36,FeI,0.91,-3.25,108.5,5.32
43,5131.47,FeI,2.22,-2.52,42.3,5.17
44,5162.27,FeI,4.18,0.02,44.0,5.07
45,5191.45,FeI,3.04,-0.55,88.9,4.99
46,5198.71,FeI,2.22,-2.09,74.3,5.23
47,5202.34,FeI,2.17,-1.87,89.5,5.21
48,5215.18,FeI,3.26,-0.86,62.7,5.12
49,5217.39,FeI,3.21,-1.07,38.8,4.88
50,5263.31,FeI,3.26,-0.87,50.5,4.93
51,5281.79,FeI,3.04,-0.83,76.4,5.03
52,5283.62,FeI,3.24,-0.45,73.6,4.85
53,5322.04,FeI,2.28,-2.8,18.3,5.01
54,5332.9,FeI,1.56,-2.78,80.2,5.17
55,5339.93,FeI,3.26,-0.63,61.0,4.85
56,5353.37,FeI,4.1,-0.76,12.9,5.03
