,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,3917.18,FeI,0.99,-2.15,100.7,4.85
1,4143.87,FeI,1.56,-0.51,143.4,4.73
2,4153.9,FeI,3.4,-0.28,41.1,4.67
3,4156.8,FeI,2.83,-0.81,38.6,4.51
4,4187.8,FeI,2.42,-0.55,104.0,4.88
5,4202.03,FeI,1.48,-0.69,132.4,4.58
6,4216.18,FeI,0.0,-3.36,102.2,4.85
7,4222.21,FeI,2.45,-0.97,67.5,4.68
8,4227.43,FeI,3.33,0.27,87.9,4.81
9,4427.31,FeI,0.05,-2.92,115.4,4.7
10,4442.34,FeI,2.2,-1.23,74.9,4.74
11,4447.72,FeI,2.22,-1.34,82.4,4.99
12,4459.12,FeI,2.17,-1.33,83.2,4.93
13,4461.65,FeI,0.09,-3.19,99.9,4.67
14,4489.74,FeI,0.12,-3.9,74.1,4.96
15,4494.56,FeI,2.2,-1.14,97.8,5.03
16,4531.15,FeI,1.48,-2.1,84.8,4.92
17,4602.94,FeI,1.48,-2.21,52.5,4.53
18,4678.85,FeI,3.6,-0.68,27.2,5.01
19,4736.77,FeI,3.21,-0.67,34.8,4.7
20,4871.32,FeI,2.87,-0.34,78.3,4.63
21,4891.49,FeI,2.85,-0.11,88.3,4.54
22,4918.99,FeI,2.86,-0.34,105.2,5.07
23,4924.77,FeI,2.28,-2.11,16.1,4.63
24,4939.69,FeI,0.86,-3.25,43.5,4.68
25,4994.13,FeI,0.91,-2.97,69.8,4.83
26,5006.12,FeI,2.83,-0.61,60.0,4.57
27,5012.07,FeI,0.86,-2.6,98.4,4.87
28,5041.07,FeI,0.96,-3.09,53.5,4.77
29,5041.76,FeI,1.48,-2.2,82.3,4.92
30,5049.82,FeI,2.28,-1.35,70.0,4.82
31,5051.64,FeI,0.91,-2.76,88.2,4.91
32,5079.74,FeI,0.99,-3.25,35.6,4.69
33,5083.34,FeI,0.96,-2.84,53.7,4.52
34,5110.41,FeI,0.0,-3.76,97.0,4.97
35,5123.72,FeI,1.01,-3.06,56.3,4.84
36,5127.36,FeI,0.91,-3.25,49.8,4.81
37,5142.93,FeI,0.96,-3.07,58.4,4.82
38,5150.84,FeI,0.99,-3.04,42.5,4.59
39,5151.91,FeI,1.01,-3.32,50.3,5.01
40,5166.28,FeI,0.0,-4.12,50.7,4.62
41,5171.6,FeI,1.48,-1.72,96.2,4.66
42,5194.94,FeI,1.56,-2.02,79.3,4.78
43,5225.53,FeI,0.11,-4.75,30.7,5.05
44,5229.85,FeI,3.28,-0.97,24.5,4.84
45,5232.94,FeI,2.94,-0.06,86.3,4.53
46,5247.05,FeI,0.09,-4.97,26.4,5.16
47,5254.96,FeI,0.11,-4.76,28.2,5.01
48,5281.79,FeI,3.04,-0.83,27.1,4.48
49,5283.62,FeI,3.24,-0.45,33.4,4.45
50,5328.53,FeI,1.56,-1.85,78.9,4.59
51,5339.93,FeI,3.26,-0.63,38.4,4.74
52,5341.02,FeI,1.61,-1.95,99.2,5.08
53,5367.47,FeI,4.42,0.44,21.3,4.65
54,5369.96,FeI,4.37,0.54,22.1,4.51
55,5397.13,FeI,0.91,-1.98,123.8,4.74
56,5405.78,FeI,0.99,-1.85,123.1,4.69
57,5424.07,FeI,4.32,0.52,29.1,4.63
58,5429.7,FeI,0.96,-1.88,136.4,4.94
59,5434.52,FeI,1.01,-2.13,114.7,4.82
60,5501.47,FeI,0.96,-3.05,53.2,4.69
61,5506.78,FeI,0.99,-2.79,60.1,4.57
62,6213.43,FeI,2.22,-2.48,24.1,5.07
63,6230.72,FeI,2.56,-1.28,43.1,4.61
64,6246.32,FeI,3.6,-0.77,24.1,4.96
65,6252.56,FeI,2.4,-1.69,47.7,4.9
66,6400.0,FeI,3.6,-0.27,45.2,4.83
67,6421.35,FeI,2.28,-2.01,34.4,4.86
68,6494.98,FeI,2.4,-1.27,71.6,4.81
69,4416.83,FeII,2.78,-2.41,37.3,4.65
70,4508.29,FeII,2.86,-2.25,30.1,4.44
71,4520.22,FeII,2.81,-2.6,47.2,5.03
72,4555.89,FeII,2.83,-2.25,58.5,4.87
73,4576.34,FeII,2.84,-2.92,23.8,4.96
74,4583.84,FeII,2.81,-1.74,89.7,4.83
75,5018.44,FeII,2.89,-1.34,97.1,4.6
76,5197.58,FeII,3.23,-2.05,24.9,4.52
77,5234.63,FeII,3.22,-2.18,22.6,4.58
78,5276.0,FeII,3.2,-1.9,46.1,4.71
79,5284.11,FeII,2.89,-3.19,15.5,5.02
80,5316.62,FeII,3.15,-1.78,65.9,4.83
81,5362.87,FeII,3.2,-2.62,23.8,5.02
