,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4250.12,FeI,2.47,-0.41,119.5,5.19
1,4250.79,FeI,1.56,-0.71,177.7,5.41
2,4404.75,FeI,1.56,-0.15,217.5,5.17
3,4415.12,FeI,1.61,-0.62,180.9,5.36
4,4430.61,FeI,2.22,-1.73,84.9,5.38
5,4484.22,FeI,3.6,-0.64,39.5,5.11
6,4489.74,FeI,0.12,-3.9,107.0,5.42
7,4602.94,FeI,1.48,-2.21,122.7,5.74
8,4619.29,FeI,3.6,-1.06,33.2,5.4
9,4647.43,FeI,2.95,-1.35,72.9,5.61
10,4668.13,FeI,3.26,-1.08,44.7,5.22
11,4678.85,FeI,3.6,-0.68,36.7,5.08
12,4733.59,FeI,1.48,-2.99,82.4,5.63
13,4736.77,FeI,3.21,-0.67,89.3,5.55
14,4772.8,FeI,1.56,-2.9,72.6,5.46
15,4871.32,FeI,2.87,-0.34,109.9,5.22
16,4872.14,FeI,2.88,-0.57,112.7,5.52
17,4891.49,FeI,2.85,-0.11,128.8,5.34
18,4924.77,FeI,2.28,-2.11,70.7,5.49
19,4938.81,FeI,2.88,-1.08,78.0,5.31
20,4939.69,FeI,0.86,-3.25,115.0,5.75
21,4946.39,FeI,3.37,-1.11,60.4,5.62
22,4966.09,FeI,3.33,-0.79,79.2,5.58
23,4994.13,FeI,0.91,-2.97,119.4,5.61
24,5001.86,FeI,3.88,-0.01,59.4,5.11
25,5002.79,FeI,3.4,-1.46,21.1,5.28
26,5006.12,FeI,2.83,-0.61,100.4,5.22
27,5012.07,FeI,0.86,-2.6,146.3,5.7
28,5014.94,FeI,3.94,-0.18,49.5,5.18
29,5022.24,FeI,3.98,-0.33,40.9,5.23
30,5060.08,FeI,0.0,-5.43,44.3,5.58
31,5083.34,FeI,0.96,-2.84,125.1,5.63
32,5127.36,FeI,0.91,-3.25,97.5,5.41
33,5141.74,FeI,2.42,-2.24,52.6,5.47
34,5166.28,FeI,0.0,-4.12,130.7,5.78
35,5171.6,FeI,1.48,-1.72,145.2,5.53
36,5192.34,FeI,3.0,-0.42,103.4,5.26
37,5194.94,FeI,1.56,-2.02,122.3,5.48
38,5198.71,FeI,2.22,-2.09,79.6,5.52
39,5216.27,FeI,1.61,-2.08,115.9,5.47
40,5217.39,FeI,3.21,-1.07,57.6,5.33
41,5225.53,FeI,0.11,-4.75,75.5,5.5
42,5232.94,FeI,2.94,-0.06,127.5,5.3
43,5242.49,FeI,3.63,-0.97,39.1,5.42
44,5247.05,FeI,0.09,-4.97,63.2,5.5
45,5250.21,FeI,0.12,-4.9,73.1,5.62
46,5263.31,FeI,3.26,-0.87,70.4,5.39
47,5266.56,FeI,3.0,-0.39,99.3,5.14
48,5281.79,FeI,3.04,-0.83,93.5,5.51
49,5283.62,FeI,3.24,-0.45,103.4,5.57
50,5307.36,FeI,1.61,-2.91,73.6,5.48
51,5332.9,FeI,1.56,-2.78,81.1,5.41
52,5339.93,FeI,3.26,-0.63,83.9,5.39
53,5341.02,FeI,1.61,-1.95,130.6,5.6
54,5367.47,FeI,4.42,0.44,59.1,5.27
55,5369.96,FeI,4.37,0.54,64.3,5.2
56,5397.13,FeI,0.91,-1.98,167.4,5.39
57,5410.91,FeI,4.47,0.4,42.5,5.08
58,5415.2,FeI,4.39,0.64,70.6,5.22
59,5429.7,FeI,0.96,-1.88,170.6,5.39
60,5434.52,FeI,1.01,-2.13,156.6,5.48
61,5501.47,FeI,0.96,-3.05,118.7,5.62
62,5506.78,FeI,0.99,-2.79,136.7,5.74
63,5572.84,FeI,3.39,-0.28,93.5,5.35
64,5576.09,FeI,3.43,-1.0,55.9,5.47
65,5586.76,FeI,3.37,-0.11,104.1,5.36
66,5624.54,FeI,3.41,-0.76,64.2,5.33
67,5934.65,FeI,3.93,-1.12,27.3,5.66
68,6003.01,FeI,3.88,-1.1,21.2,5.43
69,6024.06,FeI,4.55,-0.12,31.3,5.47
70,6065.48,FeI,2.61,-1.53,85.2,5.45
71,6137.69,FeI,2.59,-1.4,107.6,5.7
72,6219.28,FeI,2.2,-2.45,60.0,5.45
73,6230.72,FeI,2.56,-1.28,99.8,5.39
74,6232.64,FeI,3.65,-1.24,27.2,5.43
75,6252.56,FeI,2.4,-1.69,98.6,5.58
76,6297.79,FeI,2.22,-2.64,52.6,5.55
77,6335.33,FeI,2.2,-2.18,66.4,5.27
78,6393.6,FeI,2.43,-1.58,98.9,5.49
79,6411.65,FeI,3.65,-0.59,77.2,5.62
80,6421.35,FeI,2.28,-2.01,79.1,5.39
81,6430.85,FeI,2.17,-1.95,82.9,5.26
82,6546.24,FeI,2.76,-1.54,65.9,5.3
83,6592.91,FeI,2.73,-1.47,82.9,5.46
84,6750.15,FeI,2.42,-2.62,42.3,5.58
85,4489.18,FeII,2.83,-2.97,43.0,5.33
86,4491.41,FeII,2.85,-2.64,57.6,5.28
87,4508.29,FeII,2.86,-2.25,84.4,5.41
88,4520.22,FeII,2.81,-2.6,60.4,5.24
89,4522.63,FeII,2.84,-1.99,92.2,5.29
90,4541.52,FeII,2.86,-2.79,46.5,5.24
91,4576.34,FeII,2.84,-2.92,56.1,5.52
92,4582.84,FeII,2.84,-3.06,52.2,5.58
93,4583.84,FeII,2.81,-1.74,108.6,5.36
94,4620.52,FeII,2.83,-3.19,42.8,5.54
95,4923.93,FeII,2.89,-1.21,139.1,5.49
96,5018.44,FeII,2.89,-1.34,133.5,5.49
97,5197.58,FeII,3.23,-2.05,68.4,5.28
98,5234.63,FeII,3.22,-2.18,64.1,5.32
99,5276.0,FeII,3.2,-1.9,86.0,5.41
100,5284.11,FeII,2.89,-3.19,39.3,5.51
101,5325.55,FeII,3.22,-3.16,16.6,5.35
102,5362.87,FeII,3.2,-2.62,62.6,5.7
103,5425.26,FeII,3.2,-3.39,15.8,5.53
104,5534.85,FeII,3.25,-2.87,39.7,5.61
105,6432.68,FeII,2.89,-3.71,22.6,5.64
