,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4066.59,FeI,2.99,-1.62,72.55,5.91
1,4084.49,FeI,3.33,-0.54,92.61,5.68
2,4153.9,FeI,3.4,-0.28,97.33,5.56
3,4595.36,FeI,3.3,-1.76,37.03,5.63
4,4647.43,FeI,2.95,-1.35,93.53,5.96
5,4661.97,FeI,2.99,-2.5,13.69,5.4
6,4678.85,FeI,3.6,-0.68,54.65,5.24
7,4875.88,FeI,3.33,-1.9,26.81,5.58
8,4882.14,FeI,3.41,-1.48,41.27,5.54
9,4924.77,FeI,2.28,-2.11,84.28,5.57
10,4938.81,FeI,2.88,-1.08,84.36,5.28
11,4966.09,FeI,3.33,-0.79,79.72,5.46
12,5001.86,FeI,3.88,-0.01,89.89,5.57
13,5002.79,FeI,3.4,-1.46,60.83,5.84
14,5005.71,FeI,3.88,-0.12,72.39,5.37
15,5014.94,FeI,3.94,-0.18,82.55,5.67
16,5044.21,FeI,2.85,-2.02,48.39,5.49
17,5133.69,FeI,4.17,0.36,91.75,5.57
18,5141.74,FeI,2.42,-2.24,84.74,5.86
19,5162.27,FeI,4.18,0.02,60.17,5.31
20,5215.18,FeI,3.26,-0.86,89.52,5.6
21,5217.39,FeI,3.21,-1.07,91.92,5.79
22,5229.85,FeI,3.28,-0.97,79.73,5.53
23,5253.46,FeI,3.28,-1.58,43.51,5.49
24,5302.3,FeI,3.28,-0.73,89.25,5.48
25,5322.04,FeI,2.28,-2.8,43.99,5.45
26,5367.47,FeI,4.42,0.44,80.53,5.54
27,5383.37,FeI,4.31,0.65,99.21,5.56
28,5410.91,FeI,4.47,0.4,69.17,5.43
29,5415.2,FeI,4.39,0.64,81.49,5.33
30,5424.07,FeI,4.32,0.52,89.23,5.51
31,5569.62,FeI,3.41,-0.52,96.83,5.54
32,5576.09,FeI,3.43,-1.0,54.85,5.27
33,5701.54,FeI,2.56,-2.22,67.12,5.61
34,5731.76,FeI,4.26,-1.3,14.55,5.74
35,6187.99,FeI,3.94,-1.67,18.06,5.81
36,6200.31,FeI,2.61,-2.44,67.25,5.85
37,6240.65,FeI,2.22,-3.17,44.38,5.7
38,6322.69,FeI,2.59,-2.43,71.5,5.89
39,6336.82,FeI,3.68,-0.85,49.31,5.3
40,6355.03,FeI,2.84,-2.29,48.69,5.67
41,6411.65,FeI,3.65,-0.59,78.23,5.5
42,6475.62,FeI,2.56,-2.94,34.71,5.71
43,6518.37,FeI,2.83,-2.46,30.84,5.5
44,6609.11,FeI,2.56,-2.69,41.72,5.58
45,6750.15,FeI,2.42,-2.62,66.56,5.74
46,4416.83,FeII,2.78,-2.41,46.87,5.11
47,4489.18,FeII,2.83,-2.97,35.85,5.5
48,4491.41,FeII,2.85,-2.64,64.49,5.79
49,4515.34,FeII,2.84,-2.36,38.63,4.96
50,4541.52,FeII,2.86,-2.79,51.52,5.68
51,4620.52,FeII,2.83,-3.19,28.38,5.55
52,5197.58,FeII,3.23,-2.05,64.99,5.59
53,5234.63,FeII,3.22,-2.18,55.46,5.55
54,5276.0,FeII,3.2,-1.9,70.6,5.52
55,5284.11,FeII,2.89,-3.19,48.43,6.03
56,5362.87,FeII,3.2,-2.62,56.41,5.98
