,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4484.22,FeI,3.6,-0.64,44.0,5.06
1,4489.74,FeI,0.12,-3.9,135.9,5.73
2,4494.56,FeI,2.2,-1.14,122.8,5.25
3,4592.65,FeI,1.56,-2.46,104.6,5.42
4,4602.0,FeI,1.61,-3.13,54.6,5.27
5,4619.29,FeI,3.6,-1.06,29.0,5.2
6,4637.5,FeI,3.28,-1.29,28.7,5.03
7,4668.13,FeI,3.26,-1.08,48.7,5.15
8,4678.85,FeI,3.6,-0.68,47.6,5.14
9,4733.59,FeI,1.48,-2.99,82.5,5.4
10,4871.32,FeI,2.87,-0.34,117.1,5.1
11,4872.14,FeI,2.88,-0.57,109.3,5.19
12,4882.14,FeI,3.41,-1.48,23.8,5.26
13,4885.43,FeI,3.88,-0.97,18.4,5.18
14,4903.31,FeI,2.88,-0.89,87.6,5.1
15,4918.99,FeI,2.86,-0.34,122.6,5.18
16,4924.77,FeI,2.28,-2.11,64.3,5.2
17,4939.69,FeI,0.86,-3.25,130.0,5.75
18,4966.09,FeI,3.33,-0.79,65.4,5.18
19,4994.13,FeI,0.91,-2.97,121.0,5.34
20,5001.86,FeI,3.88,-0.01,63.4,5.04
21,5002.79,FeI,3.4,-1.46,17.4,5.05
22,5006.12,FeI,2.83,-0.61,106.4,5.09
23,5014.94,FeI,3.94,-0.18,47.9,5.03
24,5022.24,FeI,3.98,-0.33,37.1,5.05
25,5044.21,FeI,2.85,-2.02,30.8,5.25
26,5051.64,FeI,0.91,-2.76,150.0,5.68
27,5074.75,FeI,4.22,-0.2,35.2,5.17
28,5083.34,FeI,0.96,-2.84,131.1,5.45
29,5127.36,FeI,0.91,-3.25,127.2,5.7
30,5131.47,FeI,2.22,-2.52,56.1,5.38
31,5133.69,FeI,4.17,0.36,69.5,5.1
32,5150.84,FeI,0.99,-3.04,119.2,5.43
33,5151.91,FeI,1.01,-3.32,114.2,5.64
34,5162.27,FeI,4.18,0.02,60.9,5.32
35,5194.94,FeI,1.56,-2.02,131.0,5.37
36,5198.71,FeI,2.22,-2.09,75.0,5.23
37,5215.18,FeI,3.26,-0.86,59.1,5.04
38,5216.27,FeI,1.61,-2.08,124.2,5.36
39,5217.39,FeI,3.21,-1.07,56.2,5.15
40,5225.53,FeI,0.11,-4.75,101.5,5.66
41,5229.85,FeI,3.28,-0.97,58.9,5.17
42,5232.94,FeI,2.94,-0.06,139.1,5.23
43,5242.49,FeI,3.63,-0.97,33.0,5.18
44,5250.21,FeI,0.12,-4.9,89.9,5.62
45,5253.46,FeI,3.28,-1.58,21.1,5.11
46,5263.31,FeI,3.26,-0.87,65.1,5.14
47,5281.79,FeI,3.04,-0.83,88.0,5.2
48,5283.62,FeI,3.24,-0.45,105.7,5.38
49,5307.36,FeI,1.61,-2.91,88.7,5.51
50,5322.04,FeI,2.28,-2.8,27.4,5.25
51,5324.18,FeI,3.21,-0.11,112.5,5.12
52,5332.9,FeI,1.56,-2.78,86.6,5.27
53,5339.93,FeI,3.26,-0.63,76.5,5.07
54,5364.87,FeI,4.45,0.23,44.4,5.16
55,5365.4,FeI,3.57,-1.02,27.9,5.05
56,5367.47,FeI,4.42,0.44,53.3,5.06
57,5369.96,FeI,4.37,0.54,64.4,5.07
58,5383.37,FeI,4.31,0.65,71.7,5.0
59,5393.17,FeI,3.24,-0.72,84.5,5.26
60,5410.91,FeI,4.47,0.4,53.5,5.16
61,5415.2,FeI,4.39,0.64,65.4,5.0
62,5424.07,FeI,4.32,0.52,79.7,5.27
63,5497.52,FeI,1.01,-2.83,141.5,5.59
64,5501.47,FeI,0.96,-3.05,140.0,5.71
65,5506.78,FeI,0.99,-2.79,142.0,5.53
66,5554.9,FeI,4.55,-0.27,14.4,5.12
67,5569.62,FeI,3.41,-0.52,79.3,5.17
68,5572.84,FeI,3.39,-0.28,91.8,5.11
69,5576.09,FeI,3.43,-1.0,59.0,5.37
70,5586.76,FeI,3.37,-0.11,107.3,5.19
71,5615.64,FeI,3.33,0.04,113.5,5.09
72,5624.54,FeI,3.41,-0.76,70.1,5.26
73,5638.26,FeI,4.22,-0.72,14.4,5.17
74,5662.52,FeI,4.17,-0.41,23.3,5.05
75,5934.65,FeI,3.93,-1.12,21.3,5.41
76,6003.01,FeI,3.88,-1.1,22.1,5.34
77,6008.56,FeI,3.88,-0.98,17.9,5.12
78,6024.06,FeI,4.55,-0.12,27.2,5.29
79,6065.48,FeI,2.61,-1.53,82.1,5.19
80,6173.34,FeI,2.22,-2.88,34.0,5.32
81,6180.2,FeI,2.73,-2.65,16.1,5.32
82,6200.31,FeI,2.61,-2.44,30.1,5.29
83,6213.43,FeI,2.22,-2.48,62.4,5.35
84,6219.28,FeI,2.2,-2.45,68.2,5.38
85,6230.72,FeI,2.56,-1.28,114.2,5.39
86,6240.65,FeI,2.22,-3.17,24.2,5.42
87,6246.32,FeI,3.6,-0.77,40.5,5.02
88,6265.13,FeI,2.17,-2.54,65.5,5.39
89,6297.79,FeI,2.22,-2.64,63.5,5.52
90,6322.69,FeI,2.59,-2.43,29.5,5.24
91,6335.33,FeI,2.2,-2.18,79.1,5.25
92,6355.03,FeI,2.84,-2.29,31.4,5.44
93,6393.6,FeI,2.43,-1.58,97.5,5.23
94,6421.35,FeI,2.28,-2.01,92.9,5.4
95,6430.85,FeI,2.17,-1.95,100.7,5.31
96,6475.62,FeI,2.56,-2.94,12.2,5.25
97,6498.94,FeI,0.96,-4.69,25.1,5.36
98,6592.91,FeI,2.73,-1.47,80.1,5.21
99,6609.11,FeI,2.56,-2.69,19.6,5.22
100,6677.99,FeI,2.69,-1.42,103.5,5.47
101,6978.85,FeI,2.48,-2.5,40.5,5.32
102,7511.02,FeI,4.17,0.12,72.8,5.25
103,4489.18,FeII,2.83,-2.97,46.8,5.27
104,4491.41,FeII,2.85,-2.64,46.2,4.95
105,4515.34,FeII,2.84,-2.36,72.6,5.1
106,4555.89,FeII,2.83,-2.25,78.1,5.07
107,4576.34,FeII,2.84,-2.92,45.4,5.2
108,4620.52,FeII,2.83,-3.19,31.7,5.21
109,4923.93,FeII,2.89,-1.21,131.3,5.05
110,5197.58,FeII,3.23,-2.05,73.9,5.2
111,5234.63,FeII,3.22,-2.18,70.3,5.28
112,5264.81,FeII,3.23,-3.23,19.2,5.41
113,5276.0,FeII,3.2,-1.9,80.8,5.13
114,5284.11,FeII,2.89,-3.19,42.8,5.45
115,5325.55,FeII,3.22,-3.16,16.4,5.24
116,5362.87,FeII,3.2,-2.62,56.1,5.46
117,5425.26,FeII,3.2,-3.39,14.6,5.39
118,5534.85,FeII,3.25,-2.87,26.8,5.25
119,6084.11,FeII,3.2,-3.88,7.7,5.54
120,6456.38,FeII,3.9,-2.08,34.0,5.35
