,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4021.87,FeI,2.67,-0.73,82.25,5.26
1,4032.63,FeI,1.48,-2.38,54.99,4.94
2,4063.28,FeI,3.37,-0.81,34.38,5.11
3,4070.77,FeI,3.24,-0.87,44.18,5.23
4,4073.76,FeI,3.26,-0.97,24.04,4.96
5,4114.44,FeI,2.83,-1.3,35.73,5.02
6,4147.67,FeI,1.48,-2.07,83.92,5.22
7,4153.9,FeI,3.4,-0.28,40.48,4.74
8,4158.79,FeI,3.43,-0.7,35.83,5.12
9,4172.75,FeI,0.96,-3.02,81.37,5.56
10,4173.92,FeI,0.99,-3.29,57.05,5.31
11,4181.76,FeI,2.83,-0.37,86.79,5.15
12,4182.38,FeI,3.02,-1.18,26.04,4.9
13,4184.89,FeI,2.83,-0.87,43.89,4.75
14,4187.04,FeI,2.45,-0.56,101.0,5.22
15,4187.8,FeI,2.42,-0.55,87.51,4.86
16,4191.43,FeI,2.47,-0.67,99.41,5.34
17,4199.1,FeI,3.05,0.16,82.99,4.86
18,4216.18,FeI,0.0,-3.36,105.0,5.31
19,4222.21,FeI,2.45,-0.97,67.78,4.87
20,4227.43,FeI,3.33,0.27,91.18,5.23
21,4250.12,FeI,2.47,-0.41,101.7,5.05
22,4282.4,FeI,2.17,-0.78,93.44,4.97
23,4337.05,FeI,1.56,-1.7,80.83,4.82
24,4352.74,FeI,2.22,-1.29,71.58,5.03
25,4375.93,FeI,0.0,-3.0,107.2,4.95
26,4408.41,FeI,2.2,-1.77,70.04,5.37
27,4442.34,FeI,2.2,-1.23,87.05,5.18
28,4443.19,FeI,2.86,-1.04,43.01,4.9
29,4447.72,FeI,2.22,-1.34,76.49,5.11
30,4489.74,FeI,0.12,-3.9,63.41,4.94
31,4494.56,FeI,2.2,-1.14,90.09,5.17
32,4531.15,FeI,1.48,-2.1,82.38,5.13
33,4602.0,FeI,1.61,-3.13,39.23,5.46
34,4602.94,FeI,1.48,-2.21,76.5,5.1
35,4619.29,FeI,3.6,-1.06,10.3,4.99
36,4630.12,FeI,2.28,-2.59,24.13,5.44
37,4637.5,FeI,3.28,-1.29,12.72,4.89
38,4647.43,FeI,2.95,-1.35,43.43,5.32
39,4661.97,FeI,2.99,-2.5,5.29,5.49
