,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4021.87,FeI,2.67,-0.73,71.74,5.25
1,4067.98,FeI,3.21,-0.53,60.43,5.35
2,4073.76,FeI,3.26,-0.97,36.21,5.38
3,4098.18,FeI,3.24,-0.97,43.85,5.5
4,4114.44,FeI,2.83,-1.3,49.41,5.5
5,4132.9,FeI,2.84,-0.92,58.99,5.32
6,4134.68,FeI,2.83,-0.65,60.97,5.08
7,4147.67,FeI,1.48,-2.07,82.37,5.5
8,4156.8,FeI,2.83,-0.81,52.05,5.05
9,4157.78,FeI,3.42,-0.4,50.37,5.25
10,4173.92,FeI,0.99,-3.29,34.05,5.15
11,4175.64,FeI,2.85,-0.83,53.85,5.13
12,4184.89,FeI,2.83,-0.87,52.71,5.13
13,4191.43,FeI,2.47,-0.67,81.86,5.11
14,4195.33,FeI,3.33,-0.49,61.03,5.43
15,4217.55,FeI,3.43,-0.48,44.52,5.22
16,4222.21,FeI,2.45,-0.97,73.34,5.2
17,4233.6,FeI,2.48,-0.6,89.02,5.2
18,4238.81,FeI,3.4,-0.23,65.99,5.35
19,4442.34,FeI,2.2,-1.23,84.04,5.38
20,4459.12,FeI,2.17,-1.33,92.39,5.64
21,4466.55,FeI,2.83,-0.6,85.11,5.54
22,4484.22,FeI,3.6,-0.64,26.71,5.19
23,4489.74,FeI,0.12,-3.9,67.24,5.38
24,4494.56,FeI,2.2,-1.14,82.07,5.24
25,4602.0,FeI,1.61,-3.13,16.8,5.23
26,4602.94,FeI,1.48,-2.21,77.01,5.41
27,4647.43,FeI,2.95,-1.35,40.22,5.46
28,4668.13,FeI,3.26,-1.08,30.88,5.34
29,4669.17,FeI,3.65,-1.25,12.77,5.44
30,4678.85,FeI,3.6,-0.68,23.28,5.14
31,4707.27,FeI,3.24,-0.96,27.9,5.13
32,4733.59,FeI,1.48,-2.99,38.75,5.44
33,4871.32,FeI,2.87,-0.34,83.34,5.15
34,4872.14,FeI,2.88,-0.57,84.07,5.41
35,4890.76,FeI,2.88,-0.38,91.8,5.37
36,4891.49,FeI,2.85,-0.11,98.48,5.2
37,4903.31,FeI,2.88,-0.89,59.4,5.25
38,4946.39,FeI,3.37,-1.11,26.76,5.38
39,5001.86,FeI,3.88,-0.01,49.66,5.29
40,5005.71,FeI,3.88,-0.12,39.2,5.22
41,5006.12,FeI,2.83,-0.61,76.3,5.23
42,5012.07,FeI,0.86,-2.6,90.18,5.36
43,5049.82,FeI,2.28,-1.35,88.35,5.63
44,5051.64,FeI,0.91,-2.76,86.31,5.49
45,5068.77,FeI,2.94,-1.04,52.62,5.33
46,5083.34,FeI,0.96,-2.84,72.76,5.31
47,5098.7,FeI,2.17,-2.03,60.82,5.64
48,5110.41,FeI,0.0,-3.76,84.12,5.39
49,5133.69,FeI,4.17,0.36,56.19,5.35
50,5141.74,FeI,2.42,-2.24,24.83,5.42
51,5150.84,FeI,0.99,-3.04,64.12,5.37
52,5162.27,FeI,4.18,0.02,43.12,5.45
53,5191.45,FeI,3.04,-0.55,61.37,5.1
54,5192.34,FeI,3.0,-0.42,83.78,5.35
55,5202.34,FeI,2.17,-1.87,65.57,5.55
56,5216.27,FeI,1.61,-2.08,78.08,5.39
57,5217.39,FeI,3.21,-1.07,36.54,5.36
58,5225.53,FeI,0.11,-4.75,27.16,5.39
59,5229.85,FeI,3.28,-0.97,41.93,5.43
60,5250.21,FeI,0.12,-4.9,27.35,5.55
61,5250.21,FeI,0.12,-4.9,23.6,5.47
62,5250.65,FeI,2.2,-2.18,50.44,5.6
63,5253.46,FeI,3.28,-1.58,11.91,5.31
64,5254.96,FeI,0.11,-4.76,36.97,5.59
65,5263.31,FeI,3.26,-0.87,34.27,5.17
66,5266.56,FeI,3.0,-0.39,76.0,5.17
67,5281.79,FeI,3.04,-0.83,65.25,5.45
68,5283.62,FeI,3.24,-0.45,59.23,5.17
69,5288.52,FeI,3.69,-1.49,11.46,5.65
70,5302.3,FeI,3.28,-0.73,42.73,5.21
71,5307.36,FeI,1.61,-2.91,54.77,5.75
72,5322.04,FeI,2.28,-2.8,7.48,5.2
73,5324.18,FeI,3.21,-0.11,85.5,5.3
74,5328.53,FeI,1.56,-1.85,95.02,5.46
75,5341.02,FeI,1.61,-1.95,89.4,5.49
76,5365.4,FeI,3.57,-1.02,20.59,5.35
77,5367.47,FeI,4.42,0.44,43.15,5.29
78,5410.91,FeI,4.47,0.4,34.35,5.21
79,5415.2,FeI,4.39,0.64,56.4,5.29
80,5424.07,FeI,4.32,0.52,52.89,5.28
81,5497.52,FeI,1.01,-2.83,88.49,5.66
82,5501.47,FeI,0.96,-3.05,76.81,5.57
83,5506.78,FeI,0.99,-2.79,90.62,5.64
84,5569.62,FeI,3.41,-0.52,50.69,5.27
85,5572.84,FeI,3.39,-0.28,64.85,5.26
86,5586.76,FeI,3.37,-0.11,83.8,5.41
87,6024.06,FeI,4.55,-0.12,25.96,5.62
88,6200.31,FeI,2.61,-2.44,15.39,5.51
89,6213.43,FeI,2.22,-2.48,21.61,5.3
90,6219.28,FeI,2.2,-2.45,29.84,5.44
91,6230.72,FeI,2.56,-1.28,78.54,5.58
92,6246.32,FeI,3.6,-0.77,34.2,5.4
93,6301.5,FeI,3.65,-0.71,46.53,5.55
94,6302.49,FeI,3.69,-0.97,21.11,5.4
95,6393.6,FeI,2.43,-1.58,68.23,5.53
96,6400.0,FeI,3.6,-0.27,55.44,5.28
97,6400.32,FeI,0.91,-4.32,8.89,5.22
98,6408.02,FeI,3.68,-0.99,28.27,5.59
99,6411.65,FeI,3.65,-0.59,47.09,5.51
100,6430.85,FeI,2.17,-1.95,64.08,5.53
101,6592.91,FeI,2.73,-1.47,55.31,5.51
102,6677.99,FeI,2.69,-1.42,55.54,5.42
103,7511.02,FeI,4.17,0.12,47.0,5.23
104,4491.41,FeII,2.85,-2.64,35.34,5.29
105,4508.29,FeII,2.86,-2.25,62.67,5.43
106,4520.22,FeII,2.81,-2.6,33.72,5.17
107,4541.52,FeII,2.86,-2.79,29.31,5.32
108,4555.89,FeII,2.83,-2.25,46.34,5.08
109,4576.34,FeII,2.84,-2.92,32.04,5.48
110,5197.58,FeII,3.23,-2.05,36.75,5.1
111,5234.63,FeII,3.22,-2.18,54.85,5.56
112,5276.0,FeII,3.2,-1.9,52.4,5.21
113,5316.62,FeII,3.15,-1.78,85.93,5.69
114,5362.87,FeII,3.2,-2.62,42.86,5.75
115,6456.38,FeII,3.9,-2.08,23.63,5.55
