,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4484.22,FeI,3.6,-0.64,58.88,5.24
1,4602.0,FeI,1.61,-3.13,82.13,5.65
2,4661.97,FeI,2.99,-2.5,27.82,5.73
3,4707.27,FeI,3.24,-0.96,87.01,5.66
4,4946.39,FeI,3.37,-1.11,61.53,5.42
5,4973.1,FeI,3.96,-0.95,57.73,5.93
6,5002.79,FeI,3.4,-1.46,69.66,5.95
7,5044.21,FeI,2.85,-2.02,69.74,5.81
8,5133.69,FeI,4.17,0.36,99.15,5.69
9,5141.74,FeI,2.42,-2.24,95.56,5.99
10,5162.27,FeI,4.18,0.02,79.3,5.63
11,5242.49,FeI,3.63,-0.97,53.86,5.45
12,5288.52,FeI,3.69,-1.49,23.18,5.45
13,5339.93,FeI,3.26,-0.63,94.67,5.4
14,5353.37,FeI,4.1,-0.76,50.05,5.75
15,5367.47,FeI,4.42,0.44,94.19,5.78
16,5379.57,FeI,3.69,-1.51,28.45,5.58
17,5383.37,FeI,4.31,0.65,85.76,5.26
18,5410.91,FeI,4.47,0.4,72.13,5.45
19,5415.2,FeI,4.39,0.64,97.81,5.61
20,5624.54,FeI,3.41,-0.76,80.12,5.4
21,5883.82,FeI,3.96,-1.31,13.35,5.28
22,6003.01,FeI,3.88,-1.1,26.47,5.33
23,6151.62,FeI,2.17,-3.37,47.15,5.8
24,6173.34,FeI,2.22,-2.88,77.14,5.87
25,6180.2,FeI,2.73,-2.65,43.86,5.74
26,6200.31,FeI,2.61,-2.44,55.85,5.57
27,6213.43,FeI,2.22,-2.48,98.15,5.85
28,6229.23,FeI,2.85,-2.81,17.8,5.5
29,6240.65,FeI,2.22,-3.17,45.16,5.62
30,6246.32,FeI,3.6,-0.77,65.11,5.33
31,6297.79,FeI,2.22,-2.64,82.28,5.71
32,6322.69,FeI,2.59,-2.43,64.56,5.67
33,6336.82,FeI,3.68,-0.85,63.58,5.48
34,6344.15,FeI,2.43,-2.92,53.18,5.77
35,6355.03,FeI,2.84,-2.29,43.27,5.5
36,6475.62,FeI,2.56,-2.94,49.63,5.89
37,6593.87,FeI,2.43,-2.42,88.53,5.85
38,6703.57,FeI,2.76,-3.06,37.25,6.05
39,6739.52,FeI,1.56,-4.79,18.0,5.81
40,6750.15,FeI,2.42,-2.62,73.79,5.77
41,6804.0,FeI,4.65,-1.5,5.88,5.89
42,6978.85,FeI,2.48,-2.5,79.68,5.81
43,4541.52,FeII,2.86,-2.79,48.37,5.4
44,4541.52,FeII,2.86,-2.79,46.39,5.37
45,4576.34,FeII,2.84,-2.92,55.42,5.64
46,5197.58,FeII,3.23,-2.05,80.55,5.67
47,5234.63,FeII,3.22,-2.18,71.18,5.65
48,5276.0,FeII,3.2,-1.9,84.05,5.56
49,5362.87,FeII,3.2,-2.62,70.63,6.04
50,6149.26,FeII,3.89,-2.72,18.42,5.86
51,6238.39,FeII,3.89,-2.75,13.15,5.7
52,6456.38,FeII,3.9,-2.08,40.37,5.75
53,7711.72,FeII,3.9,-2.5,15.39,5.51
