,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4271.15,FeI,2.45,-0.35,106.1,4.63
1,4352.74,FeI,2.22,-1.29,69.4,4.56
2,4408.41,FeI,2.2,-1.77,46.6,4.64
3,4430.61,FeI,2.22,-1.73,49.6,4.67
4,4447.72,FeI,2.22,-1.34,60.5,4.45
5,4489.74,FeI,0.12,-3.9,90.9,4.95
6,4494.56,FeI,2.2,-1.14,89.3,4.7
7,4592.65,FeI,1.56,-2.46,52.1,4.62
8,4602.0,FeI,1.61,-3.13,18.0,4.7
9,4736.77,FeI,3.21,-0.67,34.5,4.52
10,4891.49,FeI,2.85,-0.11,92.6,4.47
11,4903.31,FeI,2.88,-0.89,46.5,4.54
12,4924.77,FeI,2.28,-2.11,29.9,4.75
13,5001.86,FeI,3.88,-0.01,21.3,4.36
14,5006.12,FeI,2.83,-0.61,81.6,4.73
15,5012.07,FeI,0.86,-2.6,116.4,4.95
16,5022.24,FeI,3.98,-0.33,12.9,4.55
17,5041.07,FeI,0.96,-3.09,59.2,4.58
18,5041.76,FeI,1.48,-2.2,86.3,4.75
19,5044.21,FeI,2.85,-2.02,17.1,5.03
20,5049.82,FeI,2.28,-1.35,72.1,4.65
21,5051.64,FeI,0.91,-2.76,93.2,4.72
22,5079.74,FeI,0.99,-3.25,56.3,4.73
23,5083.34,FeI,0.96,-2.84,94.3,4.88
24,5123.72,FeI,1.01,-3.06,79.3,4.9
25,5127.36,FeI,0.91,-3.25,62.9,4.72
26,5141.74,FeI,2.42,-2.24,17.3,4.74
27,5150.84,FeI,0.99,-3.04,52.9,4.46
28,5166.28,FeI,0.0,-4.12,90.0,4.86
29,5171.6,FeI,1.48,-1.72,111.3,4.71
30,5192.34,FeI,3.0,-0.42,73.2,4.59
31,5194.94,FeI,1.56,-2.02,83.4,4.59
32,5202.34,FeI,2.17,-1.87,64.1,4.9
33,5215.18,FeI,3.26,-0.86,31.5,4.69
34,5216.27,FeI,1.61,-2.08,77.0,4.62
35,5217.39,FeI,3.21,-1.07,19.9,4.58
36,5225.53,FeI,0.11,-4.75,36.8,4.83
37,5229.85,FeI,3.28,-0.97,19.9,4.57
38,5232.94,FeI,2.94,-0.06,119.1,4.97
39,5250.21,FeI,0.12,-4.9,31.9,4.9
40,5254.96,FeI,0.11,-4.76,38.9,4.87
41,5307.36,FeI,1.61,-2.91,32.2,4.75
42,5324.18,FeI,3.21,-0.11,85.7,4.73
43,5339.93,FeI,3.26,-0.63,33.5,4.49
44,5341.02,FeI,1.61,-1.95,104.5,4.93
45,5364.87,FeI,4.45,0.23,21.5,4.78
46,5393.17,FeI,3.24,-0.72,41.3,4.68
47,5415.2,FeI,4.39,0.64,47.9,4.8
48,5424.07,FeI,4.32,0.52,28.3,4.49
49,5429.7,FeI,0.96,-1.88,133.6,4.6
50,5434.52,FeI,1.01,-2.13,116.1,4.57
51,5497.52,FeI,1.01,-2.83,97.4,4.92
52,5501.47,FeI,0.96,-3.05,97.7,5.08
53,5506.78,FeI,0.99,-2.79,98.9,4.87
54,5569.62,FeI,3.41,-0.52,35.9,4.58
55,5586.76,FeI,3.37,-0.11,59.4,4.49
56,6137.69,FeI,2.59,-1.4,48.3,4.64
57,6213.43,FeI,2.22,-2.48,33.4,5.02
58,6219.28,FeI,2.2,-2.45,20.0,4.68
59,6230.72,FeI,2.56,-1.28,58.1,4.61
60,6265.13,FeI,2.17,-2.54,23.2,4.81
61,6335.33,FeI,2.2,-2.18,22.5,4.47
62,6393.6,FeI,2.43,-1.58,41.7,4.5
63,6494.98,FeI,2.4,-1.27,76.7,4.65
64,6546.24,FeI,2.76,-1.54,26.0,4.58
65,6677.99,FeI,2.69,-1.42,57.9,4.88
66,4416.83,FeII,2.78,-2.41,61.9,4.64
67,4489.18,FeII,2.83,-2.97,30.6,4.73
68,4491.41,FeII,2.85,-2.64,44.9,4.67
69,4508.29,FeII,2.86,-2.25,73.4,4.75
70,4576.34,FeII,2.84,-2.92,44.3,4.92
71,4620.52,FeII,2.83,-3.19,33.6,5.0
72,5018.44,FeII,2.89,-1.34,114.3,4.52
73,5197.58,FeII,3.23,-2.05,48.4,4.54
74,5234.63,FeII,3.22,-2.18,41.0,4.55
75,5276.0,FeII,3.2,-1.9,67.7,4.64
76,5316.62,FeII,3.15,-1.78,86.9,4.76
77,5362.87,FeII,3.2,-2.62,30.3,4.76
78,6456.38,FeII,3.9,-2.08,16.1,4.67
