,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4032.63,FeI,1.48,-2.38,70.93,4.96
1,4058.22,FeI,3.21,-1.18,23.61,4.98
2,4063.28,FeI,3.37,-0.81,21.88,4.66
3,4070.77,FeI,3.24,-0.87,28.03,4.74
4,4080.21,FeI,3.28,-1.18,27.18,5.1
5,4084.49,FeI,3.33,-0.54,55.43,5.08
6,4098.18,FeI,3.24,-0.97,27.04,4.79
7,4114.44,FeI,2.83,-1.3,32.81,4.81
8,4132.9,FeI,2.84,-0.92,45.55,4.63
9,4147.67,FeI,1.48,-2.07,70.32,4.68
10,4150.25,FeI,3.43,-1.19,15.58,5.0
11,4152.17,FeI,0.96,-3.16,51.9,4.76
12,4157.78,FeI,3.42,-0.4,44.75,4.84
13,4158.79,FeI,3.43,-0.7,15.66,4.54
14,4173.92,FeI,0.99,-3.29,49.89,4.85
15,4175.64,FeI,2.85,-0.83,58.97,4.8
16,4181.76,FeI,2.83,-0.37,85.02,4.9
17,4182.38,FeI,3.02,-1.18,24.04,4.7
18,4184.89,FeI,2.83,-0.87,50.11,4.68
19,4187.04,FeI,2.45,-0.56,92.29,4.79
20,4191.43,FeI,2.47,-0.67,89.04,4.88
21,4195.33,FeI,3.33,-0.49,54.91,5.01
22,4199.1,FeI,3.05,0.16,88.98,4.82
23,4216.18,FeI,0.0,-3.36,99.22,4.74
24,4217.55,FeI,3.43,-0.48,34.64,4.68
25,4222.21,FeI,2.45,-0.97,69.35,4.66
26,4238.81,FeI,3.4,-0.23,43.05,4.6
27,4250.12,FeI,2.47,-0.41,90.16,4.55
28,4282.4,FeI,2.17,-0.78,88.07,4.54
29,4408.41,FeI,2.2,-1.77,58.5,4.91
30,4430.61,FeI,2.22,-1.73,51.99,4.82
31,4442.34,FeI,2.2,-1.23,81.55,4.8
32,4443.19,FeI,2.86,-1.04,36.17,4.58
33,4466.55,FeI,2.83,-0.6,83.32,5.08
34,4484.22,FeI,3.6,-0.64,23.27,4.78
35,4489.74,FeI,0.12,-3.9,86.56,5.08
36,4494.56,FeI,2.2,-1.14,84.76,4.81
37,4531.15,FeI,1.48,-2.1,76.68,4.7
38,4592.65,FeI,1.56,-2.46,55.87,4.76
39,4602.94,FeI,1.48,-2.21,79.76,4.89
40,4625.05,FeI,3.24,-1.27,23.12,4.97
