,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4073.76,FeI,3.26,-0.97,34.29,4.95
1,4114.44,FeI,2.83,-1.3,48.09,5.01
2,4154.5,FeI,2.83,-0.69,63.19,4.65
3,4157.78,FeI,3.42,-0.4,61.23,5.04
4,4172.75,FeI,0.96,-3.02,88.82,5.24
5,4181.76,FeI,2.83,-0.37,92.71,4.96
6,4187.04,FeI,2.45,-0.56,99.37,4.73
7,4222.21,FeI,2.45,-0.97,76.4,4.69
8,4238.81,FeI,3.4,-0.23,69.79,5.01
9,4408.41,FeI,2.2,-1.77,64.89,4.96
10,4430.61,FeI,2.22,-1.73,68.42,5.06
11,4489.74,FeI,0.12,-3.9,90.38,4.96
12,4592.65,FeI,1.56,-2.46,87.5,5.22
13,4602.0,FeI,1.61,-3.13,34.95,5.13
14,4607.65,FeI,3.26,-1.33,13.85,4.84
15,4647.43,FeI,2.95,-1.35,35.99,4.96
16,4668.13,FeI,3.26,-1.08,28.29,4.96
17,4678.85,FeI,3.6,-0.68,37.05,5.08
18,4707.27,FeI,3.24,-0.96,46.17,5.15
19,4736.77,FeI,3.21,-0.67,47.56,4.77
20,4871.32,FeI,2.87,-0.34,92.44,4.74
21,4872.14,FeI,2.88,-0.57,96.66,5.06
22,4889.0,FeI,2.2,-2.55,30.21,5.16
23,4890.76,FeI,2.88,-0.38,89.52,4.8
24,4903.31,FeI,2.88,-0.89,68.58,4.91
25,4918.99,FeI,2.86,-0.34,97.11,4.85
26,4938.81,FeI,2.88,-1.08,53.61,4.86
27,4939.69,FeI,0.86,-3.25,85.96,5.07
28,4950.11,FeI,3.41,-1.5,15.92,5.22
29,4966.09,FeI,3.33,-0.79,44.01,5.02
30,4994.13,FeI,0.91,-2.97,99.2,5.07
31,5001.86,FeI,3.88,-0.01,36.0,4.72
32,5002.79,FeI,3.4,-1.46,9.31,4.92
33,5005.71,FeI,3.88,-0.12,37.62,4.86
34,5006.12,FeI,2.83,-0.61,92.98,4.98
35,5022.24,FeI,3.98,-0.33,25.42,5.0
36,5039.25,FeI,3.37,-1.52,18.26,5.21
37,5044.21,FeI,2.85,-2.02,14.06,4.99
38,5049.82,FeI,2.28,-1.35,88.12,4.96
39,5068.77,FeI,2.94,-1.04,60.73,5.04
40,5079.74,FeI,0.99,-3.25,96.31,5.38
41,5083.34,FeI,0.96,-2.84,93.91,4.89
42,5123.72,FeI,1.01,-3.06,92.54,5.14
43,5127.36,FeI,0.91,-3.25,86.97,5.12
44,5133.69,FeI,4.17,0.36,40.2,4.77
45,5162.27,FeI,4.18,0.02,38.73,5.06
46,5191.45,FeI,3.04,-0.55,93.59,5.22
47,5198.71,FeI,2.22,-2.09,44.94,4.93
48,5202.34,FeI,2.17,-1.87,83.95,5.24
49,5215.18,FeI,3.26,-0.86,42.24,4.93
50,5217.39,FeI,3.21,-1.07,37.82,5.02
51,5225.53,FeI,0.11,-4.75,51.77,5.14
52,5229.85,FeI,3.28,-0.97,47.22,5.12
53,5242.49,FeI,3.63,-0.97,23.31,5.13
54,5250.21,FeI,0.12,-4.9,44.87,5.19
55,5250.65,FeI,2.2,-2.18,62.17,5.28
56,5263.31,FeI,3.26,-0.87,43.2,4.93
57,5266.56,FeI,3.0,-0.39,93.66,4.93
58,5283.62,FeI,3.24,-0.45,73.89,4.98
59,5307.36,FeI,1.61,-2.91,43.34,4.97
60,5339.93,FeI,3.26,-0.63,59.58,4.94
61,5367.47,FeI,4.42,0.44,29.68,4.8
62,5383.37,FeI,4.31,0.65,51.5,4.78
63,5410.91,FeI,4.47,0.4,26.19,4.83
64,5424.07,FeI,4.32,0.52,51.04,4.91
65,5569.62,FeI,3.41,-0.52,56.22,4.94
66,5572.84,FeI,3.39,-0.28,58.2,4.71
67,5586.76,FeI,3.37,-0.11,81.43,4.89
68,5709.38,FeI,3.37,-1.01,49.71,5.27
69,6065.48,FeI,2.61,-1.53,55.93,4.94
70,6137.69,FeI,2.59,-1.4,70.47,4.99
71,6200.31,FeI,2.61,-2.44,13.37,5.0
72,6213.43,FeI,2.22,-2.48,26.41,4.94
73,6246.32,FeI,3.6,-0.77,18.21,4.68
74,6265.13,FeI,2.17,-2.54,35.39,5.12
75,6411.65,FeI,3.65,-0.59,32.19,4.86
76,6498.94,FeI,0.96,-4.69,12.71,5.2
77,4122.67,FeII,2.58,-3.38,41.63,5.11
78,4128.75,FeII,2.58,-3.47,20.79,4.8
79,4416.83,FeII,2.78,-2.41,73.54,4.87
80,4489.18,FeII,2.83,-2.97,57.33,5.22
81,4491.41,FeII,2.85,-2.64,60.48,4.97
82,4508.29,FeII,2.86,-2.25,73.0,4.83
83,4515.34,FeII,2.84,-2.36,61.33,4.73
84,4520.22,FeII,2.81,-2.6,46.95,4.66
85,4541.52,FeII,2.86,-2.79,44.47,4.92
86,4555.89,FeII,2.83,-2.25,89.07,5.02
87,4620.52,FeII,2.83,-3.19,51.8,5.34
88,5197.58,FeII,3.23,-2.05,57.18,4.71
89,5234.63,FeII,3.22,-2.18,69.17,5.02
90,5276.0,FeII,3.2,-1.9,95.18,5.1
91,5284.11,FeII,2.89,-3.19,34.57,5.11
92,5325.55,FeII,3.22,-3.16,18.78,5.11
93,5362.87,FeII,3.2,-2.62,39.4,4.96
94,5534.85,FeII,3.25,-2.87,35.4,5.18
95,6247.56,FeII,3.89,-2.33,20.24,5.07
96,6456.38,FeII,3.9,-2.08,31.84,5.07
