,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4114.44,FeI,2.83,-1.3,73.33,5.27
1,4430.61,FeI,2.22,-1.73,90.99,5.18
2,4443.19,FeI,2.86,-1.04,79.42,5.1
3,4484.22,FeI,3.6,-0.64,62.45,5.29
4,4595.36,FeI,3.3,-1.76,29.79,5.38
5,4602.0,FeI,1.61,-3.13,79.5,5.49
6,4619.29,FeI,3.6,-1.06,33.68,5.14
7,4630.12,FeI,2.28,-2.59,60.66,5.46
8,4637.5,FeI,3.28,-1.29,56.14,5.38
9,4678.85,FeI,3.6,-0.68,53.42,5.13
10,4736.77,FeI,3.21,-0.67,95.28,5.46
11,4875.88,FeI,3.33,-1.9,25.22,5.44
12,4882.14,FeI,3.41,-1.48,32.34,5.28
13,4903.31,FeI,2.88,-0.89,92.64,5.14
14,4907.73,FeI,3.43,-1.7,20.43,5.24
15,4924.77,FeI,2.28,-2.11,88.8,5.48
16,4938.81,FeI,2.88,-1.08,91.43,5.3
17,4946.39,FeI,3.37,-1.11,61.44,5.37
18,4950.11,FeI,3.41,-1.5,30.74,5.26
19,4966.09,FeI,3.33,-0.79,68.46,5.13
20,4973.1,FeI,3.96,-0.95,20.53,5.16
21,5001.86,FeI,3.88,-0.01,87.43,5.45
22,5005.71,FeI,3.88,-0.12,69.92,5.21
23,5014.94,FeI,3.94,-0.18,57.32,5.09
24,5022.24,FeI,3.98,-0.33,49.49,5.16
25,5133.69,FeI,4.17,0.36,74.99,5.17
26,5141.74,FeI,2.42,-2.24,75.99,5.5
27,5162.27,FeI,4.18,0.02,61.91,5.27
28,5198.71,FeI,2.22,-2.09,98.8,5.52
29,5215.18,FeI,3.26,-0.86,78.56,5.27
30,5217.39,FeI,3.21,-1.07,68.62,5.22
31,5242.49,FeI,3.63,-0.97,48.88,5.32
32,5253.46,FeI,3.28,-1.58,32.11,5.17
33,5263.31,FeI,3.26,-0.87,88.67,5.47
34,5281.79,FeI,3.04,-0.83,97.29,5.3
35,5322.04,FeI,2.28,-2.8,46.14,5.34
36,5367.47,FeI,4.42,0.44,63.42,5.16
37,5369.96,FeI,4.37,0.54,72.16,5.16
38,5379.57,FeI,3.69,-1.51,12.3,5.09
39,5383.37,FeI,4.31,0.65,90.55,5.33
40,5389.48,FeI,4.42,-0.41,23.06,5.24
41,5410.91,FeI,4.47,0.4,59.73,5.2
42,5415.2,FeI,4.39,0.64,75.22,5.14
43,5563.6,FeI,4.19,-0.75,27.46,5.38
44,5569.62,FeI,3.41,-0.52,95.35,5.4
45,5576.09,FeI,3.43,-1.0,76.85,5.54
46,5618.63,FeI,4.21,-1.25,10.4,5.38
47,5624.54,FeI,3.41,-0.76,80.54,5.35
48,5701.54,FeI,2.56,-2.22,65.89,5.42
49,5883.82,FeI,3.96,-1.31,22.62,5.52
50,5916.25,FeI,2.45,-2.99,36.01,5.54
51,6003.01,FeI,3.88,-1.1,33.35,5.43
52,6082.71,FeI,2.22,-3.55,23.37,5.52
53,6173.34,FeI,2.22,-2.88,66.88,5.59
54,6187.99,FeI,3.94,-1.67,9.1,5.38
55,6200.31,FeI,2.61,-2.44,47.76,5.36
56,6213.43,FeI,2.22,-2.48,95.77,5.67
57,6219.28,FeI,2.2,-2.45,94.66,5.58
58,6229.23,FeI,2.85,-2.81,13.11,5.28
59,6240.65,FeI,2.22,-3.17,31.51,5.3
60,6246.32,FeI,3.6,-0.77,70.0,5.34
61,6265.13,FeI,2.17,-2.54,88.09,5.52
62,6322.69,FeI,2.59,-2.43,59.57,5.5
63,6411.65,FeI,3.65,-0.59,78.16,5.36
64,6475.62,FeI,2.56,-2.94,23.57,5.33
65,6546.24,FeI,2.76,-1.54,91.58,5.33
66,6593.87,FeI,2.43,-2.42,77.47,5.54
67,6609.11,FeI,2.56,-2.69,42.53,5.43
68,6703.57,FeI,2.76,-3.06,11.51,5.33
69,6750.15,FeI,2.42,-2.62,61.44,5.46
70,6841.34,FeI,4.61,-0.78,10.88,5.37
71,4489.18,FeII,2.83,-2.97,66.64,5.67
72,4508.29,FeII,2.86,-2.25,65.86,4.97
73,4520.22,FeII,2.81,-2.6,60.48,5.14
74,4541.52,FeII,2.86,-2.79,46.05,5.1
75,4582.84,FeII,2.84,-3.06,32.44,5.07
76,4620.52,FeII,2.83,-3.19,25.79,5.03
77,5197.58,FeII,3.23,-2.05,69.45,5.2
78,5234.63,FeII,3.22,-2.18,69.74,5.35
79,5264.81,FeII,3.23,-3.23,14.99,5.23
80,5276.0,FeII,3.2,-1.9,96.44,5.51
81,5284.11,FeII,2.89,-3.19,33.61,5.25
82,5362.87,FeII,3.2,-2.62,58.65,5.53
83,5425.26,FeII,3.2,-3.39,24.15,5.61
84,5534.85,FeII,3.25,-2.87,32.15,5.32
85,6149.26,FeII,3.89,-2.72,11.64,5.37
86,6238.39,FeII,3.89,-2.75,12.01,5.41
87,6416.92,FeII,3.89,-2.88,10.68,5.47
88,6432.68,FeII,2.89,-3.71,22.39,5.46
89,6456.38,FeII,3.9,-2.08,26.08,5.18
