,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4058.22,FeI,3.21,-1.18,51.35,5.76
1,4063.28,FeI,3.37,-0.81,62.22,5.85
2,4098.18,FeI,3.24,-0.97,72.34,6.06
3,4114.44,FeI,2.83,-1.3,64.79,5.81
4,4147.67,FeI,1.48,-2.07,95.81,5.83
5,4150.25,FeI,3.43,-1.19,34.41,5.66
6,4157.78,FeI,3.42,-0.4,85.08,6.11
7,4158.79,FeI,3.43,-0.7,58.24,5.69
8,4175.64,FeI,2.85,-0.83,88.52,6.06
9,4184.89,FeI,2.83,-0.87,88.73,5.99
10,4217.55,FeI,3.43,-0.48,65.84,5.61
11,4222.21,FeI,2.45,-0.97,87.25,5.54
12,4238.81,FeI,3.4,-0.23,84.01,5.86
13,4430.61,FeI,2.22,-1.73,88.0,5.97
14,4443.19,FeI,2.86,-1.04,76.14,5.82
15,4484.22,FeI,3.6,-0.64,51.26,5.61
16,4489.74,FeI,0.12,-3.9,94.56,5.95
17,4574.22,FeI,3.21,-2.35,10.19,5.84
18,4595.36,FeI,3.3,-1.76,27.13,5.91
19,4602.0,FeI,1.61,-3.13,61.61,6.09
20,4607.65,FeI,3.26,-1.33,37.89,5.64
21,4619.29,FeI,3.6,-1.06,46.91,5.96
22,4625.05,FeI,3.24,-1.27,62.64,6.09
23,4637.5,FeI,3.28,-1.29,55.65,6.02
24,4643.46,FeI,3.65,-1.15,30.1,5.72
25,4647.43,FeI,2.95,-1.35,71.37,6.05
26,4668.13,FeI,3.26,-1.08,67.29,6.08
27,4678.85,FeI,3.6,-0.68,60.21,5.82
28,4704.95,FeI,3.68,-1.32,17.42,5.67
29,4707.27,FeI,3.24,-0.96,69.35,5.95
30,4709.09,FeI,3.65,-1.32,35.87,6.02
31,4733.59,FeI,1.48,-2.99,63.33,5.83
32,4736.77,FeI,3.21,-0.67,75.41,5.78
33,4786.81,FeI,3.02,-1.61,41.2,5.7
34,4789.65,FeI,3.55,-0.96,48.31,5.72
35,4800.65,FeI,4.14,-1.03,9.5,5.56
36,4882.14,FeI,3.41,-1.48,33.58,5.85
37,4885.43,FeI,3.88,-0.97,20.96,5.58
38,4903.31,FeI,2.88,-0.89,95.34,6.04
39,4924.77,FeI,2.28,-2.11,66.91,5.87
40,4938.81,FeI,2.88,-1.08,66.78,5.55
41,4946.39,FeI,3.37,-1.11,48.14,5.75
42,4950.11,FeI,3.41,-1.5,34.25,5.91
43,4966.09,FeI,3.33,-0.79,70.49,5.81
44,4973.1,FeI,3.96,-0.95,46.17,6.2
45,4985.25,FeI,3.93,-0.44,48.63,5.73
46,5001.86,FeI,3.88,-0.01,74.56,5.75
47,5002.79,FeI,3.4,-1.46,33.89,5.81
48,5005.71,FeI,3.88,-0.12,72.0,5.87
49,5014.94,FeI,3.94,-0.18,66.54,5.84
50,5022.24,FeI,3.98,-0.33,53.18,5.77
51,5039.25,FeI,3.37,-1.52,34.52,5.85
52,5044.21,FeI,2.85,-2.02,39.1,5.87
53,5049.82,FeI,2.28,-1.35,99.9,5.9
54,5068.77,FeI,2.94,-1.04,84.77,6.01
55,5131.47,FeI,2.22,-2.52,70.45,6.27
56,5133.69,FeI,4.17,0.36,79.9,5.81
