,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4021.87,FeI,2.67,-0.73,61.12,4.89
1,4021.87,FeI,2.67,-0.73,57.28,4.81
2,4063.28,FeI,3.37,-0.81,23.71,4.98
3,4080.21,FeI,3.28,-1.18,16.14,5.09
4,4098.18,FeI,3.24,-0.97,22.77,4.97
5,4114.44,FeI,2.83,-1.3,19.08,4.79
6,4139.93,FeI,0.99,-3.51,15.85,4.78
7,4143.87,FeI,1.56,-0.51,107.5,4.52
8,4147.67,FeI,1.48,-2.07,43.03,4.54
9,4153.9,FeI,3.4,-0.28,40.69,4.86
10,4156.8,FeI,2.83,-0.81,26.18,4.47
11,4158.79,FeI,3.43,-0.7,17.79,4.83
12,4181.76,FeI,2.83,-0.37,54.47,4.55
13,4184.89,FeI,2.83,-0.87,29.78,4.58
14,4187.8,FeI,2.42,-0.55,66.76,4.51
15,4191.43,FeI,2.47,-0.67,60.75,4.58
16,4216.18,FeI,0.0,-3.36,72.39,4.69
17,4233.6,FeI,2.48,-0.6,72.65,4.79
18,4238.81,FeI,3.4,-0.23,34.99,4.71
19,4250.79,FeI,1.56,-0.71,100.6,4.49
20,4337.05,FeI,1.56,-1.7,59.41,4.51
21,4352.74,FeI,2.22,-1.29,44.21,4.62
22,4415.12,FeI,1.61,-0.62,102.2,4.45
23,4427.31,FeI,0.05,-2.92,100.2,4.96
24,4430.61,FeI,2.22,-1.73,31.75,4.79
25,4442.34,FeI,2.2,-1.23,48.52,4.59
26,4447.72,FeI,2.22,-1.34,42.74,4.58
27,4466.55,FeI,2.83,-0.6,48.47,4.68
28,4489.74,FeI,0.12,-3.9,56.1,4.99
29,4494.56,FeI,2.2,-1.14,70.75,4.89
30,4528.61,FeI,2.17,-0.89,78.88,4.76
31,4531.15,FeI,1.48,-2.1,53.36,4.7
32,4592.65,FeI,1.56,-2.46,37.7,4.84
33,4602.94,FeI,1.48,-2.21,41.2,4.59
34,4607.65,FeI,3.26,-1.33,7.74,4.85
35,4625.05,FeI,3.24,-1.27,6.72,4.62
36,4643.46,FeI,3.65,-1.15,6.51,5.04
37,4647.43,FeI,2.95,-1.35,10.06,4.64
38,4736.77,FeI,3.21,-0.67,19.34,4.5
39,4871.32,FeI,2.87,-0.34,60.18,4.58
40,4872.14,FeI,2.88,-0.57,50.79,4.66
41,4890.76,FeI,2.88,-0.38,59.01,4.65
42,4891.49,FeI,2.85,-0.11,73.75,4.64
43,4918.99,FeI,2.86,-0.34,58.13,4.54
44,4938.81,FeI,2.88,-1.08,19.03,4.58
45,4939.69,FeI,0.86,-3.25,31.73,4.74
46,4994.13,FeI,0.91,-2.97,38.12,4.59
47,5001.86,FeI,3.88,-0.01,16.32,4.51
48,5005.71,FeI,3.88,-0.12,14.06,4.55
49,5006.12,FeI,2.83,-0.61,44.3,4.55
50,5012.07,FeI,0.86,-2.6,73.89,4.87
51,5041.07,FeI,0.96,-3.09,39.46,4.79
52,5041.76,FeI,1.48,-2.2,52.84,4.73
53,5049.82,FeI,2.28,-1.35,48.53,4.73
54,5051.64,FeI,0.91,-2.76,60.61,4.81
55,5068.77,FeI,2.94,-1.04,23.21,4.7
56,5074.75,FeI,4.22,-0.2,16.69,5.05
57,5079.22,FeI,2.2,-2.1,9.19,4.42
58,5083.34,FeI,0.96,-2.84,42.94,4.61
59,5098.7,FeI,2.17,-2.03,18.29,4.7
60,5110.41,FeI,0.0,-3.76,71.08,4.93
61,5123.72,FeI,1.01,-3.06,49.53,5.01
62,5127.36,FeI,0.91,-3.25,27.21,4.69
63,5133.69,FeI,4.17,0.36,22.17,4.65
64,5150.84,FeI,0.99,-3.04,28.18,4.54
65,5151.91,FeI,1.01,-3.32,20.18,4.66
