,obs_wavelength,element,obs_ep,loggf,obs_ew,abund
0,4063.28,FeI,3.37,-0.81,53.63,6.62
1,4175.64,FeI,2.85,-0.83,82.62,6.9
2,4447.72,FeI,2.22,-1.34,88.2,6.75
3,4489.74,FeI,0.12,-3.9,61.25,6.89
4,4494.56,FeI,2.2,-1.14,89.96,6.58
5,4531.15,FeI,1.48,-2.1,86.1,6.91
6,4669.17,FeI,3.65,-1.25,49.68,7.09
7,4678.85,FeI,3.6,-0.68,52.25,6.57
8,4903.31,FeI,2.88,-0.89,93.39,6.78
9,4939.69,FeI,0.86,-3.25,47.83,6.5
10,4950.11,FeI,3.41,-1.5,19.61,6.42
11,5049.82,FeI,2.28,-1.35,82.85,6.7
12,5171.6,FeI,1.48,-1.72,98.16,6.67
13,5202.34,FeI,2.17,-1.87,53.11,6.45
14,5215.18,FeI,3.26,-0.86,80.19,6.89
15,5250.65,FeI,2.2,-2.18,47.94,6.66
16,5281.79,FeI,3.04,-0.83,81.48,6.65
17,5283.62,FeI,3.24,-0.45,86.47,6.51
18,5328.53,FeI,1.56,-1.85,90.08,6.7
19,5332.9,FeI,1.56,-2.78,42.9,6.55
20,5339.93,FeI,3.26,-0.63,67.6,6.44
21,5341.02,FeI,1.61,-1.95,97.44,7.02
22,5364.87,FeI,4.45,0.23,63.89,6.51
23,5383.37,FeI,4.31,0.65,91.67,6.49
24,5424.07,FeI,4.32,0.52,88.37,6.52
25,5497.52,FeI,1.01,-2.83,77.08,6.91
26,5501.47,FeI,0.96,-3.05,65.31,6.81
27,5569.62,FeI,3.41,-0.52,75.99,6.54
28,5624.54,FeI,3.41,-0.76,64.33,6.58
29,5717.83,FeI,4.28,-0.96,24.53,6.77
30,5731.76,FeI,4.26,-1.3,21.56,7.03
31,5883.82,FeI,3.96,-1.31,20.82,6.71
32,6079.01,FeI,4.65,-1.1,11.3,6.79
33,6096.67,FeI,3.98,-1.88,4.37,6.56
34,6180.2,FeI,2.73,-2.65,26.53,7.06
35,6191.56,FeI,2.43,-1.42,71.14,6.61
36,6213.43,FeI,2.22,-2.48,33.6,6.59
37,6219.28,FeI,2.2,-2.45,31.55,6.5
38,6246.32,FeI,3.6,-0.77,55.14,6.56
39,6252.56,FeI,2.4,-1.69,66.68,6.74
40,6355.03,FeI,2.84,-2.29,32.37,6.95
41,6393.6,FeI,2.43,-1.58,81.88,6.93
42,6408.02,FeI,3.68,-0.99,39.41,6.6
43,6494.98,FeI,2.4,-1.27,94.23,6.8
44,6496.47,FeI,4.79,-0.61,34.11,7.07
45,6593.87,FeI,2.43,-2.42,24.15,6.47
46,6843.66,FeI,4.55,-0.89,27.12,6.97
47,4178.86,FeII,2.58,-2.44,54.38,6.4
48,4416.83,FeII,2.78,-2.41,66.46,6.84
49,4489.18,FeII,2.83,-2.97,23.1,6.29
50,4491.41,FeII,2.85,-2.64,44.44,6.55
51,4520.22,FeII,2.81,-2.6,59.08,6.86
52,4555.89,FeII,2.83,-2.25,63.84,6.65
53,4583.84,FeII,2.81,-1.74,85.83,6.72
54,5254.93,FeII,3.23,-3.34,26.04,7.07
55,5276.0,FeII,3.2,-1.9,73.41,6.79
56,5316.62,FeII,3.15,-1.78,79.49,6.75
57,5414.07,FeII,3.22,-3.58,17.53,7.05
58,5534.85,FeII,3.25,-2.87,16.75,6.33
59,6238.39,FeII,3.89,-2.75,14.92,6.72
