,obs_wavelength,element,obs_ep,obs_ew
0,4001.66,FeI,2.18,12.1
1,4005.24,FeI,1.56,87.9
2,4009.71,FeI,2.22,31.0
3,4058.22,FeI,3.21,8.6
4,4063.59,FeI,1.56,134.2
5,4067.98,FeI,3.21,27.2
6,4070.77,FeI,3.24,24.4
7,4073.76,FeI,3.27,12.6
8,4076.63,FeI,3.21,26.5
9,4080.21,FeI,3.28,5.3
10,4084.49,FeI,3.33,20.8
11,4098.18,FeI,3.24,13.3
12,4127.78,FeI,3.28,4.7
13,4132.06,FeI,1.61,88.6
14,4133.86,FeI,3.37,4.7
15,4143.87,FeI,1.56,96.4
16,4147.67,FeI,1.49,30.4
17,4150.25,FeI,3.43,3.5
18,4153.9,FeI,3.4,26.9
19,4158.79,FeI,3.43,12.3
20,4187.04,FeI,2.45,57.7
21,4202.03,FeI,1.49,87.9
22,4233.6,FeI,2.48,53.8
23,4250.79,FeI,1.56,85.4
24,4282.4,FeI,2.18,55.0
25,4337.05,FeI,1.56,44.6
26,4352.73,FeI,2.22,31.7
27,4367.9,FeI,1.61,5.2
28,4401.29,FeI,3.6,5.8
29,4404.75,FeI,1.56,131.0
30,4415.12,FeI,1.61,95.8
31,4430.61,FeI,2.22,18.7
32,4442.34,FeI,2.2,40.5
33,4447.72,FeI,2.22,33.4
34,4459.12,FeI,2.18,43.4
35,4476.08,FeI,3.69,40.6
36,4484.22,FeI,3.6,8.4
37,4494.56,FeI,2.2,44.0
38,4517.52,FeI,3.07,2.1
39,4528.61,FeI,2.18,60.6
40,4531.15,FeI,1.49,29.4
41,4592.65,FeI,1.56,16.3
42,4602.0,FeI,1.61,3.0
43,4602.94,FeI,1.49,28.4
44,4607.65,FeI,3.27,4.6
45,4619.29,FeI,3.6,4.0
46,4625.05,FeI,3.24,5.2
47,4637.5,FeI,3.28,3.8
48,4668.13,FeI,3.27,8.6
49,4669.17,FeI,3.65,3.0
50,4678.85,FeI,3.6,12.6
51,4704.95,FeI,3.69,2.4
52,4707.27,FeI,3.24,11.5
53,4709.09,FeI,3.65,2.4
54,4871.32,FeI,2.87,49.5
55,4882.14,FeI,3.42,2.4
56,4885.43,FeI,3.88,1.9
57,4890.76,FeI,2.88,49.1
58,4896.44,FeI,3.88,1.6
59,4903.31,FeI,2.88,24.0
60,4910.02,FeI,3.4,3.9
61,4924.77,FeI,2.28,7.5
62,4946.39,FeI,3.37,5.6
